Product code,Product label,Japan's imports from Singapore-Value in 2012,Japan's imports from Singapore-Value in 2013,Japan's imports from Singapore-Value in 2014,Japan's imports from Singapore-Value in 2015,Japan's imports from Singapore-Value in 2016,Japan's imports from Singapore-Value in 2017,Japan's imports from Singapore-Value in 2018,Japan's imports from Singapore-Value in 2019,Japan's imports from Singapore-Value in 2020,Japan's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,8768236,7455741,7883744,7911906,7479222,8528136,9744608,7804111,8550162,8860586,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",1269863,1130947,1050850,1026070,1459650,952430,1102825,1038759,1170646,984512,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
999999,Commodities not elsewhere specified,1118435,987494,983998,952679,547724,661974,619769,556966,541701,600069,,33425321,33134541,32228728,19839221,15954456,21238978,26466439,21528516,20297849,24576928,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",335674,267281,325359,375384,330883,393412,406866,472236,435339,547887,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,2928309,3176677,3385553,2966971,3356005,3947149,4230204,4574631,3890170,4257072
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,46945,140402,178027,377383,271091,712242,1083591,318312,693793,499140,,1470061,934277,1343731,1881182,2521896,4086520,3714930,4119830,5614371,9161510,,617681,977580,1585679,2347474,1593535,2784908,4199312,1917749,2735528,2385870
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",511885,230094,309168,366219,247441,308260,306296,284720,336020,393678,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,8423940,8071790,9184975,9229632,9864402,9883761,9011815,8014771,8267909,12541423
491199,"Printed matter, n.e.s.",119289,299773,487140,163058,203977,186552,205773,386980,408852,257469,,325659,193429,166479,213216,262705,423419,348221,212787,249856,191037,,364711,539778,759350,342967,386618,355676,391717,570276,585501,477508
848640,Machines and apparatus specified in Note?9 C to chapter 84,13477,19873,31376,37318,30330,131175,392440,198862,275631,253937,,1190602,1017166,1512355,1221611,2048802,3261439,3247936,2803661,4145181,6673234,,76402,93441,122774,136175,165671,369573,621243,322193,440075,415671
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,75276,39822,118558,133955,124197,172432,308628,254134,188782,234964,,502578,645538,485507,557515,775636,990014,1183661,1274661,1264816,1978671,,267942,249194,365044,383281,413022,505852,729728,553259,506647,535389
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",181375,266374,297072,490378,377078,422603,210971,159803,156048,226457,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,4625095,4626768,4723070,4681992,4362836,6008551,6938696,7379527,6975346,8437302
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,190886,175166,186107,176063,190197,196575,208526,185802,175594,197677,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,502302,466933,458496,419301,429456,433748,442765,431106,360278,391390
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",21273,64147,63675,55403,38058,35986,23205,69043,69425,195125,,11622,14005,93599,91211,90176,92449,73841,31700,35443,33311,,544206,626934,585995,546780,541818,578607,797701,1364910,2314779,4261092
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",282906,89695,142729,357269,370833,419282,409380,166122,66111,167456,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,11387324,8608650,6519960,3362247,1810903,2664845,3935434,2518814,1898048,3390124
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,99075,63074,100010,72297,89715,81181,113007,86487,190714,166604,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,952485,767228,642774,634688,618932,738813,886468,819616,816656,852602
271111,"Natural gas, liquefied",0,0,0,28346,18683,23515,48239,0,0,152965,,1393,329,3,94936,106335,196145,318635,141206,239143,685134,,75251801,72347669,74222367,45759355,30269468,34927339,42851145,39947943,30139915,38997224
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",81747,16694,44245,8978,39346,34749,76885,76980,90193,151324,,24629742,23121395,23445528,14785177,12462249,14531435,18082770,16591374,10150819,16087885,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",171528,173876,188139,143684,128708,152551,152710,136126,152582,141611,,794300,796874,1025334,1009971,954179,1084478,1163082,1152438,683868,527617,,471889,460070,472632,364609,333893,376155,380914,366728,376301,364860
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",166487,160848,197657,146043,123785,130352,128363,133093,130329,140149,,149757,197416,244102,197467,166763,179655,195146,212110,189548,224291,,284763,275959,320009,256322,243006,278032,279381,271538,269754,275355
850760,Lithium-ion accumulators (excluding spent),6479,16742,30647,19530,33904,72032,131843,139407,121727,135148,,174389,226428,306796,363701,380092,567530,702980,801332,742839,871766,,522026,654837,536826,634092,751024,807893,1087622,1421109,1336407,1695556
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",15431,4942,10727,22841,33081,37023,41496,46794,115431,123550,,110852,37006,19922,69691,129011,97443,91430,113712,257952,394400,,580348,541211,618862,526960,463206,416338,426610,361602,413085,477775
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",9,3618,4716,2255,30818,343783,514977,102862,502171,121475,,3319338,2996109,2728774,3523666,3225195,3409218,3494541,2211267,1399386,1047345,,152720,148295,136192,143897,166003,484843,660246,266512,681070,294158
847170,Storage units for automatic data-processing machines,295854,274481,231039,163094,143791,116606,128303,107345,93169,99182,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,3364387,3037311,2731359,2424203,2252471,2230391,2467197,2459406,2100827,2204602
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,20175,25988,31681,106067,55346,83728,74601,62711,83168,97315,,1095798,777365,707181,1045526,828747,1264362,1378669,1303815,1411821,1801883,,760469,765163,802772,1036045,993405,1204983,1358418,1284499,1550185,1804078
