Product code,Product label,"Japan's imports from Taipei, Chinese-Value in 2012","Japan's imports from Taipei, Chinese-Value in 2013","Japan's imports from Taipei, Chinese-Value in 2014","Japan's imports from Taipei, Chinese-Value in 2015","Japan's imports from Taipei, Chinese-Value in 2016","Japan's imports from Taipei, Chinese-Value in 2017","Japan's imports from Taipei, Chinese-Value in 2018","Japan's imports from Taipei, Chinese-Value in 2019","Japan's imports from Taipei, Chinese-Value in 2020","Japan's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,24073228,23744112,24273970,23271149,23001238,25391415,27134971,26860116,26762797,33563520,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",3758773,4256600,5259446,5642124,5707509,5528273,4354577,4497990,4900442,7404323,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,8423940,8071790,9184975,9229632,9864402,9883761,9011815,8014771,8267909,12541423
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1144315,1188791,1318207,1452588,1415645,2539502,3635972,3894298,3983644,4700740,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,4625095,4626768,4723070,4681992,4362836,6008551,6938696,7379527,6975346,8437302
999999,Commodities not elsewhere specified,2076423,1905665,1868103,1835690,1861478,1855392,2042248,2277579,2308652,2585666,,1514400,1538009,1602895,1664909,1644035,1760967,1743687,1770906,1878010,2040990,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
854232,Electronic integrated circuits as memories,1508255,1682272,944116,979019,1137213,1583887,2234001,1409990,1802279,1926501,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,3984091,3470228,2507888,2624220,2437367,3082398,3769908,2743140,3094729,3622145
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",294239,219887,244589,204104,231307,299674,288665,347113,540419,534611,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,286721,582999,532126,366165,450009,,0,0,0,0,0,830630,1190380,934595,752414,1035025,,0,0,0,0,0,886128,1093224,1033820,720806,854737
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",405926,798992,962286,584259,399221,324280,204842,156617,189863,314013,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,3102976,7006545,8757444,6401137,4820917,3941670,3678500,3576346,3188082,3164423
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",720419,594715,440999,378242,422089,441723,354226,349970,315975,305893,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,1344791,1022199,836307,832335,883401,948179,922639,915757,993281,956616
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,262389,255014,261167,215205,198403,234606,260921,258046,255872,289632,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,3081488,3005935,2751021,2259561,2266728,2661957,2790168,2895335,2213315,2400029
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",66374,62786,76722,93817,85583,112395,137412,150225,135186,279327,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,2928309,3176677,3385553,2966971,3356005,3947149,4230204,4574631,3890170,4257072
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",144751,180901,168843,232919,130188,158092,167555,223492,203512,253671,,864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292,,4378265,3400666,3081400,2773777,2785911,2796831,2817145,2973599,2625298,2772826
900130,Contact lenses,99355,123859,155165,174636,202409,238412,259444,267001,210382,230293,,145868,173814,208175,242644,291175,362901,434757,444454,433065,533878,,1206730,1110719,1146929,997603,1148156,1259493,1312910,1370749,1284033,1391252
847170,Storage units for automatic data-processing machines,62682,72394,94986,84784,78426,103839,188654,299788,292863,229999,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,3364387,3037311,2731359,2424203,2252471,2230391,2467197,2459406,2100827,2204602
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",49937,58712,77893,76942,95206,142866,165846,145644,128778,206714,,829309,814274,803381,806753,905747,1226943,1276043,1073046,1105366,1798030,,147726,151832,179865,144658,153574,223657,254017,221110,190664,303686
283324,Sulphates of nickel,5621,6554,26466,53077,73069,107403,166060,215482,178060,205398,,18877,19848,44400,75757,90883,134304,220176,250395,203049,285000,,57300,25783,53643,96085,106524,154679,228795,326208,346716,456420
