Product code,Product label,Japan's imports from United States of America-Value in 2012,Japan's imports from United States of America-Value in 2013,Japan's imports from United States of America-Value in 2014,Japan's imports from United States of America-Value in 2015,Japan's imports from United States of America-Value in 2016,Japan's imports from United States of America-Value in 2017,Japan's imports from United States of America-Value in 2018,Japan's imports from United States of America-Value in 2019,Japan's imports from United States of America-Value in 2020,Japan's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,78216399,71958767,73045283,68293247,69352123,73972186,83668363,81259414,71703352,83009708,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
271111,"Natural gas, liquefied",223996,0,204613,62176,0,569111,1373888,1806186,2083628,4305650,,480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758,,75251801,72347669,74222367,45759355,30269468,34927339,42851145,39947943,30139915,38997224
271112,"Propane, liquefied",300149,771441,1151575,1108351,1281545,2956237,3798126,3337394,2532679,4271900,,2725652,5010392,7705525,5559960,7400924,12367965,14465276,12404374,11078764,21022232,,9588261,8343063,8028982,4332232,3295375,4491687,5192316,4026920,3350424,5828770
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",2872583,2252261,2544991,2477877,2432262,2326452,2580096,2881231,2948371,3987217,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
100590,Maize (excluding seed for sowing),3870251,2275746,3253170,2612162,2265688,2439211,3101689,2440898,2103163,3444590,,9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035,,5112611,4738612,3849381,3221969,3060341,3073130,3363106,3510218,3283435,4726803
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,1300974,1497963,1646556,1969683,2811134,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,4478193,5809067,7248923,8035942,9569768
841191,"Parts of turbojets or turbopropellers, n.e.s.",1703340,1846916,1813999,1781852,2289464,2565699,2917647,2240328,1739790,1592910,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,2191550,2470711,2591251,2636988,3255922,3614336,4405127,3664037,2597532,2197542
120190,"Soya beans, whether or not broken (excluding seed for sowing)",1114273,1093620,1152502,1173722,1054881,1107086,1064442,1084510,1085293,1552418,,24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041,,1805566,1883033,1831920,1703108,1530464,1547139,1540614,1535275,1491254,2075664
841112,Turbojets of a thrust > 25 kN,748622,846159,1031070,1155302,1499473,1526742,2266358,1812473,1198568,1460402,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,1125852,1110262,1184086,1333723,1774255,1745847,2760757,2236272,1409179,1660547
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",152353,206708,199804,144646,178618,184970,231555,423454,796613,1398948,,839115,1083228,1099205,908300,549302,540196,619764,731979,1416538,3359179,,544206,626934,585995,546780,541818,578607,797701,1364910,2314779,4261092
999999,Commodities not elsewhere specified,1552737,1229451,1224151,1119431,1168310,1517350,1352388,1251757,1155531,1334874,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,251922,676305,746128,1186122,886064,1611281,2237756,949922,1277734,1265632,,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604,,617681,977580,1585679,2347474,1593535,2784908,4199312,1917749,2735528,2385870
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",691945,705968,916519,755836,962241,1176031,1240733,1075216,987270,1225596,,3066724,3054078,2716322,2110832,2063238,2346915,2629902,2184387,1516952,2235723,,706664,720334,927495,767526,977005,1196828,1264807,1104165,1009916,1268760
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1719587,1215001,1135193,1111009,1104050,1071390,1240340,1348466,952873,1129173,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,4625095,4626768,4723070,4681992,4362836,6008551,6938696,7379527,6975346,8437302
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",4202288,3071588,2948911,2895656,3102913,1824692,2328590,3035833,958699,1128720,,2465048,1485234,3214942,1520109,1872014,847495,207149,577850,860362,800658,,5048392,4384408,4118989,3320439,3903092,2654110,3586130,5163370,1701622,3197420
20130,"Fresh or chilled bovine meat, boneless",541879,622590,662957,501726,689365,951161,1016166,969907,921616,1106940,,2363743,2695434,2902630,2487439,2521922,3157537,3434807,3299768,3372353,4406108,,1513985,1452256,1589374,1496464,1645344,1912987,2089662,2110172,1950940,2187537
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",481029,862758,544665,313653,103381,243464,529679,614604,664029,1063880,,31069045,34460448,36761402,25774152,24348431,29700090,39486748,34569480,23924151,41893979,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1439535,941425,625884,553891,414741,1127032,1722312,1891938,938437,1036275,,14309835,10575217,8163830,5416588,4233073,9578921,11824001,9582189,5884016,9425666,,26841965,21797137,18132577,14909027,14105898,21202114,23611052,21638755,14794072,23449598
20319,"Fresh or chilled meat of swine (excluding carcases and half-carcases, and hams, shoulders and ...",1195377,1071727,1018460,848507,996731,998759,998521,977385,1002814,1020386,,1607620,1614994,1591075,1406180,1508562,1597035,1522541,1472468,1573967,1731320,,1708764,1588279,1623487,1456161,1719799,1872712,1935582,1964463,2070159,2097297
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",1023256,1081964,980362,895359,969070,926357,1104060,1147333,927937,915719,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,2110034,2229635,2074421,1994957,2127770,2170041,2486105,2725098,2459588,2560904
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1012071,999221,1067327,1002719,1732900,1018836,968020,750888,659471,844630,,8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358,,8423940,8071790,9184975,9229632,9864402,9883761,9011815,8014771,8267909,12541423
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",1138538,1171840,1002338,838022,619033,762489,786664,673066,714912,800778,,7988505,10261202,7445197,5356650,5238228,5973274,5311615,6057968,6096728,7155868,,2060448,2191747,1873327,1548205,1305915,1461400,1574950,1416818,1452764,1702937
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",919276,933947,1225374,1053689,1223547,1009911,1028954,1116298,980240,790009,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,1320723,1440811,1873540,1836140,2056030,1717325,1702298,1909932,1568274,1144715
300220,Vaccines for human medicine,437042,378943,331852,150232,91048,88441,123524,101471,167745,766790,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,775196,570219,514438,368998,540408,445456,488704,361257,514080,6194150
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",800884,696331,622187,592882,642557,666838,751980,786151,723921,705794,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,2193933,1845814,1852868,1675224,1774224,1854349,2108403,2164806,2162757,2194172
271311,"Petroleum coke, non-calcined",629369,547005,526767,455911,323360,450999,533726,486330,338001,635187,,2362601,2420918,2375880,1926260,1689745,2655344,3070298,2082565,1646649,3316687,,760300,666387,629521,530533,382105,548921,660684,575961,392872,752159
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,302491,303720,341085,429193,350493,433433,508032,475989,606775,624508,,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564,,760469,765163,802772,1036045,993405,1204983,1358418,1284499,1550185,1804078
20610,Fresh or chilled edible offal of bovine animals,156437,208713,240432,258069,339947,378583,428196,477924,490042,611351,,106961,115469,149946,193255,261850,256339,266278,303741,254545,312586,,229972,269631,301706,341345,449539,489589,547255,633664,620272,799190
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",279821,252832,252660,236172,233110,248981,256048,272956,339280,585294,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,632510,590690,610408,535774,567115,600860,660172,677642,749951,1135164
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",763300,697480,590494,541526,473637,514631,532764,575172,566866,557004,,1284448,1355925,1194538,1300344,1351261,1397707,1361480,1498891,1529936,1713267,,1001457,927631,785797,731586,644146,713194,754325,808134,783043,811736
300212,Antisera and other blood fractions,0,0,0,0,0,203994,356774,438900,511900,526236,,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545,,0,0,0,0,0,674280,716909,788086,802981,846749
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",445306,344374,499295,379145,450948,565754,570147,763835,657728,498133,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,2928309,3176677,3385553,2966971,3356005,3947149,4230204,4574631,3890170,4257072
440325,"Coniferous wood in the rough, of which the smallest cross-sectional dimension is =>15 cm, whether ...",0,0,0,0,0,401120,482198,366496,383731,476936,,0,0,0,0,0,0,240563,584534,538723,671542,,0,0,0,0,0,605738,716281,572691,448048,671518
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",375521,445199,479574,412692,411302,476027,445348,477292,338679,466654,,7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429,,1511187,1459375,1578643,1515090,1676967,1774606,1729387,1853572,1422936,1781292
20230,"Frozen, boneless meat of bovine animals",289085,415850,473146,458379,302387,370961,461270,441062,475339,440799,,1694233,1710077,2182374,1942312,1991246,2118008,2755789,2605655,2367761,3727423,,1235020,1265119,1283570,1269052,986789,1182142,1363366,1394397,1375627,1504655
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,474327,418138,429987,358482,391569,459007,479821,491761,367041,424072,,2749292,2834288,2875677,2845697,2528613,2516062,2368866,2492723,2565065,3040652,,952485,767228,642774,634688,618932,738813,886468,819616,816656,852602
841199,"Parts of gas turbines, n.e.s.",442608,471313,337671,383499,366276,494378,363144,416099,432388,410905,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,670428,654249,520836,612363,617146,785157,717762,569236,627656,653349
280461,"Silicon containing >= 99,99% by weight of silicon",718650,697353,842040,645278,977278,904843,835961,472468,374589,402992,,1837918,1322660,1666356,1283565,1620984,1583998,1026231,803252,818242,1134549,,1208047,1166096,1363596,1133162,1398491,1156839,1099933,701709,598800,663896
260300,Copper ores and concentrates,98304,146172,164392,132780,48575,126111,77052,476618,363444,376235,,2396482,2601448,3238020,3082725,2412905,1715166,1815055,2325251,2353130,2924570,,11493511,10646491,9886570,8264843,7444980,8338268,9834838,8292775,9301127,13046748
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,390247,472749,355615,463946,374481,,0,0,0,0,0,1160106,1306660,1630982,2683863,3117655,,0,0,0,0,0,430337,553867,466571,561937,630910
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",379627,335060,313380,239579,270426,244796,229530,329435,256612,352192,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,2616235,2325322,2287053,1825904,1969804,1664234,1910269,2122978,1759382,1907954
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",397992,333524,308301,294089,306954,329632,334116,368138,343816,347757,,1039829,1058545,1079321,1051467,1116487,1140888,1137771,1241872,1012168,1189986,,475288,430491,391930,399886,395806,426345,448493,482660,442298,477056
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,32274,48452,142991,573628,1434995,1634159,746299,336214,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,153107429,145720787,130657498,67369928,50863559,63771259,80676236,73085389,43509685,63136252
160242,"Prepared or preserved shoulders and cuts thereof, of swine",289474,307581,350561,275499,250478,286302,287525,201880,330167,331607,,14961,13677,28784,32135,33311,27113,13504,6963,5436,79131,,387737,410161,479923,378986,348217,398198,448113,371776,471289,474773
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",274492,282372,322849,332596,313145,324539,364369,347468,310404,326332,,3638838,3567951,3770161,3765067,3709376,3887262,4241295,4080453,3688553,4392623,,649381,669794,736111,698697,632388,700532,806030,733274,587795,698679
30494,"Frozen meat, whether or not minced, of Alaska pollack """"Theragra chalcogramma"""" (excluding ...""",331477,238669,290183,324076,294341,327973,351910,361208,263027,322015,,19926,14889,26816,23420,20987,25675,28670,20367,22905,25625,,331732,242186,292903,324369,294650,328360,352134,361507,263396,332225
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",792180,687932,543098,516870,497883,534766,456532,449922,415252,310782,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",294059,242466,305951,270962,428966,385183,397807,584211,443061,305977,,3297569,2804669,2837821,2257050,1813820,1826533,1959733,1910295,1799997,1667365,,4378265,3400666,3081400,2773777,2785911,2796831,2817145,2973599,2625298,2772826
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",95726,147809,150836,30321,3732,105625,129542,158132,175325,304467,,648109,1025092,1823737,1190421,1138938,1889795,3113899,2699415,3354034,6533844,,3168790,2619214,2240520,1046157,813362,874354,1042736,855091,683269,851877
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",212011,257172,253808,299643,267646,197705,263644,291786,276087,296417,,1304322,1349590,1306547,1331551,1131622,1118360,1123902,1201356,1187672,1250993,,427985,473412,413182,502821,429067,340678,476332,471251,485222,506264
902110,Orthopaedic or fracture appliances,223232,236374,229453,250520,279601,303467,370485,348811,291427,286892,,1683157,1989549,1989065,1993639,2070229,2108468,2265253,2311169,2131088,2582380,,603101,558612,568980,499767,541766,559563,671826,641313,571206,594486
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",170687,129996,142036,129178,146070,193174,263277,278617,266281,273792,,735749,684650,693971,744250,760053,994902,1271714,1274299,1278901,1439288,,1014036,979426,926032,944523,886308,929853,1101955,1025820,979932,1168143
854232,Electronic integrated circuits as memories,334492,195201,162493,181298,150326,196703,210305,204063,267043,272027,,6706999,6571676,5658997,4455963,3635717,4128720,3855285,2748638,2896225,2805928,,3984091,3470228,2507888,2624220,2437367,3082398,3769908,2743140,3094729,3622145
30391,"Frozen fish livers, roes and milt",0,0,0,0,0,281503,224079,197993,218447,269058,,0,0,0,0,0,362243,327318,297179,252287,315380,,0,0,0,0,0,586198,600208,452566,449220,713013
854290,"Parts of electronic integrated circuits, n.e.s.",14869,8547,13183,10531,5769,10496,13467,16898,43588,268465,,1271094,1194940,1187554,1130778,1286181,1154184,1073515,1334220,1034335,1208029,,129539,77824,98278,78669,89353,88071,92035,86987,113489,383643
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",524938,360502,557981,427368,383486,342265,226298,265374,452832,264902,,2287603,2327695,2468013,2541122,2733749,3017606,3158880,3090826,2879060,2803422,,2401526,2030912,2222629,1977041,2075656,2282399,2197251,2296115,2172519,2206172
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",237553,236397,238872,226205,225918,230961,247075,244523,256027,262354,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,2254608,2177636,2259540,2113597,2267285,2371886,2570019,2538387,2639842,2908262
900130,Contact lenses,260372,243915,216682,198508,196085,201933,212744,264289,260529,261841,,866711,826612,787707,857062,775927,888809,918915,1029062,900816,1049101,,1206730,1110719,1146929,997603,1148156,1259493,1312910,1370749,1284033,1391252
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,209830,253248,257655,215100,255897,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,1085250,1266586,1244169,1203337,1600112
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),4,11660,11300,6234,0,231752,194405,229569,169465,252532,,1207738,1132765,1177329,615988,564665,753870,950387,936697,810058,1022409,,1860943,1791335,1989079,1269168,1227326,1766829,1772910,1830095,1158416,1930255
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",187441,442587,176646,229324,128699,125628,121114,57035,130868,232943,,1678284,1653282,1381688,1786444,1336449,1152277,1141548,1095205,1218709,1405089,,865253,930264,624356,600520,610241,531397,522302,469805,636689,661327
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",186587,244646,311706,287125,287555,308307,384872,313499,252257,231639,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,822059,854993,1141310,1039821,1072931,1175902,1376226,1399799,1103711,1061898
700910,"Rear-view mirrors, whether or not framed, for vehicles",114595,136988,148350,173726,189589,210236,222751,222197,215543,222628,,968935,1060512,1219864,1335757,1414915,1544501,1541675,1529672,1293150,1365315,,187419,220551,247346,280293,303865,311177,316081,301495,277294,289727
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",190733,174535,172191,165565,170657,171227,182194,186517,179327,215619,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,589204,542603,579844,547615,585446,586927,688670,673042,635943,696721
80212,"Fresh or dried almonds, shelled",167939,219882,263998,312698,235464,214502,243517,244637,254908,215470,,2493864,3209227,3554181,3771130,3229075,3266450,3375650,3687769,3425593,3381706,,170806,223969,267952,320078,241713,222164,252691,253021,259813,220944
711021,"Palladium, unwrought or in powder form",22740,9443,19236,21570,6299,3913,31328,58474,217604,211635,,801951,839360,1234780,923919,558228,1268730,1837889,2607960,4318397,4533829,,1010355,1284300,1428625,1203732,1130060,1585250,2005236,2523655,3464277,3968908
210690,"Food preparations, n.e.s.",239730,231142,192185,181700,206912,218978,211377,211153,202570,209530,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,1158768,1082073,1058275,934971,952833,982272,1021330,969208,921031,948806
902131,Artificial joints for orthopaedic purposes,310926,267909,244644,227732,229813,198946,226290,224067,210368,206235,,1624899,1684502,1691253,1656330,1792347,1815604,1892593,1902504,1496713,1530241,,532023,475119,438160,383493,402706,372048,438102,461207,456720,463098
847990,"Parts of machines and mechanical appliances, n.e.s.",61796,79383,101082,74339,108936,110772,108840,132958,123835,201153,,1771923,2003150,2579924,2101466,1917400,2510973,2749692,2614615,2458093,2248487,,508735,505240,634630,607209,660805,790725,918469,911824,807794,1063839
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",197248,204971,218690,194427,198081,220740,221291,243700,206165,198698,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,1311666,1191276,1310950,1165468,1234664,1273221,1362874,1316040,1218919,1264669
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",238947,281705,290017,250510,223490,214849,221778,210396,206803,197690,,2075560,1607660,1624219,1572624,1680961,1990398,2540873,2795843,3610942,4784336,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",128655,119669,145993,153747,196316,165050,134274,232841,361276,195471,,5730608,5424783,5982380,5683352,5304406,4696800,4291074,5292635,4023263,3920326,,188990,196988,295899,294655,398703,430677,367519,505480,711927,814512
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",223668,250174,204557,173944,162818,170953,163216,174672,162662,187536,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,517548,549847,486519,378129,397572,420239,435227,463299,442667,537226
20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",861480,444476,451417,314316,279105,253057,247551,219282,243485,182666,,2271714,1955905,2183699,1763313,1710783,1932253,2176308,2310049,2825995,2695164,,3400287,2398739,2680280,2044797,2442098,2491571,2460385,2655799,2368736,2338279
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",226694,187854,178625,163214,173228,160541,162617,173369,144222,180528,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,842076,777327,781065,738552,777547,803279,923028,1018275,974089,1029654
292122,Hexamethylenediamine and its salts,181574,160217,190826,155898,134783,148980,174240,163156,115707,179648,,703689,708423,708341,555193,448800,466029,692578,575860,416212,704466,,182922,161574,192117,157315,136436,155062,181411,180594,116557,182965
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",234528,180167,188065,167114,184578,111595,142376,288309,224456,179067,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,5491933,5392079,4731753,3877249,4166969,4287625,4491062,4349719,2860135,3055396
