Product code,Product label,Japan's imports from Viet Nam-Value in 2012,Japan's imports from Viet Nam-Value in 2013,Japan's imports from Viet Nam-Value in 2014,Japan's imports from Viet Nam-Value in 2015,Japan's imports from Viet Nam-Value in 2016,Japan's imports from Viet Nam-Value in 2017,Japan's imports from Viet Nam-Value in 2018,Japan's imports from Viet Nam-Value in 2019,Japan's imports from Viet Nam-Value in 2020,Japan's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,15083937,14233008,15416849,15124800,16268510,18538148,21144681,22476790,22042028,23013572,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",1201996,1290935,1365569,1295243,1293159,1535236,1766171,1849442,1757456,1865909,,1630398,1868144,1962344,1974574,2008435,2311678,2599179,2825387,2676329,3230456,,4244949,4191800,4205777,4028494,4027210,4407284,4829752,4988948,4524737,5151759
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",2947,692,574,25787,565900,968132,1149711,1034100,1261666,1002515,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,14041589,16522954,16355755,14367546,15274714,16904848,17722672,15441687,14907707,17984777
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,299670,383275,424096,520929,456029,430587,517417,611765,516807,634486,,807901,1076718,981103,1168713,982046,1047356,1309183,1620144,1468398,1979745,,2185117,1951209,1940548,1873739,1827487,1815185,1924449,2057236,1517425,1676112
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",0,12,0,0,0,0,149953,145143,407434,465681,,7052,1218,1294,109,759,7578,1332534,71475,66672,563920,,912319,695406,688712,153734,297187,368692,388393,426592,869017,889514
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",397170,434198,447473,361322,349218,430963,364095,341692,320120,314917,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,1909284,1952762,1833274,1466692,1563541,1678286,1505497,1442958,1324693,1464914
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",148,860,937,1534,2557,4063,9765,36643,60112,307835,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,331553,317494,325009,311906,342343,536543,685146,1007695,1264136,1228387
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",90830,90110,90240,100081,81745,89578,102579,123926,175753,304388,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",56560,71594,102076,146849,229481,279421,343910,350646,296386,275573,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,269009,321401,362920,412253,563871,642576,763327,722060,625443,596913
440131,Wood pellets,566,506,394,4474,8298,17831,62921,147766,185775,272533,,4318,23132,120594,103432,119746,172263,361676,309220,351877,528547,,19358,20003,24459,45502,63142,87347,194520,283569,342112,562691
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",83538,86779,99512,102950,147306,200661,221179,217064,239646,271881,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,1582259,1517652,1613422,1425235,1429003,1540795,1727734,1747549,1692730,1926344
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",57717,109540,113749,125274,141674,196744,270365,328289,272347,267911,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,1240010,1262044,1254106,1176578,1148966,1148335,1308666,1472056,1378745,1536827
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",91652,133060,145906,138360,160483,161849,195657,241367,260069,262772,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,1192070,1164692,1089616,1026898,1132970,1146712,1208347,1358420,1220003,1284660
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",145476,172848,211985,240378,269127,273859,276847,337224,314074,248337,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,2556361,2397053,2321639,2192741,2274906,2311414,2431693,2558207,2238627,2209764
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",230873,248895,273494,245004,242103,252479,262012,265745,265506,248294,,832872,912531,1170711,1337505,1360439,1533406,1700448,1960324,2307078,4244570,,1427465,1317482,1310771,1130949,1098141,1115972,1138172,1154829,1136014,1195922
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",170485,208456,247448,207876,210967,228140,236514,241900,244301,236174,,374771,589144,791827,709501,733870,656514,434969,356845,382655,1251187,,806548,772389,719885,643754,630053,658250,680268,676782,635443,650579
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",45042,47626,40702,51409,99421,169603,131040,157260,181854,236117,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,3790303,3061679,2963897,2695723,2710222,2947692,2174448,1841750,1972781,2037791
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",79334,112894,160463,203075,216258,222207,238476,280700,267924,232347,,581468,692154,937915,1146904,1188910,1390720,1504113,1656412,1315052,1684502,,3035744,3020756,2780310,2624621,2496347,2471419,2590491,2454557,2132157,2301468
392321,"Sacks and bags, incl. cones, of polymers of ethylene",89641,111448,134328,153265,170074,209095,275580,285267,243402,227155,,396946,449274,515122,516201,541101,637727,756788,792276,762485,904378,,1242981,1279383,1372644,1249720,1219949,1247623,1364980,1291930,1129449,1086114
999999,Commodities not elsewhere specified,168434,145469,133866,120567,152366,221395,261672,254339,244307,224618,,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",78398,75329,83421,116838,170426,204336,222945,242970,200029,218908,,212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359,,2090852,1980887,2022828,1915683,2000005,2127142,2286518,2296681,2050078,2419217
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,47455,68250,97938,120157,151206,185474,214354,268611,239656,218587,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,1086989,1255915,1349455,1359379,1328757,1369961,1398574,1406475,1122449,1165765
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",140922,113386,138300,146426,164782,174657,201785,227616,239635,211158,,480199,603948,780841,920727,950496,1097543,1306111,1343366,1196554,1507200,,796321,700238,694733,647655,677609,684282,786479,823381,752352,717567
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,121727,113289,135117,157106,190378,176560,189945,232899,220073,208471,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,1687224,1566804,1441206,1298540,1303138,1199205,1140533,1153256,965023,997591
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",98463,90050,134788,148729,151084,149338,171183,201979,195550,183111,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,790969,812151,866375,851309,840212,806585,861012,874894,734930,693739
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",117472,132375,148092,149024,158829,176345,197020,209179,164821,177052,,154786,171392,189757,188458,192201,210215,242955,267371,208846,251020,,712038,674409,645243,548062,543337,538443,543177,550122,458835,500722
