Product code,Product label,"Korea, Republic of's imports from Australia-Value in 2012","Korea, Republic of's imports from Australia-Value in 2013","Korea, Republic of's imports from Australia-Value in 2014","Korea, Republic of's imports from Australia-Value in 2015","Korea, Republic of's imports from Australia-Value in 2016","Korea, Republic of's imports from Australia-Value in 2017","Korea, Republic of's imports from Australia-Value in 2018","Korea, Republic of's imports from Australia-Value in 2019","Korea, Republic of's imports from Australia-Value in 2020","Korea, Republic of's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,22987588,20767843,20441467,16451177,15165382,19126143,20699049,20606103,18712760,32914445,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),6269153,5940127,5595192,3296435,2814004,3549258,3369428,4663571,4977707,8337577,,59192644,68522713,69260622,36622883,39226993,49108087,46529095,65588606,78020629,115981729,,8416659,7797115,7959540,4582840,3760830,4988901,4847160,6480176,6708559,11177684
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",5850199,5169480,5026414,4333964,3705683,5369065,5413319,5330820,3617107,7287553,,43691288,38380799,35187114,29623822,28260420,40555876,47206109,44407758,32725070,43934284,,14221223,11629780,10723078,8678974,8167716,13493699,14653133,13065942,8794979,13475991
271111,"Natural gas, liquefied",611697,453902,622264,961449,1778013,2913965,4252028,3741124,3027383,5762888,,14676410,14824997,16451316,12582034,13559824,19937263,31970665,35167504,26312442,36957140,,27364464,30666717,31423901,18781885,12160921,15620996,23200103,20575241,15718260,25456410
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",2195031,1750559,2178569,957046,519801,635988,808335,497797,545136,1587457,,11349993,8767731,9712073,4674961,3600939,4030615,5943795,6466832,4415758,7495954,,108298231,99354751,94971596,55132262,44238339,59595047,80374087,70193489,44461676,67019705
260300,Copper ores and concentrates,892615,741306,618781,611816,576635,603311,476627,508188,911443,1328508,,5509173,4961113,4924529,3708019,3444415,3642575,4504115,4253445,4613540,5849603,,4570946,3938599,3635810,3504131,2826088,3582263,4055585,3455694,4236416,6017233
20230,"Frozen, boneless meat of bovine animals",335182,412356,436284,551032,562009,504431,523019,569386,528147,623550,,2828207,3370846,4371609,4277980,3075554,3223065,3694760,4468083,3749032,3750481,,598500,662960,751750,872472,976018,915329,1077889,1196068,1114412,1327449
760110,"Aluminium, not alloyed, unwrought",593114,687861,520771,644919,729882,649372,632974,527948,668099,601674,,2699037,2591341,2487668,2354220,1989538,2101616,2639721,2247243,2163671,3128382,,2098234,2146406,2216040,2062720,2037813,2343288,2262748,2048395,1864023,2988525
260800,Zinc ores and concentrates,237913,248106,244261,351445,275894,415816,628685,308307,335062,594425,,1369188,1395794,1628755,1570517,877794,1344075,1908750,1761226,1368085,1897005,,1393858,1247851,1431653,1279082,1364161,2073346,2170306,1686573,1350980,2039407
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",229791,202070,138544,246090,174616,137056,27163,42372,168385,588320,,856588,475882,150880,15695,26504,85553,143538,123102,1464776,2493025,,1123791,1089087,1028171,932983,612552,1214576,747576,675455,655975,1498069
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",36,25,0,9592,12,8251,90508,39697,9192,541881,,15141407,12938150,11889298,10709989,13390949,12999194,13986349,16124214,15983700,15003130,,342722,262520,271479,296581,298806,977018,265136,208158,249929,1071474
270111,"Anthracite, whether or not pulverised, non-agglomerated",504859,512014,439999,415365,321226,325576,369283,411023,263867,468574,,48527,19388,7099,4106,43272,0,0,4339,21,557,,1360548,1136581,920569,805387,758968,934994,1194184,927152,606888,888923
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",522625,375804,367230,398543,635138,738935,415668,358011,311632,450079,,0,0,0,0,0,0,0,0,0,0,,985998,806424,752428,623744,674744,789625,602657,575322,590495,792545
20130,"Fresh or chilled bovine meat, boneless",211018,211099,241083,263847,297746,291374,321137,296561,327775,435193,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,271459,277859,340931,395929,488507,644701,770882,789179,900948,1282426
260700,Lead ores and concentrates,451861,346034,240871,225620,208398,146227,154506,150313,290870,365783,,1211398,1048874,1004569,717711,383891,338970,441416,674487,560462,697812,,1820444,1329555,1533554,1149902,1597720,1603776,1524025,1365410,2009460,2372395
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",698894,371091,349564,310807,266189,267540,299358,317771,302562,359347,,6711806,5832548,5270968,4352815,3557764,4560185,3028659,2513816,2710166,7097704,,1773167,1615625,1210249,1105412,1007087,956621,1001515,989795,968719,1345941
750210,"Nickel, not alloyed, unwrought",94901,60770,42468,20347,51959,52544,135910,165475,147595,281379,,0,0,0,0,0,0,631977,1081519,249116,0,,303138,283020,314832,224395,228198,243386,390873,461759,376533,636780
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",2344,2275,2254,1644,1039,1612,27642,83189,86165,179801,,0,0,0,0,0,0,0,0,0,0,,117880,130335,120019,114850,104045,151205,218047,274172,279259,458637
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),56325,22938,52775,32121,17468,0,20688,38707,0,179694,,347436,293586,282461,152306,183665,175951,245262,253400,338037,631326,,1115077,535923,532503,334207,286218,461193,542276,468379,222543,901258
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",88953,94073,123818,120241,105008,129391,135559,145222,145050,165855,,167050,248705,352822,286477,216745,255374,298897,453852,356865,415507,,344977,403013,519810,491039,568458,628015,748658,859195,802658,807384
740311,"Copper, refined, in the form of cathodes and sections of cathodes",13213,8046,28639,6915,65837,21173,72054,89815,54309,156771,,2874343,2981403,3406544,2586185,2160012,2157517,2452004,2694740,2373329,3243876,,2271340,2111733,2322210,2066340,1831200,1882842,1733119,1386512,1336640,2894728
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",146436,204252,170060,123346,110080,187722,222261,162819,112707,120082,,1270243,1470184,1251215,853465,513925,0,0,0,0,0,,292562,364953,301210,221882,167423,324305,415818,269337,213352,289918
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",0,11174,0,0,0,0,30633,109899,25775,100106,,885002,635569,593699,245048,243764,354622,435127,372167,260424,344664,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
20629,Frozen edible bovine offal (excluding tongues and livers),71968,70024,82611,100488,83642,81745,86533,81717,89825,98192,,317058,343897,400898,335838,296298,321085,363842,392964,372827,471322,,135170,130481,148386,159274,156991,156855,164700,147747,156733,165168
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,40601,16811,22758,45500,0,0,0,0,97122,,46392,59943,265459,48662,14432,5920,8593,19117,6509,99361,,1896279,1025909,1214331,1251022,1041945,995084,959699,849398,1921522,1937581
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",0,0,21253,7620,0,50695,151363,189540,177807,95761,,44329,32307,38610,24865,32982,45900,49717,77881,63421,67337,,568753,317464,402710,522199,597424,199734,521136,610856,552617,358651
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",64198,69190,77502,78683,57207,54661,37018,28120,42643,94885,,381842,362918,370661,382407,341947,397956,448478,383745,358873,651186,,1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",44485,44691,56655,50353,37381,56841,40470,20886,36646,76053,,353695,400515,299278,235445,178289,247728,286184,252749,267791,494266,,2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,33042,10307,26150,57823,53713,62690,60200,59897,60751,73772,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,375890,344850,333257,308464,317235,400962,406979,379418,357692,494072
210690,"Food preparations, n.e.s.",45882,34144,35658,34735,37328,44482,53932,59839,71233,73210,,226406,277176,388229,731539,1024245,1318490,1068136,821079,782213,712995,,692285,776249,901578,915080,1066766,1174692,1380331,1710688,1913551,2166919
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",9610,10528,12843,15148,11203,14166,18805,22615,40152,63914,,15131,15875,24219,23296,32971,27795,19484,21139,41571,66392,,68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",98866,97038,74081,67269,53326,49833,54199,57623,59703,62627,,3935,3313,3839,3315,4115,3264,179136,5352,4685,111124,,194733,209427,183707,158892,141452,132491,162496,166706,165091,215743
760120,Unwrought aluminium alloys,69038,20300,42565,42722,20969,34380,59369,91451,54175,61929,,1084742,856690,860536,596619,373611,509552,603687,527971,417851,742206,,1066883,939541,1091670,987994,823354,1012695,1018484,896695,664700,1049981
120929,"Seeds of forage plants for sowing (excluding of cereals and of sugar beet, alfalfa, clover ...""",101070,33498,90259,28080,29042,42980,48127,32837,24360,61886,,19366,15379,13908,16253,17781,14955,18247,15627,15456,17820,,107527,39333,98697,38833,45431,59879,67958,40955,34238,71608
20422,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)",426,989,2959,4900,10323,22148,30387,34116,40427,59847,,353441,390211,443252,409501,398503,429216,493262,522994,547385,692770,,427,996,2959,4901,10337,22148,30504,34735,40811,60006
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",12265,11613,17815,20214,25884,45358,52068,46619,51051,54863,,625049,822870,1044738,759880,687072,995968,1177708,1418754,1208444,1518543,,13747,13158,19743,22501,29370,52962,59850,52292,58355,69251
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",50387,56677,57634,52974,47252,66359,60949,50863,48014,51476,,566372,380077,284586,327143,307621,343665,339362,366254,389166,522731,,345747,378882,326182,315901,284667,393324,337045,340839,316656,333051
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,5773,5232,8603,13973,19474,15438,31998,34871,40344,44159,,117322,129659,112933,100182,118974,116714,141640,121142,129982,116266,,193765,197783,224353,234130,251718,241285,312014,327300,364382,396575
510130,"Carbonised wool, neither carded nor combed",39903,52828,57705,80208,87850,81151,93916,68156,38713,43886,,97274,108098,108702,137430,138592,129835,153160,104617,62969,86684,,58325,72788,70845,89304,96553,87384,100861,74093,41077,49075
440321,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is =>15 ...""",0,0,0,0,0,9498,1099,0,4759,36747,,0,0,0,0,0,282436,308703,259238,210489,57598,,0,0,0,0,0,279895,227235,189419,171083,250018
20443,Frozen boneless cuts of sheep,8141,7567,11437,15426,18340,30262,34055,33740,29670,34115,,242409,277985,384186,339963,323058,440236,454425,403083,403969,470575,,9481,8656,12357,16280,19642,31933,36075,36623,31315,35540
20120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",40492,40432,45880,37792,31435,31234,31644,26511,24061,33574,,44755,62651,60245,55743,61996,65241,68304,72033,72931,96162,,45171,51848,60824,56230,58535,75191,94483,78928,77980,142715
440322,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is <15 cm, ...""",0,0,0,0,0,3617,287,0,339,29825,,0,0,0,0,0,118120,84833,133267,177256,75287,,0,0,0,0,0,71679,78577,46684,35081,73833
250510,"Silica sands and quartz sands, whether or not coloured",19974,19748,30099,30431,36038,39762,35610,37251,29459,29659,,83717,4307,0,70362,74309,87279,100522,96827,50987,0,,52997,47102,57222,53506,57067,57640,54432,56877,45905,46661
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",7781,7049,7316,8124,9279,11210,11703,11297,17245,29441,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,124253,143873,152434,155725,153697,163602,192724,203837,275361,469255
281410,Anhydrous ammonia,121215,275257,181514,151049,55227,19898,32838,22874,12970,28159,,244902,344051,265625,215785,98258,85347,70622,74023,45627,165116,,752848,731863,667238,505927,396205,407383,478852,398143,331333,746305
110710,Malt (excluding roasted),75364,73336,88026,88548,50479,56759,51311,51240,45715,27821,,354825,359553,328812,288312,221457,253605,278440,350149,315106,420464,,118491,107300,140305,131788,91295,94496,92440,88128,63958,62794
50400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",16100,20206,19646,17388,12979,17278,25238,38732,37295,27634,,89964,85597,110423,162742,141389,170110,226517,172620,133770,168264,,84320,81584,75874,62586,54112,75385,137671,159798,139968,113081
100590,Maize (excluding seed for sowing),21980,23368,21242,19924,10110,16185,20006,11721,15611,26448,,25236,40513,21921,15690,12625,21513,12682,17550,16106,28979,,2600504,2673497,2629308,2213078,1894924,1783555,2126007,2347837,2366225,3218347
