Product code,Product label,"Korea, Republic of's imports from China-Value in 2012","Korea, Republic of's imports from China-Value in 2013","Korea, Republic of's imports from China-Value in 2014","Korea, Republic of's imports from China-Value in 2015","Korea, Republic of's imports from China-Value in 2016","Korea, Republic of's imports from China-Value in 2017","Korea, Republic of's imports from China-Value in 2018","Korea, Republic of's imports from China-Value in 2019","Korea, Republic of's imports from China-Value in 2020","Korea, Republic of's imports from China-Value in 2021",China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,80782203,83037429,90072159,90236930,86962000,97856886,106478995,107219763,108870202,138622072,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
854232,Electronic integrated circuits as memories,2515738,2807360,3641614,5555093,5944223,8292636,10211436,12865369,13622662,16477657,,14374599,17692084,17566232,21566607,23241587,29621004,43966741,52446486,55864236,68017077,,5091921,5718313,5908469,7549418,7505162,10916151,13160500,14970347,15644386,18828553
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",833876,965507,1680515,2973143,2392913,3589193,3263786,2639434,2976438,3428375,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,1035993,1038572,1763019,3067955,2885440,5000070,4316703,3778438,4103680,4953186
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1772616,1743260,1781334,1644928,1721191,2049807,2085423,2320783,2663717,3235410,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,1811183,1791005,1848781,1706756,1852511,2314068,2390393,2705992,3470964,4365444
850760,Lithium-ion accumulators (excluding spent),291211,282796,284167,231229,265127,569856,1107060,1126618,1523818,3100089,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,464023,511797,462385,402507,394591,670951,1224303,1248932,1632726,3357021
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",782246,666350,961081,2323657,1622357,1131375,1178444,974352,1456997,2564824,,27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",178972,119196,119954,100328,79381,98459,120095,1041192,1324667,2560434,,557985,342608,401106,248370,226241,353225,510406,237493,147239,298756,,213144,145442,139541,120400,96461,116152,143170,1143158,1465327,2749034
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",220597,236480,240204,236708,298220,666968,987797,2709364,1863939,2074861,,10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292,,645810,674780,737450,733166,777728,1363169,2064663,4827993,3576043,3535942
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",523086,599656,751894,953911,850095,877613,1047197,1524898,1562447,1898788,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",1409961,1483551,1537512,1621232,1664986,1705949,1764495,1712972,1549228,1678082,,3275555,3210607,3185246,3043440,2884272,2821791,2885776,2694484,2277879,2454516,,1437683,1524206,1603963,1708006,1803514,1848779,1948776,1975836,1951201,2161088
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",527863,635168,789702,717114,755275,722023,713746,737425,964652,1617331,,7507618,17754192,14007051,14391300,9410901,7967090,9251060,11271565,17743826,20711290,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,878638,739753,865627,1080330,1355868,1211132,2323922,2205432,1667544,1569437,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,1837600,1868131,1923454,2344343,2676294,2989067,4678803,6033076,5096197,4885940
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",506685,526901,436481,353619,413166,562425,765145,872572,921024,1296797,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,903143,953544,939070,959704,1021298,1275707,1634311,1733327,1701183,2322838
853400,Printed circuits,1188204,1341458,1339444,1102330,938262,904019,866546,830407,844255,1134344,,13739259,13347306,13837881,14134098,12910074,13972709,15270708,14653143,15105857,18916641,,2696679,2818361,2583840,2375745,2173989,2397242,2228141,2255671,2361354,3098227
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1292846,1348432,1434522,1261762,1136127,1274030,1007027,1285174,1034176,1056061,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
850110,"Motors of an output <= 37,5 W",261132,253598,245576,252636,380034,565421,424399,393559,508263,1038947,,2657818,2756568,2840126,3064187,2919399,2979901,3084423,2966454,2774326,3264798,,434025,405838,409441,406239,664526,939550,758289,660236,934635,1884213
