Product code,Product label,"Korea, Republic of's imports from India-Value in 2012","Korea, Republic of's imports from India-Value in 2013","Korea, Republic of's imports from India-Value in 2014","Korea, Republic of's imports from India-Value in 2015","Korea, Republic of's imports from India-Value in 2016","Korea, Republic of's imports from India-Value in 2017","Korea, Republic of's imports from India-Value in 2018","Korea, Republic of's imports from India-Value in 2019","Korea, Republic of's imports from India-Value in 2020","Korea, Republic of's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,6920826,6182544,5274760,4239768,4188967,4949357,5884201,5566103,4899579,8055383,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",3750458,2384507,1732049,831117,972148,1005821,1275333,1206076,1043753,1853364,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
760110,"Aluminium, not alloyed, unwrought",227905,304325,327143,469863,470830,792750,874290,762762,705016,1727470,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,2098234,2146406,2216040,2062720,2037813,2343288,2262748,2048395,1864023,2988525
720241,"Ferro-chromium, containing by weight > 4% of carbon",195658,208095,162327,144474,150840,240901,277608,207554,143062,192476,,738559,695956,497810,479936,510055,1030697,926967,794399,599542,981159,,547162,567569,499757,498648,473699,688584,668230,516080,396524,662355
780110,"Unwrought lead, refined",40622,56456,53572,33299,13628,41426,126679,90516,78178,172320,,60274,145202,126084,120868,101937,283992,344468,279446,236998,303480,,188957,307272,231088,203590,160481,171209,216861,146203,179890,248570
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,0,0,0,0,42453,106333,76478,15573,158792,,17380,237678,191006,96717,467979,887730,899455,1337903,1483900,2050003,,1115077,535923,532503,334207,286218,461193,542276,468379,222543,901258
293410,"Heterocyclic compounds containing an unfused thiazole ring, whether or not hydrogenated, in ...",22675,28175,19467,27638,13354,16963,80420,49097,59093,127451,,4409,17116,13009,10681,8829,18381,41819,37862,83427,72364,,54140,53998,47992,79243,55441,50734,116875,81134,103642,160213
230649,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",119458,128744,143678,115242,50419,40569,97918,90733,94898,112652,,241823,340745,332946,183097,82574,108037,211699,199929,241203,256608,,120604,137627,145615,130629,66478,46920,97919,90733,96217,115210
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",38271,37620,46373,44854,52294,55758,57055,57883,58780,82493,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,44861,44950,54630,53672,59711,63195,63339,64276,79400,109912
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",34000,39397,56174,48365,40086,51419,53441,57902,62389,75881,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
