Product code,Product label,"Korea, Republic of's imports from Russian Federation-Value in 2012","Korea, Republic of's imports from Russian Federation-Value in 2013","Korea, Republic of's imports from Russian Federation-Value in 2014","Korea, Republic of's imports from Russian Federation-Value in 2015","Korea, Republic of's imports from Russian Federation-Value in 2016","Korea, Republic of's imports from Russian Federation-Value in 2017","Korea, Republic of's imports from Russian Federation-Value in 2018","Korea, Republic of's imports from Russian Federation-Value in 2019","Korea, Republic of's imports from Russian Federation-Value in 2020","Korea, Republic of's imports from Russian Federation-Value in 2021",Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,11353882,11496259,15674507,11312618,8633474,12049114,17500351,14549761,10622976,17352293,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1792264,1709014,4026799,2096546,1827095,2353750,3550125,2955874,2537101,4383019,,15377855,17638570,22212195,12524204,10759136,12909371,16750754,14160911,9954896,15688290,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",3904980,4325658,4258728,3500634,1945001,2920304,5845703,4618373,2385523,4270400,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,108298231,99354751,94971596,55132262,44238339,59595047,80374087,70193489,44461676,67019705
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1354756,1281625,1381111,1424040,1432581,2260878,2872405,2427572,1677425,2201643,,11635170,10599759,10408217,7955494,8054092,11898508,14606792,13616669,10743061,15439803,,14221223,11629780,10723078,8678974,8167716,13493699,14653133,13065942,8794979,13475991
271111,"Natural gas, liquefied",848088,569238,1248092,1281569,581615,711007,968773,1096920,776794,1715065,,4679063,5510958,5243511,4545762,2899797,3173802,5285983,7920048,6745828,7320221,,27364464,30666717,31423901,18781885,12160921,15620996,23200103,20575241,15718260,25456410
711021,"Palladium, unwrought or in powder form",5168,5193,2789,40736,39702,159905,248032,312795,210430,499376,,1463889,882242,448250,662655,1785805,2448253,2808706,4255992,6448950,6540675,,406702,442939,531301,425962,286080,439804,479763,817882,994435,1503736
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,261415,317889,375107,373514,413725,,0,0,0,0,3,282372,412732,541975,651874,922391,,0,0,0,0,0,299721,363678,409843,410734,457049
270111,"Anthracite, whether or not pulverised, non-agglomerated",218072,245153,192222,233856,283574,390232,562126,378681,282012,362545,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,1360548,1136581,920569,805387,758968,934994,1194184,927152,606888,888923
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",50143,372478,1215638,174669,68265,259299,377427,263989,206441,273596,,88245886,91776552,93595475,53088209,35192532,45335013,61357826,52726494,35405155,54277319,,5146332,6884243,7760657,3337556,2664516,3564408,5094896,3396484,2587689,4429473
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",391390,388971,353641,220649,228466,299321,335650,225117,165307,267097,,1133620,1147539,1463047,1041593,936646,1123480,1411775,980019,1055031,1362481,,4061232,3339632,2828226,1313016,1236048,1700149,2238712,2013531,1108587,2145777
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",167661,337444,249251,300234,234336,255822,184916,203767,224295,251737,,9,89,131,0,0,0,0,0,0,0,,635313,975920,688483,817491,536091,940913,538138,706565,725110,744036
30367,"Frozen Alaska pollack """"Theragra chalcogramma""""""""",221446,202793,213773,212927,208241,199907,195764,140619,180883,247529,,909669,959912,883402,918000,819625,763687,741318,984980,890773,601007,,231537,208463,221866,224637,222422,208828,203328,150654,195227,257637
760120,Unwrought aluminium alloys,350916,275586,287047,212049,217544,298596,289719,70115,123298,239249,,1961162,2100064,2112002,2283458,2046337,2455331,2028781,1493269,1320676,2989431,,1066883,939541,1091670,987994,823354,1012695,1018484,896695,664700,1049981
720221,"Ferro-silicon, containing by weight > 55% of silicon",83489,77830,89692,53425,55649,93562,30691,50377,44250,154742,,558901,509652,543939,475495,397874,320100,555232,445535,347713,624485,,332507,296929,328400,279855,227194,286742,309883,267886,205718,447528
100590,Maize (excluding seed for sowing),2514,30540,184316,144945,196006,184842,197173,7676,53566,152664,,572959,589537,699509,584171,854201,883268,849216,611443,390394,688083,,2600504,2673497,2629308,2213078,1894924,1783555,2126007,2347837,2366225,3218347
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,45776,42517,53621,44581,101391,,0,0,0,0,109,1289655,1601758,1717598,1583551,2476603,,0,0,0,0,0,111301,116007,119258,122528,227370
30391,"Frozen fish livers, roes and milt",0,0,0,0,0,90908,84542,84511,72743,94474,,0,0,0,0,0,293897,362784,264425,240160,510148,,0,0,0,0,0,113363,122477,109011,91333,113193
711031,"Rhodium, unwrought or in powder form",1695,992,530,1342,1415,2971,11972,8768,115117,93143,,96975,76372,105007,74249,60942,80381,131096,227995,671966,1124216,,49169,36919,37323,30955,16364,30356,78356,157296,503964,1196633
30363,"Frozen cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",38316,37348,34575,31136,33638,52015,41985,57350,47365,90360,,135791,171888,203068,192022,284137,389248,432457,426278,415010,500767,,47414,48104,42958,41685,55079,66141,52271,64522,57235,96581
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",37414,41285,50370,59901,67087,70257,70117,77572,74507,71072,,7099,13211,15306,9680,10326,8660,8575,9845,10934,10979,,51319,57840,65915,73136,86332,90347,88170,97625,89005,82315
