Product code,Product label,"Korea, Republic of's imports from Saudi Arabia-Value in 2012","Korea, Republic of's imports from Saudi Arabia-Value in 2013","Korea, Republic of's imports from Saudi Arabia-Value in 2014","Korea, Republic of's imports from Saudi Arabia-Value in 2015","Korea, Republic of's imports from Saudi Arabia-Value in 2016","Korea, Republic of's imports from Saudi Arabia-Value in 2017","Korea, Republic of's imports from Saudi Arabia-Value in 2018","Korea, Republic of's imports from Saudi Arabia-Value in 2019","Korea, Republic of's imports from Saudi Arabia-Value in 2020","Korea, Republic of's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,39707051,37664947,36724136,19572876,15723435,19561250,26331066,21814446,15980047,24271134,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",35579981,33067007,31686636,16599280,13366177,17003290,23449727,19803071,14563551,21320473,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,108298231,99354751,94971596,55132262,44238339,59595047,80374087,70193489,44461676,67019705
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1912349,2291331,2835092,1657413,1284420,1196535,1485847,1037974,520982,1152934,,19361542,16654561,22949962,24020889,9738412,31705439,0,0,0,0,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2887,3072,57232,700,1435,1249,1901,18042,56869,561152,,3367498,2402657,2837271,35895,882970,3901,3457,0,0,0,,5146332,6884243,7760657,3337556,2664516,3564408,5094896,3396484,2587689,4429473
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",164488,165217,130057,137532,86954,172988,143899,161573,95903,233617,,135554,456790,516447,417732,374216,472973,518111,414873,433092,792353,,2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
290531,"Ethylene glycol """"ethanediol""""""""",413901,399269,353522,209891,167889,193741,214139,107661,86570,154646,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,497911,516481,426356,273542,192507,237935,237266,203556,198222,261186
281410,Anhydrous ammonia,301031,276510,281327,111625,79459,208929,194995,120865,114488,146558,,133859,776517,2063961,1245091,524570,273376,1541988,1648032,1549873,1453624,,752848,731863,667238,505927,396205,407383,478852,398143,331333,746305
290511,"Methanol """"methyl alcohol""""""""",158525,134009,99054,85856,69350,118744,110082,68460,69498,112827,,1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151,,640590,709510,638937,485700,368131,560029,759683,496347,421595,790797
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",16881,31517,36957,35209,35656,70514,89352,89197,52964,93358,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,174566,186951,224496,192112,171119,226769,242290,257038,225403,290870
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",47030,88660,72002,35051,19934,49856,29699,30970,36954,68834,,144839,258097,293256,229055,246158,302291,276477,180266,161699,321928,,1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
290516,"Octanol """"octyl alcohol"""" and isomers thereof""""",19999,34873,25172,36457,34355,31711,33954,29874,20837,50045,,18324,14530,9929,6540,6039,6915,3903,3384,2075,3491,,77232,97437,166773,117861,129711,134989,155819,88498,68879,121761
290513,"Butan-1-ol """"n-butyl alcohol""""""""",0,0,0,0,22505,40672,37816,25139,6547,41940,,0,3126,13487,623,6036,13220,1844,740,553,11425,,79949,82051,65067,54651,55223,60555,76939,57547,35104,95044
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",5212,9970,14168,5296,4911,1298,4677,2835,11647,38123,,15666,14867,12513,9275,4537,36305,26336,61780,62855,195799,,111262,115612,131680,117527,136573,168519,214404,174893,144524,272198
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,12967,17701,13060,21066,30957,,0,0,0,0,0,0,0,0,0,331962,,0,0,0,0,0,125405,147672,113143,107731,182940
271311,"Petroleum coke, non-calcined",0,0,0,8968,9007,20278,24562,14541,5217,30001,,0,0,0,0,0,0,0,0,0,0,,136326,50314,102649,89154,82945,171347,157847,114843,40632,47509
390740,"Polycarbonates, in primary forms",4814,4764,5494,3973,2552,3818,28775,8171,10751,19671,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,261783,275204,297742,246152,223591,229304,258699,200926,181986,224695
780110,"Unwrought lead, refined",3248,12913,6364,4769,3285,7317,109,4532,8945,18738,,878,0,458,349,10662,38268,45695,61863,52777,98682,,188957,307272,231088,203590,160481,171209,216861,146203,179890,248570
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",3337,0,0,0,4691,3642,2974,13450,14658,16582,,136590,144758,120046,80126,39860,12118,21666,17065,6505,11654,,100484,96489,115403,94315,112885,127096,114403,190020,163067,245829
290250,Styrene,105650,112348,112841,72555,26433,7091,0,9390,6143,15290,,1774419,1755784,1987511,1355523,1287086,1313016,1242125,1499683,1112860,1418800,,1161020,1618630,1331431,876995,830452,979066,415218,508057,533533,501527
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",367307,438064,355909,135995,116094,61074,69911,11138,16561,13733,,3239553,3165844,2803150,2518400,1812536,1467888,0,0,0,0,,2839117,2810241,2592471,1188311,939564,816616,922553,656949,522050,1149342
290211,Cyclohexane,658,0,0,0,0,0,0,2377,0,13493,,284720,299277,364671,241908,201052,153882,331990,220279,127391,290515,,23031,2449,1691,6948,17153,36401,67344,35098,8399,37723
260800,Zinc ores and concentrates,11125,2103,7285,5768,3579,0,8630,7580,0,13432,,27225,48777,38236,37328,20837,15272,81903,28909,52487,52939,,1393858,1247851,1431653,1279082,1364161,2073346,2170306,1686573,1350980,2039407
760110,"Aluminium, not alloyed, unwrought",465,77158,235900,225445,169591,63915,101660,62726,69502,13277,,7311,353294,1090840,987209,1083300,999936,951749,840479,969837,825857,,2098234,2146406,2216040,2062720,2037813,2343288,2262748,2048395,1864023,2988525
271112,"Propane, liquefied",398417,327795,280875,76217,108303,80061,12701,15817,0,12322,,3657373,3123183,2470855,2438776,1421602,1812647,0,0,0,0,,2737205,2278736,2258899,1450972,1635854,2142070,2742467,2741196,2564639,4056621
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",0,0,0,0,0,0,0,0,0,12291,,0,0,0,0,0,0,0,0,0,0,,247537,64572,130535,83180,136003,168446,141425,138963,40900,167060
291531,Ethyl acetate,0,3522,1962,14450,1679,7572,13546,5913,5084,11473,,0,52980,124798,86842,66036,64749,73198,74176,89061,132589,,80020,79329,75117,67403,52219,47878,55501,27259,25582,40198
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,2773,8018,6533,6722,11125,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,32647,25316,23973,26776,20158,5959,11905,10418,9573,12662
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",0,0,0,0,39,2615,24598,23006,10997,9276,,776,7608,4405,5232,5558,211029,605809,633743,489422,995149,,104636,137370,185740,229315,250286,295106,319336,259039,204249,341610
292215,Triethanolamine,0,0,0,0,0,590,5514,6048,4334,6421,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,8737,7805,9216,7926,9567
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",13006,9669,10836,9025,8964,7968,7080,1724,3255,6351,,424,346,110,3025,123,15,101,15537,52620,128676,,94811,99581,105079,98230,95294,113413,133329,126419,128778,193755
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",880,785,2338,3301,5529,5509,1373,1855,1929,4348,,0,108,15645,19104,9932,862,8342,384,791,717,,4934,8068,8500,8581,12347,16783,20664,15215,13703,24675
292211,Monoethanolamine and its salts,96,307,973,66,17,750,2661,3926,2630,3978,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,6923,7686,10495,5618,3748,5050,5476,6372,5567,8308
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",2705,1312,1618,1311,1586,13141,18389,18008,2218,3668,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,65613,76011,92095,82819,83841,109525,112750,169886,167708,130130
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",12993,0,20,11,7891,273,8063,292,8070,2528,,1326107,1018839,1103896,1048634,861350,901283,1227489,1101423,1155233,1720655,,331004,288998,242405,222962,196944,214176,264964,251615,234974,417984
292121,Ethylenediamine and its salts,485,473,36,0,0,93,1042,1051,1576,2515,,139,219,16279,19682,15190,30010,88579,70970,86236,154531,,9751,10050,12365,15414,10183,11262,13853,10418,8958,14856
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,0,0,0,4,612,268,1288,2399,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,24009,25633,29872,31354,33818,35381,36955,32174,34256,49004
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,3060,6511,5268,2289,2309,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,67645,103491,110450,114507,108017
292212,Diethanolamine and its salts,56,0,24,44,0,214,1636,1569,1448,2000,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,6158,4445,5237,3142,2581,2917,3062,3242,2720,3859
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,3026,6479,2760,1849,1640,1376,1504,1154,874,1803,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,375890,344850,333257,308464,317235,400962,406979,379418,357692,494072
391590,"Waste, parings and scrap of plastics (excluding that of polymers of ethylene, styrene and vinyl ...",3068,2753,282,333,692,352,683,1111,298,1720,,35260,28890,18160,15229,4451,1562,1968,156,2128,3681,,18827,14371,15664,13344,9760,14717,43964,41506,26972,30131
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",15,93,92,0,369,2932,1201,1,145,1633,,22237,31407,10400,10030,28011,7000,16333,0,0,0,,2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",0,0,0,0,0,0,0,424,1624,1505,,0,0,59,0,0,0,186,0,0,0,,68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
282530,Vanadium oxides and hydroxides,0,0,0,0,0,0,812,0,0,1134,,0,0,0,0,0,0,0,0,0,0,,38515,15796,13150,37834,40029,82285,162781,108432,45050,75084
291614,Esters of methacrylic acid,0,0,0,0,0,0,0,1,1102,1031,,0,0,0,0,0,19692,313948,339597,412384,429868,,163529,151731,131480,128399,149711,248552,250684,139727,84722,138735
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",4680,847,3193,4989,9055,9404,11861,7096,2352,1029,,25792,6135,50154,69198,98229,228216,261035,111901,51491,96828,,292485,305498,412736,343255,357362,434825,460837,450221,441702,501638
292910,Isocyanates,0,0,0,0,0,0,6398,6416,1582,817,,49,138,207,17,21,309069,961009,257418,256115,150834,,93939,84049,94853,95482,88948,83368,99956,95214,75273,93316
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",0,0,0,0,0,169,800,75,189,523,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,93134,95308,96837,94879,89544,94087,106315,91891,77614,113307
731100,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",0,47,324,0,780,1154,1007,265,396,501,,1184,2227,4478,3396,4937,8337,22910,5726,758,426,,191360,166729,195067,205199,185714,213287,194052,190417,205706,244838
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",899,755,1192,1183,1158,987,776,668,339,447,,2026,1467,4577,1868,113,48,0,0,35,749,,97940,108083,92462,85934,85128,124871,151481,168896,146465,193049
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",0,0,0,0,317,423,976,825,374,403,,0,600,2096,2781,3938,5549,11308,11240,10822,13865,,58660,62740,65579,64222,64543,65109,70638,68288,66848,87038
262011,Hard zinc spelter,0,0,0,0,0,0,0,0,0,403,,0,0,0,0,0,0,57,0,34,384,,4875,3889,5804,5465,10945,16844,14744,16720,15740,15067
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",57,20,85,44,55,21,69,38,182,384,,19512,10248,28823,26141,5967,14770,49479,77423,69256,142109,,2694,4553,3296,4022,4591,6759,7263,7990,9647,9775
