Product code,Product label,"Korea, Republic of's imports from Singapore-Value in 2012","Korea, Republic of's imports from Singapore-Value in 2013","Korea, Republic of's imports from Singapore-Value in 2014","Korea, Republic of's imports from Singapore-Value in 2015","Korea, Republic of's imports from Singapore-Value in 2016","Korea, Republic of's imports from Singapore-Value in 2017","Korea, Republic of's imports from Singapore-Value in 2018","Korea, Republic of's imports from Singapore-Value in 2019","Korea, Republic of's imports from Singapore-Value in 2020","Korea, Republic of's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,9676321,10365523,11306787,7943531,6805668,8904384,7977520,6659093,8444688,10691521,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,472587,105621,210846,297198,510407,1893348,1174352,406243,886496,1769164,,1470061,934277,1343731,1881182,2521896,4086520,3714930,4119830,5614371,9161510,,5280006,3810819,5197125,5076277,5344652,13589197,12011339,5096218,10271242,16354874
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1957329,1856086,1605086,1331214,1043678,1375472,1363532,1178912,1991957,1671937,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
848640,Machines and apparatus specified in Note?9 C to chapter 84,226130,129936,130943,138457,234629,392820,197956,279391,571429,615473,,1190602,1017166,1512355,1221611,2048802,3261439,3247936,2803661,4145181,6673234,,920874,572702,686491,690889,810300,1216962,1006746,1018038,1294136,1361691
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1277059,1702109,1847012,865095,800480,809567,742768,526167,398552,575935,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,5146332,6884243,7760657,3337556,2664516,3564408,5094896,3396484,2587689,4429473
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",235882,249078,276758,367970,365601,389873,418149,345652,341829,511759,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,903143,953544,939070,959704,1021298,1275707,1634311,1733327,1701183,2322838
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",251548,209494,173180,167600,183919,213579,289498,308731,302383,371693,,1187383,692280,555395,671457,757979,806156,1005094,1179016,1051081,1222901,,1573601,1347890,1260843,1303416,1475346,1806053,2566654,2282532,1978974,2315348
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1480711,2474359,3087417,881585,342288,339290,258059,243225,286987,350755,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,90547,36829,83051,91780,94167,190583,233525,133811,191770,323750,,502578,645538,485507,557515,775636,990014,1183661,1274661,1264816,1978671,,714071,421649,347077,466828,480033,1069209,1337664,712872,1083486,2011859
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",0,0,0,0,0,0,0,0,17459,266495,,62156,22663,41071,830,2785,535,1182,140314,446360,616243,,2661,2848,10157,5631,4812,4629,5996,5001,21261,270623
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,40700,20513,21278,52861,64914,136893,189529,115532,129532,234300,,1095798,777365,707181,1045526,828747,1264362,1378669,1303815,1411821,1801883,,1231798,1237401,1266106,1456087,1674142,2546931,3203595,2478140,2979355,4175797
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",794,817,1312,2529,2561,3880,150916,278771,376657,204933,,122175,208307,104512,140123,110816,139635,383811,220534,154203,460872,,182950,178252,156000,197308,257583,290008,313058,427076,516765,441239
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",237605,124645,200385,128763,35427,72619,39455,102622,121672,182433,,24629742,23121395,23445528,14785177,12462249,14531435,18082770,16591374,10150819,16087885,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
854160,Mounted piezoelectric crystals,23338,40242,43357,63848,56493,44097,30191,28801,34842,179884,,500721,607006,596061,638122,789491,711747,621421,637231,608228,944816,,258181,265970,329468,390786,338661,299979,271509,211351,251905,464123
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,171725,155575,151123,165633,149223,178549,170452,144323,137966,168402,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,382601,385355,394615,428909,401494,431428,427874,370290,336742,388657
847989,"Machines and mechanical appliances, n.e.s.",55294,35637,109010,47688,28025,26085,6169,18565,7445,149440,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,1969933,2256995,2784714,2649373,1641399,1309548,1233727,1238623,1137278,1418141
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",37703,2826,15734,28774,29137,29208,40552,52834,61695,132674,,110852,37006,19922,69691,129011,97443,91430,113712,257952,394400,,428560,175236,181920,147341,149141,148676,208046,303844,330695,444639
854232,Electronic integrated circuits as memories,199921,238441,235313,197233,202898,292454,280447,101545,176911,131886,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,5091921,5718313,5908469,7549418,7505162,10916151,13160500,14970347,15644386,18828553
852610,Radar apparatus,15455,10695,15017,36426,72216,92898,95059,121643,125719,126028,,70871,102334,127788,202972,303283,403738,380544,403987,309205,550805,,84878,117027,88618,121872,191404,290786,359405,359132,424989,364893
847170,Storage units for automatic data-processing machines,60740,77994,63287,61363,71465,81842,45427,57636,99890,125131,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,1286252,1312733,1409346,1397474,1682080,2487168,2873605,1012692,875437,967569
854233,Electronic integrated circuits as amplifiers,1017,2509,2497,2273,4200,23687,7994,9142,29176,95374,,960910,1382764,1995463,2046612,2635982,2858481,2621013,2813648,3395256,4388496,,86292,87926,91481,123646,124937,214303,259537,222446,277546,408858
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",127223,119125,125007,113965,86135,97014,77215,78855,73443,79976,,406633,360666,391397,357297,337021,502169,633436,628511,480948,360314,,749531,869538,781838,840515,987611,1004182,1031941,942904,863550,965044
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",18,30,37,23692,37361,32794,44842,20393,10987,79801,,295598,375380,298520,320818,301590,358023,459643,441551,818135,1881799,,87301,81111,136311,131209,138101,136494,150782,147363,153988,327816
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,26521,32111,33581,27592,70723,,0,0,0,0,0,0,605887,202018,475992,298545,,0,0,0,0,0,730302,1033585,1233028,1659513,1617147
291020,"Methyloxirane """"propylene oxide""""""""",121681,74294,102512,78554,79924,82097,72868,70451,58666,67630,,373545,391554,285214,151730,137589,166668,177465,129248,113537,94612,,332638,322991,374327,229209,160831,153643,154784,91616,81712,92408
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",23566,22214,30637,22015,17459,22702,24605,25460,25652,64937,,388659,346569,429013,252464,234341,303031,307679,305240,224287,496962,,100701,122164,141445,104518,89339,108078,128382,116582,101115,190610
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",1,4,18,2,6448,19226,18511,16197,42871,57490,,1865,8384,4272,7990,15414,31470,41244,77290,124253,183936,,47627,52537,38866,59139,67483,92922,106330,110409,177987,237126
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,14000,0,51022,52839,12,0,0,6239,9900,56690,,42897,1399615,38040,62085,66273,57631,1230,8876,9491,30936,,1896279,1025909,1214331,1251022,1041945,995084,959699,849398,1921522,1937581
210690,"Food preparations, n.e.s.",16258,16282,20513,14706,11530,24406,41814,46335,49303,55379,,441219,1085009,1574538,1437089,1457191,1506006,4754049,5173579,5798884,6430706,,692285,776249,901578,915080,1066766,1174692,1380331,1710688,1913551,2166919
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",7929,30129,4158,3769,4439,5792,15169,5471,4865,53804,,16589,47610,40089,34325,42619,41102,27262,89904,201369,269036,,408077,394804,397124,262944,221715,283930,302956,206978,78532,212073
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",93774,74088,70588,44822,29950,34174,49671,52721,44808,52018,,267700,246794,204386,169412,141284,157382,180554,197387,122492,180250,,2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",17833,20049,14414,15050,11795,11795,14236,18967,26181,49117,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,468541,445010,466912,517564,570576,651350,691271,685361,729753,634497
