Product code,Product label,"Korea, Republic of's imports from Taipei, Chinese-Value in 2012","Korea, Republic of's imports from Taipei, Chinese-Value in 2013","Korea, Republic of's imports from Taipei, Chinese-Value in 2014","Korea, Republic of's imports from Taipei, Chinese-Value in 2015","Korea, Republic of's imports from Taipei, Chinese-Value in 2016","Korea, Republic of's imports from Taipei, Chinese-Value in 2017","Korea, Republic of's imports from Taipei, Chinese-Value in 2018","Korea, Republic of's imports from Taipei, Chinese-Value in 2019","Korea, Republic of's imports from Taipei, Chinese-Value in 2020","Korea, Republic of's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021","Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,14011958,14630837,15690458,16653729,16402117,18072075,16736993,15716145,17836179,23483116,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",5354578,5756908,6814161,8327430,7936135,6990826,6737410,6486379,8264259,10545639,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1548635,1543998,1421879,1532799,1626843,1964807,1796968,1482729,1972452,3133343,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
854232,Electronic integrated circuits as memories,297692,661062,655402,743270,631216,1063246,824016,637302,684097,891827,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,5091921,5718313,5908469,7549418,7505162,10916151,13160500,14970347,15644386,18828553
853400,Printed circuits,727606,838572,652854,534565,576912,528558,495846,530202,609379,794702,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,2696679,2818361,2583840,2375745,2173989,2397242,2228141,2255671,2361354,3098227
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",428534,436017,395211,295720,172514,259335,357388,347150,303205,417270,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
854150,"Semiconductor devices, n.e.s.",58365,88536,148371,133408,158013,180772,238110,337904,319235,331961,,482385,462070,417754,194691,17009,12545,15322,18708,35288,38792,,141035,167248,245126,255473,291487,300609,325047,399112,395217,418026
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",3440,3505,17641,89428,247852,421497,259975,248807,206888,236228,,451306,314792,254892,232673,202997,222612,201752,186423,185631,217940,,583540,765255,824736,842389,678114,960746,722305,609377,557569,653778
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",20047,52141,50061,28226,34846,34938,135635,51477,143028,236036,,317142,298085,283393,249296,245456,281647,280335,333351,329354,344633,,524832,429476,451222,435431,369351,442254,558733,419400,496910,565059
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,15675,3545,40948,24354,20944,74088,53907,39765,139625,187882,,32861,54591,43287,42671,85813,128242,118484,133175,146970,166780,,714071,421649,347077,466828,480033,1069209,1337664,712872,1083486,2011859
