Product code,Product label,"Korea, Republic of's imports from United States of America-Value in 2012","Korea, Republic of's imports from United States of America-Value in 2013","Korea, Republic of's imports from United States of America-Value in 2014","Korea, Republic of's imports from United States of America-Value in 2015","Korea, Republic of's imports from United States of America-Value in 2016","Korea, Republic of's imports from United States of America-Value in 2017","Korea, Republic of's imports from United States of America-Value in 2018","Korea, Republic of's imports from United States of America-Value in 2019","Korea, Republic of's imports from United States of America-Value in 2020","Korea, Republic of's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,43652459,41763900,45532370,44215394,43396444,50901449,59086153,62102883,57768420,73615250,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",20,1,154638,151581,126249,724970,4490513,8979459,5391223,8395056,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,108298231,99354751,94971596,55132262,44238339,59595047,80374087,70193489,44461676,67019705
271111,"Natural gas, liquefied",52450,0,0,0,10642,808134,2253439,2179769,2094601,4816686,,480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758,,27364464,30666717,31423901,18781885,12160921,15620996,23200103,20575241,15718260,25456410
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,1560899,1052665,1746220,1656662,1657425,4361997,2996162,1660009,2865121,4322616,,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604,,5280006,3810819,5197125,5076277,5344652,13589197,12011339,5096218,10271242,16354874
271112,"Propane, liquefied",56687,25714,203995,504266,911133,1488228,2363073,2593667,2455842,3699692,,2725652,5010392,7705525,5559960,7400924,12367965,14465276,12404374,11078764,21022232,,2737205,2278736,2258899,1450972,1635854,2142070,2742467,2741196,2564639,4056621
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",2889517,3328144,3344716,3391477,3242604,3424742,3032727,2545798,2229126,2316267,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,471246,438071,549548,597111,657703,930979,1125678,1009829,1165599,1565633,,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564,,1231798,1237401,1266106,1456087,1674142,2546931,3203595,2478140,2979355,4175797
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",63693,200684,1163471,248310,136201,190664,686342,525632,979756,1505412,,31069045,34460448,36761402,25774152,24348431,29700090,39486748,34569480,23924151,41893979,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,285,2350,161,400,0,19397,4110,1376241,1282607,1261437,,186551,105521,174131,237538,294396,737179,328442,599082,358129,314158,,3663,2350,529,6663,71113,19397,11709,1384844,1285657,1261437
210690,"Food preparations, n.e.s.",358268,438693,520002,541195,654966,685171,788291,1002797,1095752,1226023,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,692285,776249,901578,915080,1066766,1174692,1380331,1710688,1913551,2166919
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",40948,58967,129588,234563,308363,414453,496519,563413,475306,1065851,,648109,1025092,1823737,1190421,1138938,1889795,3113899,2699415,3354034,6533844,,2839117,2810241,2592471,1188311,939564,816616,922553,656949,522050,1149342
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",272181,261378,254551,473510,712163,583527,605945,504849,676873,1032983,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,1228876,1503414,1846344,2047586,3014757,3524901,4410131,5112033,4765174,4479197
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",453692,519405,600434,575630,621989,560161,679940,701341,804891,976002,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,48228,195927,326958,579884,853334,,0,0,0,0,0,3193768,3417659,7879129,6156647,4634088,,0,0,0,0,0,63815,230955,370498,757029,1201838
100590,Maize (excluding seed for sowing),928806,63547,1398415,761717,829156,848553,1408822,577573,637682,839517,,9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035,,2600504,2673497,2629308,2213078,1894924,1783555,2126007,2347837,2366225,3218347
20130,"Fresh or chilled bovine meat, boneless",59607,65944,97297,131159,189292,348883,445101,487498,568405,838921,,2363743,2695434,2902630,2487439,2521922,3157537,3434807,3299768,3372353,4406108,,271459,277859,340931,395929,488507,644701,770882,789179,900948,1282426
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,403081,261977,72477,156140,233463,523208,498483,297628,388186,686090,,1241508,997969,785232,720361,621586,682309,922597,954447,723395,1000029,,714071,421649,347077,466828,480033,1069209,1337664,712872,1083486,2011859
