Product code,Product label,"Korea, Republic of's imports from Viet Nam-Value in 2012","Korea, Republic of's imports from Viet Nam-Value in 2013","Korea, Republic of's imports from Viet Nam-Value in 2014","Korea, Republic of's imports from Viet Nam-Value in 2015","Korea, Republic of's imports from Viet Nam-Value in 2016","Korea, Republic of's imports from Viet Nam-Value in 2017","Korea, Republic of's imports from Viet Nam-Value in 2018","Korea, Republic of's imports from Viet Nam-Value in 2019","Korea, Republic of's imports from Viet Nam-Value in 2020","Korea, Republic of's imports from Viet Nam-Value in 2021",Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,5719246,7170311,7988701,9802740,12495050,16176130,19631653,21071447,20578653,23965702,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",92296,168648,239038,1149632,2041899,2888195,3308434,3930475,3127862,3096444,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",4573,8068,35625,48549,332101,843549,1002909,1088260,1085997,1484327,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,1035993,1038572,1763019,3067955,2885440,5000070,4316703,3778438,4103680,4953186
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",594,6430,12568,25746,91686,230963,264555,342898,758721,1086429,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,1811183,1791005,1848781,1706756,1852511,2314068,2390393,2705992,3470964,4365444
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",1577,93393,93403,95358,108415,374892,740563,1399746,1118041,862776,,95556,111020,271563,318329,356457,605328,2439625,2897438,5170175,13926661,,645810,674780,737450,733166,777728,1363169,2064663,4827993,3576043,3535942
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",497,2765,3751,21754,148005,101654,134678,261763,387828,700794,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,12997,15861,60099,281818,368386,237870,180597,347461,486570,648848,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,1837600,1868131,1923454,2344343,2676294,2989067,4678803,6033076,5096197,4885940
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",881,627,14311,66199,276537,380158,351108,337455,394067,447765,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,118687,102272,147082,232689,547540,705290,721937,693153,781003,1314671
853400,Printed circuits,25002,23529,45563,156026,189708,386296,323428,362508,328483,426667,,272144,344284,443344,533718,535173,639625,756251,1064644,1093481,1462489,,2696679,2818361,2583840,2375745,2173989,2397242,2228141,2255671,2361354,3098227
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",181368,273272,368904,328598,331961,397197,522081,445642,295281,355785,,480336,665758,790179,817012,859628,1058541,1435655,1510901,1233445,1792798,,416695,580889,709992,612343,585637,672016,850836,779445,536688,645412
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",100178,170043,234684,222545,239565,294304,433044,389173,247744,295108,,301976,433030,568407,602096,629982,764681,1035278,1152580,923086,1434119,,304124,425973,533701,467767,467373,574267,792827,691013,462703,578727
440131,Wood pellets,4360,22853,123294,114900,121527,171205,333034,221474,201249,255450,,4318,23132,120594,103432,119746,172263,361676,309220,351877,528547,,18285,76462,323306,176963,172248,280433,521741,362283,329069,439379
852580,"Television cameras, digital cameras and video camera recorders",992,270,368,250726,574855,131511,172154,187539,212906,252928,,73245,110450,365356,871378,901312,1358865,2268382,1976684,2066189,2436098,,722038,557513,572680,1151415,1489670,954209,798644,807988,862723,952411
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",12304,18324,30877,24827,33590,41242,78425,136400,177445,250668,,1630398,1868144,1962344,1974574,2008435,2311678,2599179,2825387,2676329,3230456,,1437683,1524206,1603963,1708006,1803514,1848779,1948776,1975836,1951201,2161088
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",72115,120183,157786,160106,180979,224655,262384,276677,218101,248410,,480199,603948,780841,920727,950496,1097543,1306111,1343366,1196554,1507200,,197252,269167,328568,319078,326550,366555,404191,419662,343978,392722
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",110584,122662,205049,162824,191669,235578,246226,216334,211439,236263,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,292485,305498,412736,343255,357362,434825,460837,450221,441702,501638
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",61603,81098,99414,85559,157648,208268,236694,246649,241050,223033,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,209464,215096,287470,226800,382977,402273,448766,412969,402040,414537
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",1,1,4,0,176,51417,103867,157129,196896,214889,,33,37,26,3,262696,750669,484700,542733,603238,556031,,6969,32281,36282,57854,102584,195709,264437,301261,362482,393772
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,63508,61990,76895,82889,92528,118898,194218,233316,217712,208117,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,386000,427866,448339,477380,450919,532919,628633,663490,576536,646430
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",66070,78352,88898,94648,99648,124790,149775,156921,168529,206350,,96477,124666,167323,85004,173363,204366,240901,261614,308300,367000,,138629,155029,167138,161813,168912,191699,216104,211992,213862,259244
