Product code,Product label,Russian Federation's imports from Australia-Value in 2012,Russian Federation's imports from Australia-Value in 2013,Russian Federation's imports from Australia-Value in 2014,Russian Federation's imports from Australia-Value in 2015,Russian Federation's imports from Australia-Value in 2016,Russian Federation's imports from Australia-Value in 2017,Russian Federation's imports from Australia-Value in 2018,Russian Federation's imports from Australia-Value in 2019,Russian Federation's imports from Australia-Value in 2020,Russian Federation's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,896276,813755,672592,578003,467913,510262,671339,714630,663596,738732,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
281820,Aluminium oxide (excluding artificial corundum),397396,282361,305603,371481,303885,361208,438307,502470,464402,564539,,5211506,5214946,5118388,4846901,4163306,5620871,7495431,5757417,4722433,5788406,,1652353,1373168,1423911,1394243,1266719,1468411,2145685,1952485,1505250,1826741
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",668,1380,425,247,2889,628,714,480,214,14870,,143414,90125,99486,76119,75861,87068,92260,126219,96606,140347,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",6798,6980,6117,3823,4884,8148,10001,11258,11618,14515,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,723632,845684,822623,473511,512341,751945,773172,873302,853392,942751
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",2070,5091,12606,5718,3101,7887,3575,7243,11877,8188,,113869,121115,134178,78529,67419,57361,50410,49605,123921,138142,,136895,149460,165452,126471,103914,113066,108315,108831,111522,128599
847410,"Sorting, screening, separating or washing machines for solid mineral substances, incl. those ...",2492,7397,3224,1279,1063,1511,3047,2954,4644,6116,,105425,64125,54707,31987,50986,23733,24488,18972,23350,38227,,229321,312163,144656,91543,73047,117848,102549,102896,103979,231566
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",0,4,1328,2156,2235,3470,4727,4450,4348,5138,,5166,8266,19652,21663,17764,14821,3816,8297,750,1328,,59090,62577,68306,38729,39518,43262,45941,47744,62255,59322
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",940,1018,1180,684,429,540,1485,2769,2344,5038,,199015,228651,225310,219951,283126,371090,421873,485240,477092,492473,,737826,813638,720589,501259,556509,682705,788707,855716,747692,964568
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",239,81,78,28,36,81,3824,3652,4154,4495,,308650,339415,394874,377320,499821,595197,640390,147240,85064,117972,,125932,165905,192646,146324,165464,207646,222311,238614,213387,251176
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,3615,4542,4970,4481,4137,,0,0,0,0,0,28305,23496,27111,38242,37798,,0,0,0,0,120,538344,594462,598317,598458,677353
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",3017,0,0,0,0,2163,1194,15,0,4039,,27093,25052,30432,21514,21174,22890,33552,28970,28180,30013,,415122,405066,402455,195130,202228,283156,286045,300668,239735,247559
251320,"Emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated",1047,1943,2364,1733,1633,4373,4336,4137,2947,3944,,67126,68250,71308,62349,74724,76111,71742,69050,48630,68886,,4688,8130,10188,6279,6948,9691,9785,10464,7990,11686
854330,"Machines and apparatus for electroplating, electrolysis or electrophoresis",8,4307,6,0,39,4,0,0,5,3273,,13492,5355,3723,1976,1547,685,1414,1140,1362,5794,,125332,140850,166003,78114,49689,37946,41744,33474,24689,96770
120991,"Vegetable seeds, for sowing",570,977,2662,934,1351,1391,1149,2470,2082,3001,,24842,28205,28018,22624,20490,24745,28931,32514,26283,30420,,58053,62280,75078,53540,66214,74028,80764,86193,102007,108903
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",5186,3694,3875,2198,1548,1396,662,1295,1867,2805,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,7755747,8462338,7384591,4722999,5161127,6286657,5954256,7610252,5495105,7359024
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",937,3012,1559,1190,2424,2869,1203,2506,1106,2300,,153862,122881,120521,96470,104035,86226,105620,95236,104333,119450,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",1165,10530,1000,491,511,838,1350,1988,3506,2194,,312866,353942,348822,335180,350065,378095,369064,367162,399294,447866,,1398525,1198787,1257837,732659,853792,900819,930321,1066345,1147334,1303655
870410,Dumpers for off-highway use,5675,669,783,6134,1207,454,857,419,1262,2140,,243648,114466,83407,58853,41850,73101,41017,61477,48344,49665,,985456,636808,341613,276598,410774,845295,691100,422446,278410,810730
847989,"Machines and mechanical appliances, n.e.s.",932,13474,1355,1007,21,5103,1796,1417,1221,2053,,144110,177681,175136,137115,139231,130954,211316,160718,165550,158777,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",4353,440,52,15,14,2,1,1209,20,2035,,33074,28216,36281,31161,44783,42253,39497,75623,57485,51778,,423854,476018,488658,359935,207786,241633,227395,270828,286478,284616
841620,"Furnace burners for pulverised solid fuel or gas, incl. combination burners",0,4,0,0,0,0,1751,0,5,1990,,1890,1672,1290,2255,5384,917,2310,2671,2717,1161,,95064,108810,95867,70504,43863,60485,68551,65299,62321,78854
843041,Self-propelled boring or sinking machinery for boring earth or extracting minerals or ores ...,777,1420,3476,0,0,683,2313,1508,758,1968,,47498,26721,28664,9341,15802,31229,10010,20653,23464,14947,,482653,411097,277002,157163,128407,197587,292076,357389,254418,271630
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",38,105,30,556,658,369,3247,1677,1719,1966,,33473,21245,18855,18668,17464,23422,16041,18645,18999,24921,,892280,1020445,1526101,1047293,754951,1533524,1040955,806862,1047636,1015774
10410,Live sheep,0,0,0,0,0,0,11529,4438,2989,1951,,283874,164865,213849,186158,163343,190133,118847,99357,89285,72320,,66,273,190,274,375,310,11833,5147,3570,2838
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",190,362,649,665,803,771,1164,1275,1492,1904,,23691,39038,66706,66106,63285,57326,67786,79521,97994,90898,,375884,420171,369665,232114,262777,314642,335485,346020,288768,303907
410210,"Raw skins of sheep or lambs, with wool on, fresh or salted, dried, limed, pickled or otherwise ...",8334,9797,5401,4947,2163,4575,5120,6071,959,1900,,406274,428832,348113,307247,287030,287140,278094,213819,168370,239702,,8661,10263,5813,5155,2340,5251,5695,7019,1399,2423
902140,Hearing aids (excluding parts and accessories),4484,3382,4754,2289,928,9123,3342,4506,3961,1805,,234353,185055,173636,176791,108941,30536,28076,21565,13668,24489,,46310,48631,42981,25404,22022,41072,35229,32042,30167,35261
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",4643,4502,3879,1750,1745,1546,1834,1487,1383,1801,,85977,71541,74102,59618,75113,69075,88821,100027,86092,113033,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
732611,"Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not ...",0,2549,0,234,107,2947,6090,2318,3206,1793,,65044,57687,33583,19957,28709,30521,23619,21148,15060,14855,,22263,36896,25651,5507,4319,11354,17149,15755,13411,19494
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),315,420,253,116,205,409,549,586,686,1747,,23096,25989,27616,38643,47527,47236,56085,77576,108081,163119,,20616,22755,24148,14628,15485,21298,30543,35251,38310,47027
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,331,318,709,168,0,270,1259,1633,984,1701,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,202970,184243,180323,117886,86958,122717,149196,140575,143654,214478
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",281,227,220,159,199,414,259,630,1409,1605,,83794,64507,57651,53584,64568,63616,64113,67519,100388,189448,,219140,271066,252721,163530,169401,212861,249431,296326,349344,405034
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,1360,1563,1772,1793,2425,2243,1434,1356,1085,1502,,117322,129659,112933,100182,118974,116714,141640,121142,129982,116266,,545316,576811,540958,388832,361691,417079,431446,410596,460306,517688
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,282,55,287,229,347,370,404,1841,1610,1458,,57698,57235,54235,43359,38190,12310,14536,20300,18413,17113,,159921,139634,127360,76372,78258,106201,107757,138363,116507,249204
901850,"Ophthalmic instruments and appliances, n.e.s.",259,0,399,161,581,1273,685,1177,1382,1270,,31494,39559,44330,46149,40832,36926,37696,37773,31157,41004,,114871,88137,89187,68891,76726,91076,113795,130760,101713,130168
300230,Vaccines for veterinary medicine,0,631,650,981,1040,1032,1170,959,1151,1243,,17871,16598,15447,15053,18281,23716,26226,25193,28676,30774,,100164,141884,141066,130823,140226,177112,199289,250082,200191,198233
902110,Orthopaedic or fracture appliances,37,43,50,1517,2022,1413,914,1174,1492,1207,,6616,6487,10381,7988,10114,11598,14305,13879,18599,15097,,54576,57134,66875,56520,60172,83385,90560,98142,78132,101702
841391,"Parts of pumps for liquids, n.e.s.",3053,961,321,657,697,547,843,383,1343,1075,,194517,148822,120334,104002,104615,127657,136590,139352,105350,117400,,198720,178784,162012,133373,124504,156158,168938,168501,176652,179090
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",289,1267,0,183,909,1163,1166,1002,799,1033,,14554,15915,14830,16118,17453,21355,23403,24881,19486,29507,,33706,35097,37848,34533,37980,46634,51541,55668,57444,58293
853720,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",0,0,0,0,0,0,106,615,1242,966,,26590,22950,5190,10380,13071,19969,16568,14214,19203,22403,,558521,483960,299100,180621,176199,189266,154640,130420,147188,116672
