Product code,Product label,Russian Federation's imports from China-Value in 2012,Russian Federation's imports from China-Value in 2013,Russian Federation's imports from China-Value in 2014,Russian Federation's imports from China-Value in 2015,Russian Federation's imports from China-Value in 2016,Russian Federation's imports from China-Value in 2017,Russian Federation's imports from China-Value in 2018,Russian Federation's imports from China-Value in 2019,Russian Federation's imports from China-Value in 2020,Russian Federation's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,51767694,53173086,50853010,34077598,38086982,48042300,52217993,54126998,54913425,72693299,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",2019984,3361690,3797531,2506050,3135753,3925738,4780940,4287259,4383868,5920077,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,4042623,4737612,4733173,3290360,4068732,5312835,6292457,5848128,5873826,7745136
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",3600260,2412333,2081605,1451870,1477015,1748009,2094341,1890820,2390803,3199849,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,3787830,2895365,2665358,1613419,1634334,1857607,2208032,1992917,2512263,3327306
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",870744,753253,798208,673060,629763,818630,966868,1087838,1433248,1576782,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,1726928,1484456,1511162,1181750,1135517,1437891,1597161,1737558,2182477,2372652
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",934351,1071300,1053051,561989,716623,890045,969145,981136,863360,1081665,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,1232337,1416941,1376668,801220,1001725,1184236,1296392,1317433,1173950,1423707
841960,Machinery for liquefying air or other gases,179,106,72,174621,3615458,3257605,25536,13766,9738,994148,,224779,234928,290690,629260,552919,324701,362314,226825,353777,874602,,3938,17987,59160,662542,4784876,4553862,261993,141757,99338,1297424
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",1226992,901445,981872,615179,657135,825828,975086,770771,719862,925052,,10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292,,2912436,2446726,2284525,1194760,1079819,1246931,1270646,1164447,1156000,1416360
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",119086,125397,159212,166681,194891,406690,612997,585702,525510,762836,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,624692,669026,801408,761428,722722,1068921,1449200,1508484,1451647,1800392
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,302641,268381,758922,1357051,377130,659374,621704,502128,632441,699155,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,428226,387163,863091,1459175,533143,926459,923226,841538,1045051,1149251
850440,Static converters,303137,292991,270524,212780,270910,388437,439991,453833,481767,680115,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,1130659,1003220,833069,555480,648280,823539,923771,910749,919290,1127024
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",432703,395570,377667,245131,265721,355650,455373,569456,577320,646083,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
