Product code,Product label,Russian Federation's imports from Germany-Value in 2012,Russian Federation's imports from Germany-Value in 2013,Russian Federation's imports from Germany-Value in 2014,Russian Federation's imports from Germany-Value in 2015,Russian Federation's imports from Germany-Value in 2016,Russian Federation's imports from Germany-Value in 2017,Russian Federation's imports from Germany-Value in 2018,Russian Federation's imports from Germany-Value in 2019,Russian Federation's imports from Germany-Value in 2020,Russian Federation's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,38289660,37904569,32947335,19909557,19450963,24228044,25510486,25111891,23383773,27351555,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",1648226,1922507,1730695,1007190,1155554,1511538,1366230,1816429,1202463,1756537,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,7755747,8462338,7384591,4722999,5161127,6286657,5954256,7610252,5495105,7359024
999999,Commodities not elsewhere specified,27555,13292,7,112477,12718,200199,289545,246416,853756,522676,,59373193,63816786,70174563,64670995,63831190,58021514,60664181,57559330,46910555,63274483,,1417912,1700488,718674,4327079,6581104,8014821,7053690,6153790,9074291,13861409
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,116,43758,84878,107023,395207,,0,0,0,0,0,115924,1589419,3733425,8230172,20431992,,0,0,0,0,0,48535,99497,166865,312997,934088
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",125384,158624,155623,89395,137953,208925,278607,223636,256058,385212,,5129406,5241637,5028938,4463612,3974485,4184552,4522827,4602067,3410258,4169624,,898520,1008612,730248,309161,386733,624503,755369,683875,584304,930561
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",491950,361787,450363,230153,275359,259995,251142,287226,287832,355925,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,1398525,1198787,1257837,732659,853792,900819,930321,1066345,1147334,1303655
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",371804,420739,290260,141958,175454,225949,282944,297125,270493,334754,,11185359,12696454,14261488,12503976,13295930,15166537,16698136,16123393,14889434,17129914,,1548756,1737908,1450673,785663,856412,1254878,1434571,1436325,1224702,1681148
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1654885,1305684,1011496,574196,630308,618633,586771,622202,267995,323037,,49549329,49490603,55114290,50015861,57000805,61580286,63825427,59214131,41983618,39686075,,10875766,8804018,6661388,2730303,2230445,2416823,2709405,3129962,1873246,2409822
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",499634,470776,274311,132685,140785,219539,245810,229288,291317,304380,,9680822,10259773,11213682,9948801,10149820,11165473,12408173,11346405,9815105,10948189,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",141665,157804,231919,206735,187705,410044,286939,83249,246847,286817,,1545926,1634651,1503785,1280380,1313945,1774375,2186509,1957530,1882072,2207132,,892280,1020445,1526101,1047293,754951,1533524,1040955,806862,1047636,1015774
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",262363,253288,230301,236882,224491,225170,148203,158490,84398,283573,,12977982,13065520,14577321,14061821,12778631,11610819,9356232,6894640,4682836,3899235,,2360160,2292731,1921608,1456138,1751593,1797279,1846796,1810520,1315185,1546298
871639,"Trailers and semi-trailers for the transport of goods, not designed for running on rails (excluding ...",566654,456139,234797,89267,159004,344982,332295,203058,173874,265005,,2811901,2794146,2991894,2732930,3210988,3448539,3902033,3228598,2297856,3388667,,900256,711220,418918,135409,199905,472721,455283,327440,259163,458153
841940,Distilling or rectifying plant,10186,16039,58070,42175,5211,4092,10303,163579,204713,255348,,141424,236177,240792,176848,163718,158473,168810,203652,156595,180622,,221626,168164,585209,134909,32531,19391,137046,412120,581701,606138
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",422140,379403,264841,157155,115832,221113,237438,345008,211614,253349,,47650950,49063225,50157240,45453245,45724081,45345893,38088559,30279577,21375051,17798560,,1775684,1415623,1161644,571657,458289,858020,797612,900795,569439,687938
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,148318,125237,337296,221039,252453,,0,0,0,0,0,17544825,21685506,20062331,22519737,26220126,,0,0,0,0,0,409155,433112,1174562,1088441,1497263
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",345513,269654,226686,165530,149168,207195,208146,204985,202615,227939,,7990243,9061676,9923141,8417821,9146764,11015406,12558500,12746414,11555985,12500043,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
210690,"Food preparations, n.e.s.",195631,220726,190209,93107,117816,163515,170155,172703,186040,219578,,2872678,3190597,3368444,2907874,3095005,3374070,3669496,3724378,4054000,4574610,,822354,974817,918212,422711,461425,578012,623122,654484,698534,889950
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",328535,318646,213757,170728,163634,197810,163254,180658,176927,203160,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
