Product code,Product label,Russian Federation's imports from Japan-Value in 2012,Russian Federation's imports from Japan-Value in 2013,Russian Federation's imports from Japan-Value in 2014,Russian Federation's imports from Japan-Value in 2015,Russian Federation's imports from Japan-Value in 2016,Russian Federation's imports from Japan-Value in 2017,Russian Federation's imports from Japan-Value in 2018,Russian Federation's imports from Japan-Value in 2019,Russian Federation's imports from Japan-Value in 2020,Russian Federation's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,15676090,13560500,10917410,6661581,6679836,7761399,8819217,8960307,7111572,9127294,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",3921420,2492537,1768800,929324,815268,746168,767553,854264,555128,667512,,50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856,,10875766,8804018,6661388,2730303,2230445,2416823,2709405,3129962,1873246,2409822
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1702230,1057423,693129,407505,564998,520926,662228,537883,322076,501705,,28739068,26481116,24971924,23414386,21565608,20408888,21883156,18150073,14150839,15219267,,3305970,2687465,2313114,1306391,1342013,1168387,1326764,1280240,805144,1261525
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,364468,718928,713781,327183,221400,281518,412352,455195,350705,442256,,250171,162112,74797,7787,15320,16402,22674,12658,23591,19297,,3469408,3742128,2632938,968559,1039501,1327979,1790355,2084068,1431269,1855955
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",206651,273100,187893,107819,113454,193977,229426,240699,233757,371790,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,1548756,1737908,1450673,785663,856412,1254878,1434571,1436325,1224702,1681148
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",1115864,796670,657260,602041,866404,747819,696310,564406,372767,330628,,4988776,4055191,4311529,3561772,3568150,3687670,4027408,3503595,2862022,3278869,,2360160,2292731,1921608,1456138,1751593,1797279,1846796,1810520,1315185,1546298
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",426301,500631,365617,184091,162583,250971,327914,297100,217792,305129,,3889022,3551892,3261016,2926364,3159898,3378746,3522078,3314352,2564690,2932719,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",241812,308499,255393,110333,97894,146116,175265,266238,210963,258722,,2681530,2472276,2595280,2665449,3169309,3489927,3982636,3361750,2338231,1991627,,2139304,2363641,2027817,939908,819794,1071527,1193538,1288993,1130462,1311111
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",130661,234572,230082,137702,147551,249889,262558,239007,176654,244029,,6733424,5642854,4629663,3630672,3480082,3690265,3753397,3516414,2845503,3460819,,1129762,1232308,1103632,627279,762556,1080766,1173456,1122782,966021,1299081
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",426006,300254,252625,87407,98635,192648,188823,207977,134999,241643,,8796642,6274793,6302923,5436446,5964075,6953668,7957695,7455007,5856728,8248127,,1404925,1100755,683152,172006,231937,617193,679585,678692,547437,1100474
