Product code,Product label,"Russian Federation's imports from Korea, Republic of-Value in 2012","Russian Federation's imports from Korea, Republic of-Value in 2013","Russian Federation's imports from Korea, Republic of-Value in 2014","Russian Federation's imports from Korea, Republic of-Value in 2015","Russian Federation's imports from Korea, Republic of-Value in 2016","Russian Federation's imports from Korea, Republic of-Value in 2017","Russian Federation's imports from Korea, Republic of-Value in 2018","Russian Federation's imports from Korea, Republic of-Value in 2019","Russian Federation's imports from Korea, Republic of-Value in 2020","Russian Federation's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,10976879,10305436,8972462,4461377,5113263,6933359,7008953,8001954,7159386,12986922,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
890120,Tankers,176250,280430,185498,3802,519630,578240,0,542532,713681,3708070,,11746548,9810025,11922246,12760740,16323137,13148739,10861150,12384947,10250231,9618424,,427692,791892,752574,443982,667965,877455,60654,670458,801678,3788044
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,886048,940906,595167,142290,244647,487114,699768,869966,458857,903707,,46560,40968,13922,6888,3582,1843,1835,4329,3801,1824,,3469408,3742128,2632938,968559,1039501,1327979,1790355,2084068,1431269,1855955
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",432567,375058,336142,168745,145557,235761,268963,322369,258092,371976,,2385971,2690380,3156626,3089487,3126722,2449816,2534142,2483725,2020393,2356796,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",375339,372649,195887,31002,52278,166889,165235,178686,148636,309912,,4228151,3359734,3359630,2389726,2131180,2792195,3235758,2575779,2264839,3198371,,1404925,1100755,683152,172006,231937,617193,679585,678692,547437,1100474
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",305341,273067,266236,124682,115814,227769,272929,285562,228254,281763,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,1548756,1737908,1450673,785663,856412,1254878,1434571,1436325,1224702,1681148
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",88172,95217,101824,87730,65899,73576,72873,80045,118652,203489,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,1554385,1232255,1050610,672940,660576,807935,836891,827896,934802,1296976
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",215490,236476,198641,92497,106731,150924,168093,171137,118213,191886,,354769,468123,483129,432033,470475,485004,495087,459558,421780,612784,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,68333,86121,90016,44424,41689,81795,100641,115647,106669,171660,,421750,561811,694002,717219,891425,836472,797938,785935,739125,843531,,416908,460698,428027,262573,278336,407346,487118,491350,429384,603310
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",371783,390213,299643,54024,42570,80437,99307,136397,116501,170626,,1215760,814642,1015480,911048,969403,882393,859618,1092234,773247,909013,,2139304,2363641,2027817,939908,819794,1071527,1193538,1288993,1130462,1311111
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",3957,6249,12937,13135,25039,53127,91981,126592,132065,157592,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,737826,813638,720589,501259,556509,682705,788707,855716,747692,964568
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",22499,5165,163062,90788,4663,27985,47175,63618,90816,149503,,1092338,884201,681527,917843,748680,591286,506846,630220,653325,624926,,892280,1020445,1526101,1047293,754951,1533524,1040955,806862,1047636,1015774
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",104479,103846,100373,57486,46749,82351,93734,110591,97836,128394,,561445,887956,883444,804473,1093640,1061564,1114232,1106993,914223,872708,,576509,592261,521983,322509,337082,430182,506442,506960,437987,586125
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",124916,96558,82281,23849,19339,39614,40297,53712,44703,112392,,485619,597123,675562,685957,771369,753480,832940,869348,810420,1658312,,701435,735007,602048,238559,287357,437578,515719,519442,489933,784472
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",186769,187801,203764,62445,72360,123872,114980,121623,90201,110481,,2884298,2661989,2677039,2355158,2371175,2404509,2449409,2389231,1944390,2059200,,1424432,1241104,998431,487843,461238,654043,753904,779730,615632,762922
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",159762,174915,158772,75045,58111,72662,83398,86305,80371,100757,,1428488,1432964,1401330,1170703,1192787,1410876,1481002,1500594,1382398,2278136,,1173796,1032167,881731,459244,386999,440578,359464,371042,284423,436446
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",97676,121874,133344,91910,102860,96937,105069,82447,70752,99832,,1242472,1806264,1303779,1292236,1428853,1352454,1551089,1548421,1351371,1368357,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",51125,24974,38442,28179,12216,44428,22460,44983,19550,98597,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,818995,890169,727516,368792,327622,445412,433135,600952,482049,560161
940190,"Parts of seats, n.e.s.",74472,61985,57554,39337,50599,72312,86459,92086,71594,98146,,818046,874738,824525,739917,843934,850142,873080,798014,666175,750707,,357135,350344,303210,180006,213929,292213,364280,355491,298270,392665
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",72316,71067,76308,56245,51194,62485,65780,70341,69446,96061,,988448,1064188,1132870,962752,993479,909623,942552,813157,610479,680094,,761389,833227,787442,522710,585744,704115,760171,761787,684660,909764
841940,Distilling or rectifying plant,6,9507,65267,6630,1,33,93922,65785,113417,94405,,3480,13265,41267,92659,108602,87484,347526,2170440,1415351,117797,,221626,168164,585209,134909,32531,19391,137046,412120,581701,606138
940120,Seats for motor vehicles,117923,147700,144456,31810,32473,64915,69749,87687,50298,91328,,11236,26418,13923,15450,18034,9291,17999,13566,5520,11006,,307944,383903,333418,102602,97844,164438,193252,201163,158028,229192
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",98349,109578,99434,26379,26324,43921,63180,72001,43784,88630,,459989,452922,532346,572947,553269,546328,510486,502789,338893,355300,,1268997,1262917,1057654,516159,555924,711455,853673,827839,673752,925705
901812,Ultrasonic scanning apparatus,106062,61298,48307,24701,21221,26077,36173,50646,56486,83923,,420978,457050,468139,462686,478375,615883,689581,666717,580119,696123,,476607,278342,275019,208814,133270,141668,169422,222638,230611,280800
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",121942,100829,86511,37883,41929,76331,73032,75268,61636,73841,,13950047,13615519,12852976,11857484,9654598,8788530,8570782,8681574,7312171,8714846,,1129762,1232308,1103632,627279,762556,1080766,1173456,1122782,966021,1299081
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,58,39,389,62442,73047,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,409155,433112,1174562,1088441,1497263
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",50647,61489,67938,37795,47878,55105,65973,56769,47773,71313,,1155914,1330365,1510528,1474237,1494881,1789456,1819162,1724439,1719006,1992255,,374673,401837,305991,154074,219527,276554,275231,266930,240208,359607
