Product code,Product label,Russian Federation's imports from Saudi Arabia-Value in 2012,Russian Federation's imports from Saudi Arabia-Value in 2013,Russian Federation's imports from Saudi Arabia-Value in 2014,Russian Federation's imports from Saudi Arabia-Value in 2015,Russian Federation's imports from Saudi Arabia-Value in 2016,Russian Federation's imports from Saudi Arabia-Value in 2017,Russian Federation's imports from Saudi Arabia-Value in 2018,Russian Federation's imports from Saudi Arabia-Value in 2019,Russian Federation's imports from Saudi Arabia-Value in 2020,Russian Federation's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,270151,288623,267121,152400,140762,144516,292128,264218,218674,335363,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,1538,80492,52122,49794,101680,,0,0,0,0,0,0,0,0,0,331962,,0,0,0,0,7,257990,310713,225433,212695,450243
290531,"Ethylene glycol """"ethanediol""""""""",39614,40097,21435,9503,21105,43657,50915,42167,39571,63540,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,45147,43919,36612,17290,26457,45356,53403,44067,42032,85963
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",0,0,0,0,0,1709,35936,33615,23477,28597,,776,7608,4405,5232,5558,211029,605809,633743,489422,995149,,213684,216815,212321,155199,150467,173840,225837,236619,227168,418231
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,14084,19507,22460,18090,18868,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,93486,159027,178351,153677,237914
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",0,0,0,0,0,0,0,0,0,14028,,247932,229539,227640,202476,180679,159003,196492,94703,121784,184056,,39825,33024,31052,22523,25915,26893,19523,25756,25129,63410
390130,"Ethylene-vinyl acetate copolymers, in primary forms",0,0,0,651,2013,2493,6919,4965,3939,13267,,260,425,7695,161533,179010,252133,305665,337793,277443,495999,,45928,46758,51592,39662,53795,62028,79822,61859,55687,99994
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",67500,29700,39006,6963,4422,9069,7296,16117,8894,13263,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,738433,536352,595750,295507,225979,316569,369002,474105,253795,354110
292910,Isocyanates,0,0,0,0,0,154,27385,14128,16512,9535,,49,138,207,17,21,309069,961009,257418,256115,150834,,339726,227830,160082,78815,90290,146721,165630,96800,106448,154990
842482,"Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting ...",0,0,0,0,0,187,775,1704,5087,9344,,0,0,0,0,0,0,0,0,0,50260,,0,0,0,0,10,91850,78624,66811,102904,195961
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",66631,113973,117466,78240,64517,26933,14886,10886,6046,7336,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,478011,430917,460378,339292,329630,314636,267956,258312,218449,340706
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",0,0,0,0,0,0,0,0,112,6866,,25792,6135,50154,69198,98229,228216,261035,111901,51491,96828,,120936,203197,242304,98065,161157,187860,218092,245720,256550,385017
