Product code,Product label,Russian Federation's imports from Singapore-Value in 2012,Russian Federation's imports from Singapore-Value in 2013,Russian Federation's imports from Singapore-Value in 2014,Russian Federation's imports from Singapore-Value in 2015,Russian Federation's imports from Singapore-Value in 2016,Russian Federation's imports from Singapore-Value in 2017,Russian Federation's imports from Singapore-Value in 2018,Russian Federation's imports from Singapore-Value in 2019,Russian Federation's imports from Singapore-Value in 2020,Russian Federation's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,413959,552979,602260,508512,495865,1158046,869471,588252,523636,601335,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",1280,12009,5914,3921,16580,27017,21235,32071,38366,77074,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,7755747,8462338,7384591,4722999,5161127,6286657,5954256,7610252,5495105,7359024
852691,Radio navigational aid apparatus,237,12429,45012,28667,24800,32096,41194,102959,38409,55952,,90111,90050,113864,137809,168544,194407,179789,286020,164285,185203,,301415,255864,199270,87782,98768,156384,184472,255080,189394,258375
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",196,149,222,414,367,577,1748,5359,10515,46361,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,219140,271066,252721,163530,169401,212861,249431,296326,349344,405034
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...",0,0,0,0,0,0,3054,9453,8882,34520,,1077902,821162,731993,521648,366779,328518,478820,673622,606551,822767,,13330,16377,14054,8026,8182,7854,16551,27178,81000,197765
999999,Commodities not elsewhere specified,0,8,0,38463,33558,33976,107,427,4,28182,,33425321,33134541,32228728,19839221,15954456,21238978,26466439,21528516,20297849,24576928,,1417912,1700488,718674,4327079,6581104,8014821,7053690,6153790,9074291,13861409
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",871,1099,781,6241,776,2818,1060,1795,17334,20959,,144408,173325,212011,180407,162409,154701,159258,127749,120774,176186,,892280,1020445,1526101,1047293,754951,1533524,1040955,806862,1047636,1015774
180400,"Cocoa butter, fat and oil",2123,4423,10668,21906,19328,22448,17190,20028,38832,20752,,102552,115880,190527,166808,167678,151647,144861,149912,172643,145424,,111024,167230,260596,215964,202780,188903,224613,218774,207182,220695
390230,"Propylene copolymers, in primary forms",331,3265,6564,8103,12597,14976,15476,14160,14010,18936,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,188895,190667,169996,92589,93754,138195,149382,151885,141043,248357
321590,"Ink, whether or not concentrated or solid (excluding printing ink)",10532,16766,18614,12915,15470,15227,15143,18899,14265,13413,,149874,166536,130769,88712,95278,75517,97055,60453,127373,173574,,76379,79594,81779,66767,76103,73230,76445,89189,77103,87870
