Product code,Product label,"Russian Federation's imports from Taipei, Chinese-Value in 2012","Russian Federation's imports from Taipei, Chinese-Value in 2013","Russian Federation's imports from Taipei, Chinese-Value in 2014","Russian Federation's imports from Taipei, Chinese-Value in 2015","Russian Federation's imports from Taipei, Chinese-Value in 2016","Russian Federation's imports from Taipei, Chinese-Value in 2017","Russian Federation's imports from Taipei, Chinese-Value in 2018","Russian Federation's imports from Taipei, Chinese-Value in 2019","Russian Federation's imports from Taipei, Chinese-Value in 2020","Russian Federation's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,2007818,1915060,1674116,1284014,1613221,1925410,2144083,2023869,1929872,2392305,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,40143,34335,23542,32427,78506,142930,179636,183920,236694,258473,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,428226,387163,863091,1459175,533143,926459,923226,841538,1045051,1149251
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",26572,11865,47632,13608,53743,102109,87283,82541,102456,142582,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,385933,197546,216708,125520,131172,254385,243924,259899,305566,425008
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",69179,60943,50093,50292,54957,91490,85343,84427,109661,118647,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,1726928,1484456,1511162,1181750,1135517,1437891,1597161,1737558,2182477,2372652
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",36015,35867,34042,24377,57196,77847,172004,122943,105764,114375,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,144014,122988,131948,155067,307231,383420,508517,394866,387210,519791
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",11858,18081,33249,36735,54051,61674,56638,50395,75956,96561,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,242317,288088,546366,507806,424334,538515,587490,645350,730925,863073
847170,Storage units for automatic data-processing machines,13055,8885,14560,31732,47466,73709,64714,86638,70131,87701,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,596580,593139,1026854,983014,771191,1048070,1063429,1039635,1095164,1205837
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",25242,16191,11824,46131,25999,35990,44662,65044,59751,79067,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,624692,669026,801408,761428,722722,1068921,1449200,1508484,1451647,1800392
845710,Machining centres for working metal,55298,50340,54743,49096,46485,45549,46445,56635,40078,47326,,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213,,347072,354767,502984,345318,234830,261410,297549,233254,202260,242807
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",12869,13676,15156,8777,9668,16854,38039,13481,16931,37401,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",27539,37010,23249,20970,19322,23469,32149,34811,29876,36144,,360438,396231,423370,427848,409830,477893,570533,537881,627725,857593,,146211,162263,134549,125482,125452,140386,176895,190202,158858,262306
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",7797,9572,11584,10294,12719,14370,17253,30665,27831,35884,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,56927,58054,58422,73467,105331,299273,273920,244261,261154,470835
850440,Static converters,20353,21707,23432,23664,30247,46330,45964,33970,33138,32906,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,1130659,1003220,833069,555480,648280,823539,923771,910749,919290,1127024
390730,"Epoxide resins, in primary forms",5067,6617,5490,4819,7300,10397,12251,15728,14665,32675,,596853,619474,632493,578825,464673,565145,677052,659126,681639,1141750,,90186,120839,126943,119415,109706,134513,161631,151310,145129,259800
820600,"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale",32784,30855,25953,13753,14153,30363,34423,31106,26308,31546,,120983,122857,130148,146729,161721,179516,202944,255707,245472,290871,,64503,67622,60400,36752,32767,58830,68982,72393,63642,81036
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",1207,1460,3076,2107,9179,17357,21211,25589,12010,31152,,88794,85500,95165,113105,110557,115170,148867,166558,155238,214424,,78729,80564,72232,48096,47059,63565,89991,115128,97027,150545
854232,Electronic integrated circuits as memories,2076,2867,4081,29974,159452,38683,61123,13690,15849,23867,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,44374,47203,52307,70219,197200,102083,139243,75104,86148,95506
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",23718,26249,24994,23986,18497,29831,31174,26885,20365,23625,,440332,365120,433917,358308,273499,327866,368616,331744,233799,332299,,203430,207046,187732,159687,128901,154607,157021,186329,175230,175402
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",12234,38455,32129,14613,62741,23466,15111,12338,13561,20896,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,3787830,2895365,2665358,1613419,1634334,1857607,2208032,1992917,2512263,3327306
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,21015,20133,17685,10494,10125,15339,16223,20658,18076,20714,,999295,1061326,1166554,1157799,1152194,1277317,1323967,1339802,1248469,1557398,,416908,460698,428027,262573,278336,407346,487118,491350,429384,603310
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",1667,3498,4387,3905,5870,7261,11486,21276,16824,18636,,666907,575487,461958,372638,353179,454553,502229,474447,386137,466602,,69035,72289,55152,49066,57199,70845,73611,74177,56295,82797
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",21007,24813,24120,14373,15549,20198,16746,16582,15120,17844,,720644,758417,801785,817373,857485,1000021,991660,959568,899743,1142917,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",18243,18508,17441,10494,4433,4386,10487,7461,10730,15683,,1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391,,107243,119906,114392,82521,68175,81903,105309,108639,124641,212497
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",12852,9479,10847,11806,10078,15404,13082,13484,8971,14454,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,535297,512266,558190,461801,622948,659727,641026,656415,659123,625816
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",18325,17505,14032,5895,7967,11103,11771,11066,11203,13755,,776032,761215,813282,725637,689194,733792,732304,707031,708993,957445,,153890,109454,93459,53733,57416,74438,83307,79337,81544,109999
890200,Fishing vessels; factory ships and other vessels for processing or preserving fishery products ...,712,0,0,0,24077,13012,1734,74,2879,13738,,66029,43626,74148,97429,90108,29578,16167,16292,25658,43452,,20756,21448,41066,60552,89392,115760,35650,252177,184842,320602
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",29128,25642,31887,26202,28505,32404,28542,16648,12123,13298,,658094,677425,687909,472295,520811,661971,662742,524117,436452,778384,,92295,100173,114135,86972,101719,130530,149057,121841,121998,242849
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",13722,12042,12039,9240,7987,10835,10806,11278,11454,13037,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",1712,3373,2562,2709,4512,4035,2996,3282,3606,12841,,2379340,2260829,2086795,1668888,1591271,2184091,2245167,1737437,1672909,2710523,,90341,93127,80874,54803,55149,65078,78371,67875,59170,109186
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",16933,16708,15688,10273,13220,13883,11752,10605,10820,12734,,628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380,,190757,195610,201094,107297,119671,136069,140556,139677,153087,191446
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",6484,8905,5145,3588,5045,7462,8933,6652,8371,11838,,517672,487128,525803,481171,495108,555329,562050,517586,539640,746378,,270279,284821,257883,188819,209541,272197,293501,288842,297017,338597
845210,Sewing machines of the household type,10922,9675,6364,3744,6968,11215,11755,10516,10261,11765,,169315,164711,168478,132711,121161,115046,117577,109975,130641,159648,,63783,41586,40748,19391,28127,41983,46348,40293,44578,61061
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",15762,14797,13490,18224,20266,24815,22800,13683,10987,11742,,749055,708956,828559,501733,502131,616373,616153,490308,389134,882179,,90508,92416,100032,83922,100034,156009,197300,146484,171260,252240
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),3047,3129,2732,3767,4967,6862,7928,8548,9694,11518,,277658,294950,324382,333960,348849,403789,422066,409034,440676,578821,,145090,152404,158988,117750,136364,190123,254062,265042,288952,361498
854233,Electronic integrated circuits as amplifiers,1244,1077,1754,1154,2500,4428,6516,7236,5759,10869,,18390,27267,33897,53224,139657,74392,95749,53158,68736,62659,,27708,27149,40876,32096,43597,41194,40849,41778,41012,67565
852580,"Television cameras, digital cameras and video camera recorders",170042,104110,61860,27923,23931,22118,25328,19766,11280,10805,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,1583592,1116715,721542,372438,354328,486739,499923,454418,463894,559165
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",7207,7169,6553,4410,5633,8607,11138,10982,9453,10671,,156882,147069,156382,148308,148937,163993,179593,186316,173806,219580,,63285,64161,56626,32762,36592,46086,52094,51455,45050,58772
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",8061,8543,8796,6174,6868,9417,9168,10146,10680,10650,,1234047,1192436,1192664,1152038,1122593,1209901,1262074,1172580,1066760,1292023,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",7377,6106,4626,3646,9754,18207,19117,22168,9659,10377,,203267,205089,196262,204543,203558,240909,253669,263335,314608,430377,,282204,274723,262296,171073,193847,250728,290181,300516,295348,366722
