Product code,Product label,Russian Federation's imports from United States of America-Value in 2012,Russian Federation's imports from United States of America-Value in 2013,Russian Federation's imports from United States of America-Value in 2014,Russian Federation's imports from United States of America-Value in 2015,Russian Federation's imports from United States of America-Value in 2016,Russian Federation's imports from United States of America-Value in 2017,Russian Federation's imports from United States of America-Value in 2018,Russian Federation's imports from United States of America-Value in 2019,Russian Federation's imports from United States of America-Value in 2020,Russian Federation's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,15505298,16717711,18594395,10814961,11065668,12663805,12682131,13436080,13213422,17265391,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
999999,Commodities not elsewhere specified,129564,126704,7,2372502,2996143,3551381,3438587,3540545,4043987,5348185,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,1417912,1700488,718674,4327079,6581104,8014821,7053690,6153790,9074291,13861409
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",399446,425928,440017,331390,380489,437573,362402,444583,412162,701128,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,7755747,8462338,7384591,4722999,5161127,6286657,5954256,7610252,5495105,7359024
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,80988,158801,521061,382755,635928,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,409155,433112,1174562,1088441,1497263
841112,Turbojets of a thrust > 25 kN,80986,66720,55396,44889,23740,65301,45610,5150,67098,531125,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,241868,187254,127329,106096,37691,73690,111992,17238,67805,841521
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",401834,638752,546346,287808,306210,356041,394787,481798,435313,428333,,5730608,5424783,5982380,5683352,5304406,4696800,4291074,5292635,4023263,3920326,,2360160,2292731,1921608,1456138,1751593,1797279,1846796,1810520,1315185,1546298
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,2446,1213,8004,161173,325556,,0,0,0,0,0,459119,413100,806875,1558396,2511447,,0,0,0,0,0,48535,99497,166865,312997,934088
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",49948,92004,158765,94575,91739,129878,130216,140950,153969,250253,,9004639,9893593,9440600,9092513,9429490,9447618,9764711,9401811,7297749,7306739,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",488573,618699,765725,248410,191646,209712,230822,191301,108655,210930,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,3305970,2687465,2313114,1306391,1342013,1168387,1326764,1280240,805144,1261525
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",107493,789129,829690,196594,170848,213843,242049,322543,95242,189360,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,10875766,8804018,6661388,2730303,2230445,2416823,2709405,3129962,1873246,2409822
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",245718,215327,207890,100435,111757,132881,133825,165384,167742,178454,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,1398525,1198787,1257837,732659,853792,900819,930321,1066345,1147334,1303655
