Product code,Product label,Saudi Arabia's imports from Australia-Value in 2012,Saudi Arabia's imports from Australia-Value in 2013,Saudi Arabia's imports from Australia-Value in 2014,Saudi Arabia's imports from Australia-Value in 2015,Saudi Arabia's imports from Australia-Value in 2016,Saudi Arabia's imports from Australia-Value in 2017,Saudi Arabia's imports from Australia-Value in 2018,Saudi Arabia's imports from Australia-Value in 2019,Saudi Arabia's imports from Australia-Value in 2020,Saudi Arabia's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,2166759,2368837,2301596,1810359,1276862,1074685,648858,721156,638513,1418120,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
100390,Barley (excluding seed for sowing),445880,430004,245696,20409,48771,77819,0,0,34908,696547,,1358431,1484784,1597948,1306758,1124787,1620624,1371855,726624,913124,1983793,,2513952,3249484,1993176,1469724,713052,800252,1032611,541737,616143,1126623
100119,Durum wheat (excluding seed for sowing),0,0,0,0,0,0,0,0,0,78430,,89403,85156,85103,49695,60865,113614,48936,39,1929,148724,,39,108,226,56,4,143863,222559,123429,194058,407267
261400,Titanium ores and concentrates,32593,0,14613,36382,74606,68986,38536,34307,41304,72427,,135411,85640,67036,83598,63569,85006,77060,87219,80219,59059,,147116,83212,156016,88031,94070,109416,120082,113441,83123,128613
20230,"Frozen, boneless meat of bovine animals",14461,85196,85717,81161,28666,15845,15787,31401,22029,46643,,2828207,3370846,4371609,4277980,3075554,3223065,3694760,4468083,3749032,3750481,,328785,277886,294771,289403,193628,172035,173590,211739,186316,282298
20130,"Fresh or chilled bovine meat, boneless",637,38387,59359,69893,24902,19691,28720,41637,42367,43825,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,59630,67155,92297,103640,93907,110840,106869,178023,243361,220532
110319,Groats and meal of cereals (excluding wheat and maize),0,0,0,0,0,0,0,0,0,33897,,675,428,683,399,416,366,554,797,1682,2184,,512,1202,887,763,894,1010,2701,5180,8232,37115
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",2199,3473,5517,8241,14259,18690,22179,22751,36311,28965,,199015,228651,225310,219951,283126,371090,421873,485240,477092,492473,,351514,346655,431952,483238,456066,397193,409579,456926,434232,459304
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",36639,35483,59003,59154,28575,36935,28552,24142,20795,21288,,625049,822870,1044738,759880,687072,995968,1177708,1418754,1208444,1518543,,125471,107091,155358,146808,55545,80243,59607,49484,43886,53185
120921,Alfalfa seed for sowing,21929,28263,14039,28602,30217,11114,5985,12208,17901,18784,,39740,56935,52697,65686,60544,35004,23886,33977,44876,51288,,76946,71617,58157,94370,78349,43605,18992,40125,41370,44657
70610,Fresh or chilled carrots and turnips,9651,11338,11835,12794,14037,11164,19343,18725,17927,18693,,54301,52077,53103,54688,65624,71769,73794,66302,70795,71921,,14441,16554,20467,21374,24913,20100,30336,28535,28165,28492
71350,"Dried, shelled broad beans """"Vicia faba var. major"""" and horse beans """"Vicia faba var. equina ...""",20332,21477,27682,17916,13166,13569,12558,26253,20065,16161,,160749,177012,185203,158948,120425,146850,132402,179470,213076,215798,,22347,22933,29298,20570,17675,16258,14235,32282,21538,18378
20422,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)",9782,11463,15611,12979,12282,9391,9423,8257,9000,15949,,353441,390211,443252,409501,398503,429216,493262,522994,547385,692770,,10915,13787,18008,16738,15273,10703,11470,9368,11008,17010
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",4570,18208,18000,18515,5941,8126,10042,16636,13174,15616,,167050,248705,352822,286477,216745,255374,298897,453852,356865,415507,,51508,79851,82306,103960,28824,75588,58466,49594,63403,66737
251320,"Emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated",8924,11260,12091,10395,19071,26034,24953,21516,11361,13982,,67126,68250,71308,62349,74724,76111,71742,69050,48630,68886,,11740,16839,17848,17101,24098,30550,30690,24802,14894,17153
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",30850,26990,30084,46284,19063,20371,38255,20738,4685,12106,,336757,328781,309127,284451,132443,150104,213825,132078,49774,70999,,1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
902140,Hearing aids (excluding parts and accessories),0,0,0,1487,88,2025,3823,6658,1774,11656,,234353,185055,173636,176791,108941,30536,28076,21565,13668,24489,,8131,13575,17071,9557,7071,8814,15832,19814,12226,39349
20210,Frozen bovine carcases and half-carcases,89,1577,146,155,8500,14433,15484,5907,12881,11474,,1153,3084,2919,1841,1432,1705,3944,3319,1598,1463,,506,2503,299,179,21616,29555,36832,14770,37464,52201
20443,Frozen boneless cuts of sheep,16096,10334,19061,11223,7729,13424,13157,10586,10113,11180,,242409,277985,384186,339963,323058,440236,454425,403083,403969,470575,,20392,15672,21136,14191,15838,18993,17249,14526,19457,14913
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",18998,16091,12628,13444,10198,8493,11586,11831,12266,10275,,126869,141257,141665,86041,64178,75983,83256,84957,79312,108146,,29565,25250,18988,23573,14791,12567,19740,20650,19276,14339
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",3124,8013,3348,14085,14263,9458,9375,15033,18568,9685,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
210690,"Food preparations, n.e.s.",4445,6290,8315,11608,4615,3695,4055,6783,7582,9110,,226406,277176,388229,731539,1024245,1318490,1068136,821079,782213,712995,,979780,1022823,1035126,1084896,930372,873837,736570,719038,745399,855310
283711,Sodium cyanide,8225,8635,4150,6008,4070,4970,8221,8168,8427,8770,,9,15,2,17,0,1,31,0,0,550,,9568,8721,4465,6542,4581,5074,8273,8235,13948,9710
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",0,0,0,3894,2677,9915,14652,18168,18341,7974,,381842,362918,370661,382407,341947,397956,448478,383745,358873,651186,,161,100,223,29099,18397,37850,110071,136415,167536,117781
110520,"Flakes, granules and pellets of potatoes",0,1315,3026,3712,5331,5418,5460,6971,8529,7853,,117,232,45,117,392,241,184,106,66,66,,1464,6511,8829,9687,9382,10026,10151,13296,13870,14262
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1787,1952,2075,6929,2861,7463,4687,16513,10925,7493,,2343,2556,5118,2466,3537,2282,1683,3158,3309,5286,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",1503,76,81,3896,848,0,2488,5314,3954,5738,,764169,829941,904501,793752,780539,1253462,1257286,1017757,916837,765866,,121563,134574,144260,141478,114193,151209,151958,108963,103089,120796
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,0,0,0,0,0,3000,0,0,4891,,46392,59943,265459,48662,14432,5920,8593,19117,6509,99361,,20600,13973,32167,0,10000,6289,308084,247601,145181,591322
20450,"Fresh, chilled or frozen meat of goats",2851,6556,8845,7576,2547,1808,859,3116,2356,4178,,141159,159217,221822,186193,150395,200787,138855,166188,102847,191590,,19314,28903,28337,25974,16097,15802,11010,15445,6521,16875
20441,Frozen sheep carcases and half-carcases (excluding lambs),3094,274,0,0,9540,15431,20123,12996,9887,4150,,31277,39884,63334,44904,33235,30385,31796,31602,18449,47970,,5900,274,0,0,17949,25182,22464,21865,22854,9710
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",5227,2832,2739,2934,1385,2563,3103,156,212,3579,,599444,315249,306855,775953,948664,1386581,303164,243618,236608,505204,,33791,38186,33716,40928,54548,63524,50843,42160,40233,46778
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",680,2284,369,576,741,891,772,3496,1957,3046,,232401,238165,150416,142787,132656,169730,169709,176805,138096,180596,,193288,228718,257936,212640,141265,137231,96250,105032,138495,139857
40630,"Processed cheese, not grated or powdered",4645,4413,5376,3364,3291,2633,2207,2695,3148,2730,,121450,112154,95686,82575,90713,95861,104811,90624,82499,80634,,301724,289979,331878,269833,192441,260465,253013,260299,253829,312858
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",0,0,0,0,0,83,0,0,62,2716,,130510,107391,98373,119375,93852,102302,108556,76049,87244,140343,,433758,68527,330174,301974,327659,486227,322537,195422,118169,136372
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",516,161,386,0,37,0,109,25,24,2672,,69804,27014,14384,12495,13735,8001,9895,9681,9134,7528,,24491,23373,35216,18861,17111,13845,16710,19253,13743,21056
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,0,311,141,1502,0,276,1545,740,18,2642,,91919,103987,75086,69053,55729,48937,40833,35403,35578,26730,,62868,163374,287359,303936,219048,535179,150448,40799,31211,21099
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,262,307,66,510,124,279,208,150,95,2407,,546765,544257,538940,553898,472393,168240,153457,121920,127681,152430,,393919,268516,259012,218154,118377,86952,108183,133169,159764,221864
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",123,212,462,1706,1069,1424,1151,1317,1118,2400,,312046,274646,274728,276877,243993,314637,343796,327227,343306,398003,,40909,69428,76609,124761,190795,187015,174538,214663,222590,141192
120999,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, ...",4240,1747,2532,2871,5457,2865,3609,3128,562,2388,,4154,4205,2841,2777,4165,3485,2942,3647,3599,3360,,9692,5210,8346,9435,10287,8315,7604,7812,5584,7189
20120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",673,2407,1494,3667,2594,1274,3595,2259,1798,2343,,44755,62651,60245,55743,61996,65241,68304,72033,72931,96162,,28401,40525,31189,34599,30326,22727,23386,7928,2449,22496
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",1636,9612,5728,1219,1382,2124,749,1473,960,2332,,117382,136808,127267,130416,105893,100764,123663,117945,104405,130243,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",18948,17613,1809,0,0,9506,8141,0,2061,2279,,3901,49,154,119,91,2,27,69,300,232,,31405,31782,34007,27441,26539,25991,15691,5188,15792,27938
20421,Fresh or chilled sheep carcases and half-carcases (excluding lambs),1754,2385,3041,6935,9555,7685,5645,1798,157,2260,,31880,9957,18732,16112,21271,27659,35824,27815,11508,8455,,29298,34015,46360,62682,51253,55301,45014,14523,853,22141
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",4880,7321,11739,4333,2998,1323,2673,2841,1780,2011,,43863,38907,42260,32272,28870,33957,31278,36474,31150,44218,,170009,171871,180385,181258,159550,150127,105572,143595,126375,137539
300230,Vaccines for veterinary medicine,446,729,870,473,1732,535,138,325,387,1904,,17871,16598,15447,15053,18281,23716,26226,25193,28676,30774,,51474,66763,72789,76357,83350,90626,79769,84858,86361,84647
20410,Fresh or chilled lamb carcases and half-carcases,660,1711,2684,3733,7725,4118,2306,646,150,1887,,121426,192885,210356,192371,193754,245568,319732,287839,220955,113566,,45260,40930,36349,40252,54344,28512,10737,1509,907,3937
853521,"Automatic circuit breakers for a voltage > 1.000 V but < 72,5 kV",726,2906,477,95,349,432,1214,753,277,1848,,55535,39362,31403,37120,40427,42319,42477,38794,45025,46728,,40100,36051,29744,28679,24933,61771,84810,64115,84746,114528
80262,"Fresh or dried macadamia nuts, shelled",39,248,469,876,1142,990,1247,3149,2098,1785,,59783,75926,81123,90239,96601,106979,145085,167529,166986,163495,,793,879,1406,2661,3150,2071,2880,4803,5845,3128
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",9610,19098,11976,6558,3374,573,4795,3109,1198,1737,,333296,353312,304985,274850,256941,278475,275422,237273,205845,255431,,240017,230492,286089,241839,242014,185750,172067,167685,183649,213459
300450,"Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...""",178,858,448,1389,403,561,210,881,1225,1720,,80344,68248,83885,81713,92269,87099,124214,193357,231388,248698,,164804,222021,186066,183510,49398,48355,61283,70651,102059,143337
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",293,422,272,429,608,342,154,767,1412,1698,,153862,122881,120521,96470,104035,86226,105620,95236,104333,119450,,192291,251897,266912,259673,219973,204800,217377,179267,215519,191672
80521,Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines),0,0,0,0,0,0,0,0,0,1688,,0,0,0,0,0,107633,93505,145288,101829,143685,,0,0,0,0,0,0,0,0,0,31860
350220,"Milk albumin """"lactalbumin"""", incl. concentrates of two or more whey proteins containing by ...""",0,0,0,0,0,0,0,0,1947,1673,,29809,32570,25671,20173,26518,28254,45560,75921,62994,65359,,6733,491,1604,4890,11706,16538,18790,13367,19175,21458
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",931,0,854,0,0,0,0,0,618,1642,,106,123,176,149,67,53,514,37,291,320,,87651,99885,110844,71316,37948,21985,37663,28726,26579,30813
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",626,469,995,704,458,668,911,1017,1262,1617,,4236,4401,4523,3127,2259,8750,19739,17221,12729,20234,,7056,6739,10039,12535,6841,7086,6257,10568,12436,14887
20629,Frozen edible bovine offal (excluding tongues and livers),610,656,1466,1280,633,499,257,255,144,1588,,317058,343897,400898,335838,296298,321085,363842,392964,372827,471322,,5604,2281,2874,2844,2310,4704,1863,1585,818,3716
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",2354,2640,2287,1319,2288,1327,960,2162,949,1580,,31111,30598,30640,26111,21090,27107,27573,26194,22874,35002,,73571,87072,95022,105829,108281,105579,96284,160027,154297,210273
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",6486,3324,4917,4567,2406,2674,974,570,515,1557,,44589,41899,41916,39464,42631,57118,57740,65306,73584,133898,,67757,70302,83225,81845,55344,52265,53797,75400,90303,78739
20622,Frozen edible bovine livers,590,358,669,794,1250,502,530,810,1132,1540,,31138,25195,27675,29467,17090,20040,24202,25153,26813,30055,,1519,785,965,1041,1883,1267,769,1073,1536,2362
300440,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",2185,3824,3793,113,0,945,3768,4627,8192,1498,,30128,28980,14771,13971,7602,0,0,0,0,0,,443708,456310,351197,761,36662,1340,185263,139891,24246,23360
40900,Natural honey,3252,2443,2440,1999,1168,1762,1858,1392,1629,1482,,25571,27124,27253,34877,31362,30978,32808,37654,42481,45000,,61604,66261,86192,56886,41804,66128,76977,72990,105066,86232
