Product code,Product label,Saudi Arabia's imports from China-Value in 2012,Saudi Arabia's imports from China-Value in 2013,Saudi Arabia's imports from China-Value in 2014,Saudi Arabia's imports from China-Value in 2015,Saudi Arabia's imports from China-Value in 2016,Saudi Arabia's imports from China-Value in 2017,Saudi Arabia's imports from China-Value in 2018,Saudi Arabia's imports from China-Value in 2019,Saudi Arabia's imports from China-Value in 2020,Saudi Arabia's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,19635041,20807217,23078155,24061563,18840789,19391019,22243715,27066620,26509227,31071640,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",1856556,2534251,2723932,3199810,2448771,3552221,3659463,3867765,3356766,4144461,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,4311388,5528720,5482563,6008561,3909241,4863530,4765887,5075693,4031153,5002542
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",9275,960,18192,18312,10298,11872,94906,313627,738825,1155944,,195046,182986,117883,77391,87209,66694,145833,116897,80373,126494,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1038379,1057066,1031516,843483,615238,622545,673389,796428,963415,1096248,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,1232055,1164707,1141757,1003931,722651,701852,747064,844575,1013260,1131244
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",499978,628186,724627,457656,315858,485653,625211,1235266,1343780,1091501,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",558,6054,9727,41,84856,363565,461374,321578,282408,938168,,889598,712429,577524,732449,751469,515150,782543,426215,488705,437581,,18464,12310,26331,4900,309722,742433,875904,618168,612277,1305481
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",380405,381860,411864,698264,556345,476593,408324,758848,918023,758208,,8202352,8378242,7865970,7509658,7809803,8828020,9653840,9320309,9457557,9707705,,774066,727925,614151,1090972,879898,667819,550060,851082,1041109,894978
999999,Commodities not elsewhere specified,1297,2043,1384,1463,1529,4293,816353,657553,307500,740546,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",7616,10484,10356,8646,1393,3122,12549,258085,384860,650128,,2210824,2083681,1547389,1181562,1248714,2331269,2961803,3292704,3260786,6693807,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",19369,0,15006,7386,881,26000,247149,693956,275471,556495,,1795652,1923162,2665915,3293218,1116295,1295642,2982155,3229987,946508,891112,,75929,1523,29765,15293,4110,49802,778726,1811562,443195,1419955
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",234934,235765,244597,249206,186300,179189,225190,291080,305877,289764,,8056376,8132128,8517548,7245766,6671898,7390076,7808521,7350764,6599528,7267488,,744441,681326,686841,676096,533741,456993,441962,565651,532728,496676
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",4675,16259,64817,36657,63993,173403,195317,121610,109744,275059,,5814,18661,5240,4899,7839,18057,77128,19071,14086,820031,,355030,334353,356231,310810,211318,319709,339310,284434,348004,465166
