Product code,Product label,Saudi Arabia's imports from Germany-Value in 2012,Saudi Arabia's imports from Germany-Value in 2013,Saudi Arabia's imports from Germany-Value in 2014,Saudi Arabia's imports from Germany-Value in 2015,Saudi Arabia's imports from Germany-Value in 2016,Saudi Arabia's imports from Germany-Value in 2017,Saudi Arabia's imports from Germany-Value in 2018,Saudi Arabia's imports from Germany-Value in 2019,Saudi Arabia's imports from Germany-Value in 2020,Saudi Arabia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,10914030,11801955,12416572,11825038,8181060,7135435,7292181,7003813,6809087,7413460,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",195143,231455,263863,305788,431530,484799,579438,480690,576012,566059,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",9815,6247,9497,18557,15077,5438,39819,163058,139673,385032,,9603099,9794812,10443915,12855544,14154725,12531254,14364180,14447215,12426819,10064280,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",21758,9193,7814,11942,5341,9176,29444,37331,134659,309155,,1396338,1898422,2124121,2182374,2453597,2293236,2364777,2741050,2993189,4039013,,29838,38870,34030,62379,28691,43698,59239,68369,169549,333572
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",12271,18955,28147,56531,41460,26814,129900,447984,322121,308859,,369277,1846307,2863371,3144829,2932026,3968741,5183618,5109613,3077733,1988769,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
300210,"Antisera and other blood fractions and immunological products, whether or not modified or obtained ...",26991,17218,24756,14473,38676,37864,61557,85449,201972,160156,,17977450,19278417,20571295,20417033,21266902,0,0,0,0,0,,41770,79769,117916,147056,212828,191997,236404,263364,505756,338164
870120,Road tractors for semi-trailers,73200,52997,44081,45484,23924,11669,20534,123268,205050,135888,,5484051,5734134,5999904,5619042,5111936,4915364,5019935,4079114,2903529,3621432,,105011,71711,65724,66785,46337,27070,32139,207501,304441,196335
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,0,0,0,124494,,0,0,0,0,0,17544825,21685506,20062331,22519737,26220126,,0,0,0,0,0,0,0,0,0,306772
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",121920,131680,162361,121971,108873,98431,92809,76427,85842,112818,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
100390,Barley (excluding seed for sowing),98414,487268,32142,185752,96745,130445,94285,13200,42033,89820,,441755,829008,222462,560055,495742,420293,374227,302474,472806,723236,,2513952,3249484,1993176,1469724,713052,800252,1032611,541737,616143,1126623
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",75573,101110,129779,118163,94914,87580,131815,104041,77736,88546,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
870423,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",160955,118030,89393,160536,75306,63366,24527,25982,45377,72623,,3954178,4024896,3581334,3063433,3197884,3282674,3831606,3655211,3056181,2863315,,310042,255033,305597,355104,168255,94652,59795,36743,56477,115487
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",36395,31037,33105,29066,13357,13699,10701,11032,30991,67064,,8046666,8472289,8943564,7914681,7432974,7982530,8356466,7733645,6504443,7837467,,193611,130148,186708,142047,80962,65274,58780,71346,144526,246036
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",196000,173532,191761,337888,157895,134876,72292,51360,48359,60545,,48181,54895,55690,36352,40147,51033,45824,52129,50436,49713,,847745,749160,648947,868928,496556,463302,204251,181896,184958,212133
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",13024,51309,35863,43866,54945,103397,234335,149381,61536,58961,,8624166,8112839,8819635,8247703,8303002,9731028,9417833,9124472,6510750,5764908,,1165459,1404924,1627925,2743414,2398210,2139166,2320210,2489533,1685440,1261841
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",137260,127046,131429,74685,27461,26406,17484,48377,49162,58446,,5129406,5241637,5028938,4463612,3974485,4184552,4522827,4602067,3410258,4169624,,183920,182710,187919,118151,53795,37796,23324,54818,53857,69399
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",69989,77042,106314,68401,34410,47220,60210,51572,54174,56784,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",25085,27523,67948,48729,58830,59908,45708,44083,72087,56044,,382850,485302,524300,508691,636338,781219,820356,767310,788763,779091,,550645,478247,609015,652552,647491,559643,513984,580541,566988,528439
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",20209,44050,35895,46427,47450,30140,25384,10541,59758,53155,,2468700,2750730,2807023,2340382,2421551,2561532,2778098,2805770,2881011,3175385,,123077,121448,127692,141995,153494,98998,75640,50922,96400,96627
