Product code,Product label,Saudi Arabia's imports from India-Value in 2012,Saudi Arabia's imports from India-Value in 2013,Saudi Arabia's imports from India-Value in 2014,Saudi Arabia's imports from India-Value in 2015,Saudi Arabia's imports from India-Value in 2016,Saudi Arabia's imports from India-Value in 2017,Saudi Arabia's imports from India-Value in 2018,Saudi Arabia's imports from India-Value in 2019,Saudi Arabia's imports from India-Value in 2020,Saudi Arabia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,5125704,5720071,6171506,5884729,4932353,5131997,5684926,6489007,6367017,8042079,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",120,38719,35802,60,27280,1173,1414,24484,252801,1034250,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,303286,1567507,1515673,325313,198287,2223588,3421865,3260117,3531723,6451886
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",741603,994244,1387216,1142336,640645,718209,983025,1040307,1027292,783733,,5710316,7754818,7537677,5952411,5056932,6636591,6841259,6616849,7484136,8361333,,1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
290220,Benzene,211315,225631,183823,247075,278779,451707,437790,371580,367702,523403,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,744619,626096,735701,403004,344235,515448,522455,481741,388155,529791
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",31307,49688,36681,54896,91093,28026,107956,438463,303832,272501,,2634205,3540087,3236803,2948191,3395703,3476198,3261097,3178158,1947229,2914608,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",365890,325402,104268,6003,4485,15885,13921,276183,162173,263468,,2849565,2284571,561601,166752,235636,137715,1094491,3406019,2988755,4871528,,4311388,5528720,5482563,6008561,3909241,4863530,4765887,5075693,4031153,5002542
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1680,1351,3424,10621,3487,33888,101933,137515,241374,213019,,1135018,1162354,1199772,1225010,1244843,1137311,1539481,1554910,1118158,1430577,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",30819,19564,24376,30308,36965,99292,51943,85936,60109,176613,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,539833,477774,344294,434997,597073,818852,781010,1028825,583550,1408225
170113,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained ...",1338,984,98,264,1029,300,33,117,17907,122477,,0,115406,99264,33325,34095,24724,36041,74186,25055,33851,,33463,57238,117451,18964,2824,286974,348034,331114,388724,462716
890520,Floating or submersible drilling or production platforms,0,0,4852,0,0,0,106941,0,131327,114040,,622045,281352,1092921,1029422,450427,1154709,816582,748810,327575,376228,,1465903,1572929,1301971,312720,289986,400117,1590033,1452976,455831,851754
