Product code,Product label,"Saudi Arabia's imports from Korea, Republic of-Value in 2012","Saudi Arabia's imports from Korea, Republic of-Value in 2013","Saudi Arabia's imports from Korea, Republic of-Value in 2014","Saudi Arabia's imports from Korea, Republic of-Value in 2015","Saudi Arabia's imports from Korea, Republic of-Value in 2016","Saudi Arabia's imports from Korea, Republic of-Value in 2017","Saudi Arabia's imports from Korea, Republic of-Value in 2018","Saudi Arabia's imports from Korea, Republic of-Value in 2019","Saudi Arabia's imports from Korea, Republic of-Value in 2020","Saudi Arabia's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,9374051,9512996,8546496,9683099,5872769,4973680,4300250,4027286,3821042,3401367,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",308146,535110,317262,292594,150259,172468,139204,599048,655027,523641,,4315463,5974465,6274632,6286163,5993315,5679410,5679139,5394697,5259587,4976938,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",66137,53016,401264,806682,412977,563721,554602,830042,608649,443634,,885004,915067,773779,1042648,867201,1576505,2406340,2478119,1730813,2007666,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",434,814,1165,1138,2063,2137,1281,1446,7748,124980,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,68185,72877,84656,104269,67255,48430,58436,58774,109306,302359
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",157288,196143,135065,146930,136293,129285,106166,142639,100423,90727,,2884298,2661989,2677039,2355158,2371175,2404509,2449409,2389231,1944390,2059200,,897329,938524,902168,790327,639563,611130,626384,942226,571814,669596
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",151,2370,1919,1185,1005,51,1422,5918,16417,73626,,4228151,3359734,3359630,2389726,2131180,2792195,3235758,2575779,2264839,3198371,,5111,6454,11572,6046,11015,4501,8045,21843,62376,178467
999999,Commodities not elsewhere specified,31,0,61,153,58,158,188132,8756,75877,67127,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",28449,17903,16809,16169,17142,18292,31767,51490,29710,65094,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,215396,266082,321968,274817,312767,294031,236853,315425,253993,311004
850423,"Liquid dielectric transformers, having a power handling capacity > 10.000 kVA",150735,176632,165657,168183,148517,116906,52987,33812,28600,55843,,971434,802838,807894,799896,770185,656013,376002,406328,356409,285548,,215803,381577,414303,455393,436992,285881,94630,107104,74598,75086
842121,Machinery and apparatus for filtering or purifying water,17077,10978,6201,8319,4951,3257,5154,21112,20842,52352,,257816,328355,378393,456196,495316,436373,561752,699968,696223,823151,,152963,154443,152137,170222,149275,108528,125979,140428,134447,242355
