Product code,Product label,Saudi Arabia's imports from Russian Federation-Value in 2012,Saudi Arabia's imports from Russian Federation-Value in 2013,Saudi Arabia's imports from Russian Federation-Value in 2014,Saudi Arabia's imports from Russian Federation-Value in 2015,Saudi Arabia's imports from Russian Federation-Value in 2016,Saudi Arabia's imports from Russian Federation-Value in 2017,Saudi Arabia's imports from Russian Federation-Value in 2018,Saudi Arabia's imports from Russian Federation-Value in 2019,Saudi Arabia's imports from Russian Federation-Value in 2020,Saudi Arabia's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,1462556,1689306,1892490,1073063,507715,758220,1220568,1443161,693770,1199738,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",67534,304465,618599,82288,73258,300072,84854,56710,23957,367131,,2947786,2933818,2622852,1173813,784641,859113,1026846,843082,841937,1903280,,260272,793453,1401333,738467,558968,886084,810340,818530,755452,1303937
100390,Barley (excluding seed for sowing),489209,413880,383200,568899,161316,140332,273428,94229,209804,132410,,896693,553010,783410,888293,423284,730654,1022157,760432,897110,964468,,2513952,3249484,1993176,1469724,713052,800252,1032611,541737,616143,1126623
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",0,483750,270013,26317,0,19315,414530,228276,14975,100646,,15377855,17638570,22212195,12524204,10759136,12909371,16750754,14160911,9954896,15688290,,303286,1567507,1515673,325313,198287,2223588,3421865,3260117,3531723,6451886
100119,Durum wheat (excluding seed for sowing),0,0,0,0,0,0,0,16,15791,93887,,37054,7416,24455,23135,33383,52140,87806,58350,38816,61759,,39,108,226,56,4,143863,222559,123429,194058,407267
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,0,0,0,0,0,0,537,21780,18360,58704,,23889,54197,56301,53680,68229,109238,118289,254593,358165,437223,,333286,536155,579947,559520,401875,475200,409724,580864,452802,432605
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",745,1521,596,0,84,172,2098,6968,49433,54252,,3931,5023,7531,5194,8915,14879,15809,15568,14760,24612,,208264,228448,251063,210048,209264,205501,234998,251600,228223,258170
151211,Crude sunflower-seed or safflower oil,28129,28782,17706,29929,0,5318,51233,43082,14223,34356,,1300149,1045715,1027252,778330,1006328,1321692,1182803,1732076,1819475,2431389,,92141,110540,90974,73926,30507,34634,84288,70208,53985,136750
300220,Vaccines for human medicine,0,0,0,0,0,0,0,0,0,29129,,13945,14384,16374,21720,33155,52004,50623,60638,70918,1407488,,136743,206694,277120,236926,203506,189636,315665,280845,213469,1310957
740311,"Copper, refined, in the form of cathodes and sections of cathodes",0,3556,9503,42345,58124,47014,12472,61666,64042,26571,,1851523,1554128,1896120,2816502,2357308,3418741,4042457,4031353,4529008,3693017,,1363076,996916,1139023,1033495,852534,766296,671577,645895,704583,692462
