Product code,Product label,Saudi Arabia's imports from Singapore-Value in 2012,Saudi Arabia's imports from Singapore-Value in 2013,Saudi Arabia's imports from Singapore-Value in 2014,Saudi Arabia's imports from Singapore-Value in 2015,Saudi Arabia's imports from Singapore-Value in 2016,Saudi Arabia's imports from Singapore-Value in 2017,Saudi Arabia's imports from Singapore-Value in 2018,Saudi Arabia's imports from Singapore-Value in 2019,Saudi Arabia's imports from Singapore-Value in 2020,Saudi Arabia's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,1065061,1623165,1390409,757231,552208,605377,1289929,1578455,1335841,1601059,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",0,0,10543,3550,1505,9600,37987,586676,0,365840,,328335,6270,26028,23525,19033,31608,116447,41164,17925,36674,,75929,1523,29765,15293,4110,49802,778726,1811562,443195,1419955
890520,Floating or submersible drilling or production platforms,428101,942185,507212,3803,422,0,500700,189500,0,303295,,2678331,780635,1267789,1286405,174879,259,127317,503781,0,0,,1465903,1572929,1301971,312720,289986,400117,1590033,1452976,455831,851754
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",230,91,137,697,514,6712,8294,4607,350052,109066,,24629742,23121395,23445528,14785177,12462249,14531435,18082770,16591374,10150819,16087885,,303286,1567507,1515673,325313,198287,2223588,3421865,3260117,3531723,6451886
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",61562,45671,54506,24742,27716,36097,48294,58298,64188,65574,,4237094,4404537,3814484,3292943,2005376,1601263,1327192,1302815,1173732,921138,,763273,753503,1080059,871226,639281,615730,751344,772633,322220,376479
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,1946,15006,0,0,1789,29850,21695,5304,60274,,42897,1399615,38040,62085,66273,57631,1230,8876,9491,30936,,20600,13973,32167,0,10000,6289,308084,247601,145181,591322
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",149,260,143,1099,12091,17037,27186,44226,37772,46361,,406115,409729,368029,295997,224780,201005,233014,225001,291162,240457,,550645,478247,609015,652552,647491,559643,513984,580541,566988,528439
890400,Tugs and pusher craft,17345,30547,12265,8000,21500,3150,76358,99449,30255,44092,,1517,11399,0,0,0,5593,81367,119842,1395,1816,,53606,276552,51905,104767,184044,16249,719683,987473,395739,707135
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",4907,4114,4776,2934,8754,13956,16422,14606,32496,38151,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
730711,Tube or pipe fittings of non-malleable cast iron,0,121,0,0,0,0,319,131,1112,38097,,1508,1395,2331,2333,4674,2244,2460,2729,3411,2069,,9991,12186,12035,20584,23102,39500,30397,37133,36604,144402
