Product code,Product label,"Saudi Arabia's imports from Taipei, Chinese-Value in 2012","Saudi Arabia's imports from Taipei, Chinese-Value in 2013","Saudi Arabia's imports from Taipei, Chinese-Value in 2014","Saudi Arabia's imports from Taipei, Chinese-Value in 2015","Saudi Arabia's imports from Taipei, Chinese-Value in 2016","Saudi Arabia's imports from Taipei, Chinese-Value in 2017","Saudi Arabia's imports from Taipei, Chinese-Value in 2018","Saudi Arabia's imports from Taipei, Chinese-Value in 2019","Saudi Arabia's imports from Taipei, Chinese-Value in 2020","Saudi Arabia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,1709314,1724819,1936694,1898742,1403157,1121093,1029584,1112933,1078155,1208486,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1115,3923,229,595,0,0,15369,214837,168540,254651,,2235,2607,3369,2150,2901,1373,1370,1814,41629,187600,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",17109,18259,49873,90601,31026,37705,41438,45419,64478,69427,,1258809,1352928,1253973,1054202,902341,1173334,1422704,1518404,1522444,1624655,,355030,334353,356231,310810,211318,319709,339310,284434,348004,465166
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",7410,14834,13748,10056,8898,7927,15669,28096,29572,53015,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",896,1138,1782,4768,1941,2022,3695,3394,4841,27673,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,227331,413109,505936,423717,277821,234810,352030,452574,454641,569852
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,12995,8402,750,630,1384,1449,2111,7015,19704,22055,,999295,1061326,1166554,1157799,1152194,1277317,1323967,1339802,1248469,1557398,,77993,57303,8645,8923,8559,13083,15122,27158,64760,69786
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",22450,23590,30311,23588,12269,10517,11869,19494,12737,21882,,704201,690808,653761,609900,556459,612808,578436,618706,598002,479051,,897329,938524,902168,790327,639563,611130,626384,942226,571814,669596
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",5069,5843,7725,10399,9254,8622,7225,8654,7232,21452,,695896,786401,748882,696248,760253,1074114,1161301,1143422,1077034,1742811,,102246,81679,75200,106154,76306,82547,59450,52245,68577,88033
291735,Phthalic anhydride,8686,10866,1527,3910,4250,6095,12363,13517,12501,20942,,114589,105013,101572,47737,71195,85960,96603,85228,86009,117777,,66321,60207,53954,39966,22999,34696,32839,25467,21702,39516
291714,Maleic anhydride,5726,12697,13905,9414,6954,14003,19085,14024,12226,15841,,58353,80564,92078,57333,45547,85433,95363,58824,60159,126580,,31491,33033,33638,22498,9016,18202,22686,17604,17885,31652
