Product code,Product label,Saudi Arabia's imports from United States of America-Value in 2012,Saudi Arabia's imports from United States of America-Value in 2013,Saudi Arabia's imports from United States of America-Value in 2014,Saudi Arabia's imports from United States of America-Value in 2015,Saudi Arabia's imports from United States of America-Value in 2016,Saudi Arabia's imports from United States of America-Value in 2017,Saudi Arabia's imports from United States of America-Value in 2018,Saudi Arabia's imports from United States of America-Value in 2019,Saudi Arabia's imports from United States of America-Value in 2020,Saudi Arabia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,20254190,21493599,21384315,22066609,17342441,14636694,18041075,17097398,14103515,15546257,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
999999,Commodities not elsewhere specified,6210,9313,8249,8232,6618,6375,2808028,2431051,1311158,2045344,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",107341,92636,73158,96320,55367,45860,580619,955601,852406,1154707,,1265895,1123781,1180598,902783,723171,734620,735576,607467,608815,916980,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
880220,"Aeroplanes and other powered aircraft of an unladen weight <= 2.000 kg (excl. helicopters, ...",34095,1701,61,192764,0,866,498,60,248108,785540,,32454,29291,3342,15952,6049,44300,20856,25452,7829,24355,,34637,4287,11933,192797,1,876,3227,512,248952,795976
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",618901,746380,961961,1878309,1860980,1595368,1495818,1687453,1155043,609503,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,1165459,1404924,1627925,2743414,2398210,2139166,2320210,2489533,1685440,1261841
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",151446,290060,280470,358580,377680,383783,443583,441742,518241,502204,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",532432,471402,229064,220766,91181,54348,67367,320962,355749,449348,,640547,777393,934599,702918,554414,1432247,2277358,1634442,871110,1075353,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
840710,"Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft",457080,845354,992986,1155769,838959,773218,392184,301318,294385,415164,,66334,157132,187930,147862,119158,218276,232179,248719,115187,161399,,518200,870664,1025752,1194724,897680,775038,421783,734760,524652,618194
300220,Vaccines for human medicine,36365,99121,81941,61771,58417,26673,69938,46991,42289,372840,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,136743,206694,277120,236926,203506,189636,315665,280845,213469,1310957
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",167,650,516,753,103,0,145,0,69,310347,,168725,211542,189885,178845,173089,233430,235069,257242,300370,300157,,167,914,5359,758,205,2,178,189,292,910172
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",149759,170737,206255,202148,183521,225672,278210,272189,283119,281327,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
841199,"Parts of gas turbines, n.e.s.",377718,360222,349682,469895,305862,387779,336266,224993,135881,255256,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,807159,730129,583510,804203,545457,634998,572983,363410,239314,395754
100590,Maize (excluding seed for sowing),127967,124656,260840,232298,136162,238617,317042,121760,155550,228359,,9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035,,622580,678242,677903,531069,314824,524586,639848,715094,653865,799417
120190,"Soya beans, whether or not broken (excluding seed for sowing)",143528,79545,153064,93679,89948,126459,85558,101277,114068,123536,,24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041,,337938,332456,355442,311722,234917,282031,222452,261607,259604,426972
281820,Aluminium oxide (excluding artificial corundum),3177,29162,17004,48972,42637,19880,30177,37618,71070,109637,,764384,889509,883857,842684,502761,350128,324526,317777,292909,273081,,32890,202205,493246,250845,88063,76936,63400,106695,116921,150724
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",135705,153131,185415,218506,136434,139828,201080,126742,94836,109036,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",105381,94723,69740,63268,45359,47792,60800,128178,73092,103763,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,194546,216485,212511,187429,122535,145974,182512,323236,230773,279466
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",54237,27,52275,87921,22141,142,1209,74639,48187,103625,,539726,389596,359121,271381,354020,348123,280726,247306,261164,410633,,78094,400,131645,108369,32299,15121,1793,75351,122617,113943
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",2183,2683,55,151,58630,136721,242148,188555,131471,99706,,1284448,1355925,1194538,1300344,1351261,1397707,1361480,1498891,1529936,1713267,,75548,94829,32625,20878,72733,156074,265149,275162,243925,214724
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",137077,180919,193979,163959,146068,124736,114350,106711,129195,97907,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",107610,120954,97620,86884,92733,99727,72101,97945,116562,92711,,1304322,1349590,1306547,1331551,1131622,1118360,1123902,1201356,1187672,1250993,,1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2060495,2840782,2453671,2439962,1787107,704802,571429,54300,166797,85580,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,6159843,7133006,7289675,7592075,5465671,3661032,2555471,289655,598300,393983
880390,"Parts of aircraft and spacecraft, n.e.s.",142823,93772,63137,102904,300409,65682,88932,91336,211209,84578,,413521,535688,581963,523383,353204,345209,696276,603784,500633,522919,,222565,226267,64593,129116,305857,73378,109784,105648,255471,159156
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",53332,94377,94778,140689,134120,62797,79221,92425,97530,84135,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",371115,310939,408199,375478,262470,197611,255282,314469,118184,82373,,6854847,6292146,6424973,4615603,2268912,1838672,2068254,2647622,1483018,1437649,,763273,753503,1080059,871226,639281,615730,751344,772633,322220,376479
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),202329,345760,116660,215725,111789,30157,20335,1523,28362,80023,,3085874,2679377,3211803,3034349,2309279,2033391,2010595,1876065,1702842,1676601,,543393,393320,141064,251642,122837,30794,29239,3863,32381,80040
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",26206,43088,47535,39073,39144,31611,40541,60708,62821,78275,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,227331,413109,505936,423717,277821,234810,352030,452574,454641,569852
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,95164,48396,40269,36648,24509,15853,17419,12424,54017,77795,,14818043,15281123,15842133,15699350,15501732,15525762,17741162,16202841,12433380,15620848,,393919,268516,259012,218154,118377,86952,108183,133169,159764,221864
890520,Floating or submersible drilling or production platforms,204854,412281,260609,76,44100,53365,12000,184086,13423,70000,,911959,39840,230221,716025,482826,40028,80600,111706,65413,15600,,1465903,1572929,1301971,312720,289986,400117,1590033,1452976,455831,851754
841391,"Parts of pumps for liquids, n.e.s.",46362,70584,69813,72036,61063,63882,73046,107183,99597,68310,,2619207,2617795,2654607,2334753,1997924,2172426,2341483,2257765,1984758,2083347,,256933,311179,331309,333002,279838,261359,299797,363901,365105,259167
890400,Tugs and pusher craft,0,77878,8529,17500,0,0,15645,48960,10000,65780,,8796,26075,43574,1411,1372,44452,3896,4328,1548,24598,,53606,276552,51905,104767,184044,16249,719683,987473,395739,707135
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,8244,6482,6484,2317,916,1663,671,9881,1898,64563,,638894,912751,920846,984147,1197184,1253675,1113761,1064707,1295396,1032301,,102281,135180,122669,16087,11524,14199,19732,58678,25255,138815
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",243632,108776,151051,104172,85889,133163,143932,152618,91795,62573,,762924,765696,833149,877194,928020,915559,945656,800856,715039,783380,,435440,349040,388366,322283,140716,217780,258357,303534,174922,168005
842121,Machinery and apparatus for filtering or purifying water,24251,26337,30201,35816,26061,18479,24804,23590,20848,61834,,1160669,1206652,1332589,1329083,1084275,1051395,1066896,1071144,1034171,1151603,,152963,154443,152137,170222,149275,108528,125979,140428,134447,242355
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",59379,63280,56197,64703,56324,78283,73848,91999,92144,58765,,1164900,1069270,887867,635652,433115,349531,368269,409735,321492,321039,,122980,118779,155613,131398,213099,186612,195358,249768,226604,148277
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",46745,60694,110355,98891,91540,84248,81535,104359,63410,54455,,1143180,1134138,1079373,691846,522818,589948,614988,613109,450413,499632,,102553,127397,205543,193962,163962,128412,163304,176698,116035,112094
847890,"Parts of machinery for preparing or making up tobacco, n.e.s.",0,611,193,168,154,249,262,14304,69595,51994,,23557,32411,26960,36649,40249,30109,22071,24920,20246,21420,,0,1619,681,866,1227,2424,1006,25427,99407,87685
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2449776,1583756,880093,1053526,931033,892889,527481,322304,96979,50620,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,8520238,7332116,7255985,7870267,6131567,4450822,3071811,834901,681421,288436
