Product code,Product label,Saudi Arabia's imports from Viet Nam-Value in 2012,Saudi Arabia's imports from Viet Nam-Value in 2013,Saudi Arabia's imports from Viet Nam-Value in 2014,Saudi Arabia's imports from Viet Nam-Value in 2015,Saudi Arabia's imports from Viet Nam-Value in 2016,Saudi Arabia's imports from Viet Nam-Value in 2017,Saudi Arabia's imports from Viet Nam-Value in 2018,Saudi Arabia's imports from Viet Nam-Value in 2019,Saudi Arabia's imports from Viet Nam-Value in 2020,Saudi Arabia's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,1307592,2176067,2649098,2979551,1813863,1758949,1584779,1588639,1202075,1451193,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",787400,1599766,1903485,2308715,1247740,1164592,984167,845463,495416,570351,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,4311388,5528720,5482563,6008561,3909241,4863530,4765887,5075693,4031153,5002542
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",3701,6763,7747,16799,24599,26633,20486,27583,32584,78290,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,38925,34948,52999,69308,77283,74038,64016,77377,85818,198485
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",262,1084,424,1295,2694,7764,17446,25958,42644,64124,,111926,153236,178537,188256,283180,431639,695244,1194169,1748997,4426010,,155717,162645,190451,210184,224116,258839,242171,292239,296692,411016
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",13470,34,719,752,418,825,656,13551,32912,39956,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,577,1056,1516,8672,25533,35314,31639,38613,27488,26501,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,47432,54885,68410,125552,176441,154783,160971,183601,110603,84299
80132,"Fresh or dried cashew nuts, shelled",1435,1849,1203,3139,4408,1981,5279,5881,10426,25214,,1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469,,31691,29260,31032,37308,42176,34467,52344,54481,47184,64704
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",0,322,89,0,3485,6414,5294,11689,14937,22144,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,37507,30697,34164,42700,50563,65921,134969,190612,148877,121705
940350,Wooden furniture for bedrooms (excluding seats),3608,3806,5416,7074,9470,12495,10491,16134,13356,20799,,900200,1002600,1060964,1014195,1088113,1186412,1219627,1325972,1363822,2926426,,229008,237454,306417,359329,214327,169430,167547,241034,206679,252299
851718,Telephone sets (excluding line telephone sets with cordless handsets and telephones for cellular ...,95875,10450,20731,16672,1376,2679,4524,1674,2040,19178,,60390,2218,1000,72663,1925,3734,2534,2214,2662,45259,,545908,207253,124069,135625,32288,53065,85839,61624,54247,52071
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",3722,3019,5088,8875,8446,8338,12757,17182,21042,17592,,3465298,2816412,2852873,2620651,2039764,2443631,2461880,2163697,2360612,1706248,,1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",218,39,393,493,87,369,4023,6249,8798,14815,,14708,18474,20499,29136,73829,165831,210419,249338,274310,792751,,352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",0,0,38,0,558,0,313,740,4657,13123,,24344,30845,42196,44116,39026,40838,39197,40152,31658,68726,,761,265,403,851,10976,1775,3270,8656,42370,67214
90411,"Pepper of the genus Piper, neither crushed nor ground",6499,5825,9169,13994,10652,10333,6259,5848,5180,12548,,687624,765277,1023290,1089612,1233929,961993,602448,566099,510855,580531,,9055,8549,10721,18691,14340,13263,9695,10079,9704,18568
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",7149,4069,4089,12027,11255,5817,5442,8249,7451,12438,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,42993,48778,59744,60565,60897,49293,42508,53816,50419,73616
847050,Cash registers incorporating a calculating device,51,1554,1508,6651,2087,6330,2363,3671,11402,11326,,4,326,9,4,51,13854,33326,42117,76020,542346,,12077,10241,10696,32958,19181,25853,17229,26803,61430,85483
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",729,6525,1237,5319,9863,11953,17934,20331,18540,11195,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,35419,68503,80620,93070,67479,65038,70871,82676,67303,64874
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",54,0,110,0,214,147,809,461,1881,9877,,41181,42192,53769,56217,48889,59252,59606,75168,98790,187530,,88791,123765,138172,208515,204783,184942,189195,217520,172473,198718
