Product code,Product label,Singapore's imports from Australia-Value in 2012,Singapore's imports from Australia-Value in 2013,Singapore's imports from Australia-Value in 2014,Singapore's imports from Australia-Value in 2015,Singapore's imports from Australia-Value in 2016,Singapore's imports from Australia-Value in 2017,Singapore's imports from Australia-Value in 2018,Singapore's imports from Australia-Value in 2019,Singapore's imports from Australia-Value in 2020,Singapore's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,5520879,5375073,7832796,3213043,2918210,4082971,5463847,6257457,4721304,7245161,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",626605,1230886,3157416,8157,14,987935,1299133,1597684,954428,2014555,,15141407,12938150,11889298,10709989,13390949,12999194,13986349,16124214,15983700,15003130,,7398625,15735286,12290283,533831,714225,11793332,12188693,8528482,15256771,12831051
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",1450444,668352,1312004,438575,190783,265623,753398,1419835,688812,1445187,,11349993,8767731,9712073,4674961,3600939,4030615,5943795,6466832,4415758,7495954,,39879315,35538674,34326201,18204612,15060191,21405724,27968565,24224539,14385067,22675673
271111,"Natural gas, liquefied",0,0,0,270294,428483,624469,1110142,828050,674961,1337401,,14676410,14824997,16451316,12582034,13559824,19937263,31970665,35167504,26312442,36957140,,17680,92187,1489205,974131,783101,1244512,1729804,1594940,1143071,2250025
150290,"Fats of bovine animals, sheep or goats (excluding tallow, oleostearin and oleo-oil)",125,134,148,107,179,132,199,160,221691,270082,,3188,3243,2110,3721,1409,1540,2726,5095,5711,15604,,131,134,148,108,179,136,205,262,477562,604335
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",554301,385143,326675,154855,86630,125969,204063,158474,342499,244504,,2477132,2005445,1927252,1300465,1372687,1470569,1856943,1413859,1283906,1956440,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",138727,130784,143685,54707,12953,63413,106431,135031,103396,186879,,885002,635569,593699,245048,243764,354622,435127,372167,260424,344664,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",51502,46870,57641,48340,47584,55788,69718,73706,73180,140230,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,228654,248617,266176,216173,206649,232244,289811,273532,273597,443741
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",110153,104267,56856,60116,72198,48020,57023,55201,63191,64323,,878744,1097308,1169065,1232546,1191811,1353728,1351843,1384141,1110680,866953,,5235287,5022570,4217285,4381924,5060008,5920649,7069759,7515708,4815695,4599831
20130,"Fresh or chilled bovine meat, boneless",33865,33394,37076,39658,42972,45671,49184,48268,53932,58836,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,61628,63916,68738,72248,75901,84785,92945,88831,90437,106606
