Product code,Product label,Singapore's imports from China-Value in 2012,Singapore's imports from China-Value in 2013,Singapore's imports from China-Value in 2014,Singapore's imports from China-Value in 2015,Singapore's imports from China-Value in 2016,Singapore's imports from China-Value in 2017,Singapore's imports from China-Value in 2018,Singapore's imports from China-Value in 2019,Singapore's imports from China-Value in 2020,Singapore's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,39691552,43967503,44447979,42139396,40419457,45313489,49692881,49037427,47396083,54649678,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",2634309,2921535,3252214,3630437,3661440,4217459,3910028,4222443,3866709,4249760,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,6046163,5860819,5021639,5043594,4675709,4982981,4872391,5021375,4494629,4948929
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",3090717,4235106,3595371,2895972,3124152,4310619,4322670,3387057,3251453,4200654,,7507618,17754192,14007051,14391300,9410901,7967090,9251060,11271565,17743826,20711290,,38127931,37045317,34747533,33084405,36177499,39506995,39537178,33443614,34574396,39820777
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2255878,3329521,3545164,2218296,2479812,3902338,5564270,5830850,3670298,3914356,,3249872,5015849,5178184,3516898,4220514,5744624,8441949,9457625,6402481,7880630,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",2443874,2038019,1803672,1885957,1557917,1677207,1721384,1714127,2014001,2756402,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,2715151,2286796,2049821,2116711,1738126,1817311,1824985,1807007,2117912,2901987
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",713825,1259105,1728721,1678619,757515,1055789,1264431,1216882,2171282,2337738,,27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922,,10127466,15519644,15882763,13281866,11392067,11588707,11557479,12638712,19324754,29917531
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",935721,1040519,975479,1085360,1221945,1350128,1512135,1400240,1623654,1845494,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,2422499,2439595,2327828,2334038,2633310,2917678,3170534,3367706,4174947,4563970
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",310487,352439,307061,401070,470595,660120,1464310,2069475,2011470,1770485,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,855439,769407,815004,825515,799065,1013888,1774216,2663059,2664601,2356525
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,2183115,2120866,2260655,2065616,1774972,2322603,2199584,1891200,1698296,1545671,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,6108184,5602044,5239490,4732478,4262698,4871556,4903298,5647645,5311899,4788830
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",176217,222439,194471,232775,298441,491228,1011727,1328283,1849625,1258134,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,656443,746162,721625,771143,964425,1262131,2095864,2335704,3004130,2527747
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",247348,784515,1193055,1291259,1231569,916863,770088,1472129,1229387,1031617,,18066308,19488962,20552135,15560518,15147123,19758821,27309997,28887569,19071132,22162522,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,99914,78789,217365,250475,397325,335539,324829,271914,421002,721524,,452494,466650,490913,550132,744403,1039628,1356855,1089797,1243950,1689293,,1392644,1344025,1297631,1488246,2210377,2464860,2770746,2452341,2725191,3837167
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",28947,27276,13601,15580,9363,10109,18391,39854,157300,495490,,543519,631661,662524,888867,927284,911187,1096229,1169958,1302842,1351545,,73846,106456,87764,30081,79084,250186,571135,868763,1257318,1526429
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),261709,315981,311204,222087,251721,305165,431710,419134,399697,464500,,2541808,4121556,3083793,3224546,3141353,3201159,3542204,3827190,4612890,5603617,,1571841,1708998,1797377,1611244,1331882,1398432,1703334,1690366,1710925,2306996
850440,Static converters,335657,319053,340759,360350,388320,351907,353217,364021,344908,458178,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,881366,856497,814701,895629,939902,1013836,1003992,951792,956162,1117216
854232,Electronic integrated circuits as memories,209989,519397,240043,197534,186946,415034,484172,340943,500740,450055,,14374599,17692084,17566232,21566607,23241587,29621004,43966741,52446486,55864236,68017077,,2017852,3005825,3601810,2950612,2522311,5100834,9034107,10629779,12329204,16925552
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",208438,294003,112126,137062,195265,738250,800776,175011,324917,436803,,4355967,3306349,3277201,3399893,2785190,2027043,2087114,2282225,2092699,1982517,,321945,462750,288808,376899,498136,1178725,1199843,729002,1060810,1433940
854290,"Parts of electronic integrated circuits, n.e.s.",344014,484101,578420,547974,641805,360461,302962,141411,224402,435159,,310987,316904,347750,339489,272441,327168,403513,526483,496641,1840624,,3492302,3491527,3788795,3463894,2968745,2205275,2060387,1616201,2442639,2925658
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",538228,466394,542442,469804,402887,436507,437760,408382,345616,402717,,8058635,8158025,8286053,7670326,7080116,7010502,6813843,6433177,5529963,5721194,,2553062,2156414,2212025,2355571,2278218,2550419,2514779,2183872,2799322,4125574
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",245557,297581,325021,297012,292978,315814,329907,284380,269745,400710,,5449329,5378489,6075938,5821058,6061795,6548445,7208625,7508649,7795124,9267005,,1469493,1353525,1439711,1309489,1200707,1305879,1384861,1157085,1049046,1333739
999999,Commodities not elsewhere specified,266742,234115,501906,674955,664308,145772,182466,217212,321506,392577,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
847170,Storage units for automatic data-processing machines,559127,520509,660938,767183,542083,793486,710811,607199,364477,362631,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,2036458,1919414,1953908,1979342,1536879,1854173,1496705,1565024,1373588,1431449
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",97277,129244,134677,286380,206969,224688,258291,224477,165382,307024,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,728636,838377,967621,1391527,1250264,1064110,1185708,1027130,1028223,1426874
853400,Printed circuits,251884,209393,197984,186020,194957,175919,177617,174140,204399,302263,,13739259,13347306,13837881,14134098,12910074,13972709,15270708,14653143,15105857,18916641,,822763,750782,726454,636744,587696,597727,673543,638617,835161,985036
