Product code,Product label,Singapore's imports from India-Value in 2012,Singapore's imports from India-Value in 2013,Singapore's imports from India-Value in 2014,Singapore's imports from India-Value in 2015,Singapore's imports from India-Value in 2016,Singapore's imports from India-Value in 2017,Singapore's imports from India-Value in 2018,Singapore's imports from India-Value in 2019,Singapore's imports from India-Value in 2020,Singapore's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,12974298,9123349,8276579,5765530,5894695,7268239,7270269,6367346,5180220,7368079,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",3560581,2532671,2702199,1115416,1740491,2866270,3064097,1525559,1428775,1826867,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",5688936,3397956,2554950,1818282,1109581,1263800,839541,1162494,662343,1140069,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",395043,410027,432160,226380,306381,342559,462480,461621,234422,669096,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,4032176,3835532,3663660,3109129,3125516,2564618,2791383,2986029,2112550,3044173
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",1327,3262,368,22649,18145,13102,7387,11898,141891,201619,,456742,446904,410764,628142,375655,806728,692626,514416,651988,805470,,15418,21103,46786,37476,31796,27273,12808,36954,241600,212729
730840,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",874,386,735,1164,615,623,3459,3612,461,133099,,112115,123440,145130,213803,171905,185371,211044,203686,150717,225540,,322504,345920,211531,177528,84787,57962,57540,70157,55770,190224
721310,"Bars and rods, hot-rolled, in irregularly wound coils of iron or non-alloy steel, with indentations, ...",1,2,0,0,0,2642,4273,0,0,102484,,3025,6248,3072,3313,1503,847,3085,95,1338,7924,,303108,239970,147000,143963,41283,46560,57099,76860,53332,456113
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",177969,185015,217597,135263,113569,96000,142107,130290,65707,102025,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,601986,738168,782417,575008,577862,467821,570782,484859,173598,281569
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",47256,51974,52552,50158,57851,70026,69328,78487,92125,85457,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,1123216,1200528,1146604,1108690,1205119,1432288,1409065,1433788,1596252,1471306
841191,"Parts of turbojets or turbopropellers, n.e.s.",723,2778,2955,1904,26408,13785,7966,125356,31289,80895,,7309,11135,13681,12141,28750,51633,127959,136473,64612,83763,,4466914,5756528,5373006,4765011,5516715,6299087,8962304,11083992,7352779,7481911
760110,"Aluminium, not alloyed, unwrought",13361,11474,19106,58210,42441,114448,50148,173474,318833,76923,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,173593,48479,88035,238430,96495,163933,139392,321108,467005,80092
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",4704,5337,7759,12167,12859,16122,27965,27959,22701,76334,,241957,339044,439100,431308,503140,659179,777533,933225,879554,837563,,907456,849572,573221,508588,741617,917583,1054413,1333900,1325377,1606049
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",65,1536,37,23718,189153,214280,225898,132732,46449,73084,,1531591,1837578,1586424,1307165,1575880,1763669,1394273,1232695,538590,882919,,26421,226892,1018843,728231,1042060,884297,934651,684958,654693,766875
740311,"Copper, refined, in the form of cathodes and sections of cathodes",9835,194,0,133050,302139,203899,20657,450,0,70917,,2221632,2334134,2578064,1925826,1493714,2426301,827503,223913,132944,850759,,302972,6515,49534,212021,1055356,531873,161377,73655,60227,206667
