Product code,Product label,Singapore's imports from Japan-Value in 2012,Singapore's imports from Japan-Value in 2013,Singapore's imports from Japan-Value in 2014,Singapore's imports from Japan-Value in 2015,Singapore's imports from Japan-Value in 2016,Singapore's imports from Japan-Value in 2017,Singapore's imports from Japan-Value in 2018,Singapore's imports from Japan-Value in 2019,Singapore's imports from Japan-Value in 2020,Singapore's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,23976134,20711820,20368653,18597498,19866746,20471052,22175352,19373703,18118609,21819549,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",1029407,884661,747290,368169,342818,1978218,1870712,1222021,1813955,1868922,,1921294,1279150,1186511,961815,964088,1065141,1050982,1054340,1334483,1619299,,7398625,15735286,12290283,533831,714225,11793332,12188693,8528482,15256771,12831051
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",399689,363191,389828,329001,300855,180810,196531,212306,1068971,1338647,,6300567,5070097,4928240,3922028,3839023,3956388,3488007,3137388,2773698,3354625,,10127466,15519644,15882763,13281866,11392067,11588707,11557479,12638712,19324754,29917531
854232,Electronic integrated circuits as memories,271418,175777,530048,369689,389302,507960,966211,788138,930196,1074016,,9240760,9210557,8403707,8399015,9008034,9738748,11603779,11054866,12247102,14692935,,2017852,3005825,3601810,2950612,2522311,5100834,9034107,10629779,12329204,16925552
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2770584,2215941,1833615,1141401,573568,727791,724777,456980,471848,747408,,10748957,13262388,11429126,8131501,6527682,7194643,8637671,9427105,4684624,5619135,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",138732,143343,142544,114914,150284,194901,319231,398035,475518,677633,,1029267,917389,909272,1096436,1586677,2164437,3301627,3870775,4803433,5660184,,982433,1163248,1170437,1093733,1313503,1592648,2084707,2413583,2422623,2642808
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,102067,166134,172161,175914,380644,354476,469826,336588,303094,631018,,7497650,6085122,6342768,5998193,8094983,10313863,11588292,11601008,12020146,18388126,,603204,618570,776729,775939,1673399,1398241,1738269,1309198,1832903,2868121
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,206640,201310,215675,209363,342906,321428,554364,436119,381352,525369,,3309305,2946655,3181004,3154275,4398921,5689336,5689802,5029592,6058813,6264001,,1392644,1344025,1297631,1488246,2210377,2464860,2770746,2452341,2725191,3837167
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",139996,147253,140699,158244,148990,175970,262164,339326,357855,494390,,547925,490360,488902,493834,535828,527544,614850,623246,689877,887929,,855241,787088,950178,1004962,1181821,1255190,1835753,1442325,1182363,1070132
999999,Commodities not elsewhere specified,437346,370758,431403,403878,421853,418940,471805,493931,489899,493451,,35510098,35791397,35844356,37085260,38221709,44060363,45598508,44943815,41066512,50409214,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",1088387,961203,890024,806249,625482,634041,615504,487796,392109,481319,,11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707,,2553062,2156414,2212025,2355571,2278218,2550419,2514779,2183872,2799322,4125574
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1406658,1031142,911774,1436456,3188353,1602696,2255492,2188666,548106,440312,,11616770,10094836,9824469,9060572,9062482,10815125,10812400,11523918,11186084,12182276,,38127931,37045317,34747533,33084405,36177499,39506995,39537178,33443614,34574396,39820777
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",232785,221593,213373,202664,170925,239820,325192,302075,343978,419267,,2996387,2580708,2730727,2605747,2634309,3084935,3926841,4019308,4033920,4585284,,1799832,1349398,1229680,1074420,1317220,1826491,1962134,1605801,1401879,1557441
