Product code,Product label,"Singapore's imports from Korea, Republic of-Value in 2012","Singapore's imports from Korea, Republic of-Value in 2013","Singapore's imports from Korea, Republic of-Value in 2014","Singapore's imports from Korea, Republic of-Value in 2015","Singapore's imports from Korea, Republic of-Value in 2016","Singapore's imports from Korea, Republic of-Value in 2017","Singapore's imports from Korea, Republic of-Value in 2018","Singapore's imports from Korea, Republic of-Value in 2019","Singapore's imports from Korea, Republic of-Value in 2020","Singapore's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,25931350,24108405,21822061,18210634,16998159,16169746,14209551,13702419,15554855,22210776,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1675908,4846883,3680895,3508272,3413905,3271557,1477500,1317183,3620952,6965456,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,10127466,15519644,15882763,13281866,11392067,11588707,11557479,12638712,19324754,29917531
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",8850844,6150662,5153225,6459596,7205539,6491728,5227692,3870295,3380316,2737297,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,38127931,37045317,34747533,33084405,36177499,39506995,39537178,33443614,34574396,39820777
854233,Electronic integrated circuits as amplifiers,3247,1554,1727,3028,3723,8897,309682,707964,1629944,2675791,,18592,43815,63985,45732,38581,47036,50734,81688,105722,211039,,303465,317761,321459,278957,323398,770405,1728399,2236167,3051087,4908681
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",5566556,5252577,5542481,2839038,1889401,2022814,1958911,2232673,1179610,1862663,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2004810,2129839,2530136,1085486,620581,467572,829185,787429,534344,1603502,,11188536,11694588,11293259,7885765,6528666,8198633,10740635,9477784,5321034,10841241,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,65391,126225,87361,105023,74560,135026,155279,149806,144315,426021,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,6108184,5602044,5239490,4732478,4262698,4871556,4903298,5647645,5311899,4788830
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",1944,1552,6110,1190,2147,1883,1251,1861,11585,406839,,153117,183125,216800,230823,269492,404757,422980,253454,2173694,2046666,,273552,338128,379127,347110,367870,500910,675782,554301,697365,1232127
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",2407,9040,2128,5738,11283,20673,28479,65208,302651,379889,,678290,815548,927050,1038905,1093344,1446489,1244358,1173697,929527,1044775,,182692,173164,230088,252203,252153,295657,594472,710840,1328271,1994785
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,17947,13612,13505,21630,27347,85860,28906,49512,180287,335420,,544208,854869,1121897,1231861,684594,748267,1096304,2020657,1876984,2936715,,603204,618570,776729,775939,1673399,1398241,1738269,1309198,1832903,2868121
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",2479,5248,3765,10644,15430,21608,24015,56150,143989,317490,,776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352,,321945,462750,288808,376899,498136,1178725,1199843,729002,1060810,1433940
999999,Commodities not elsewhere specified,192770,182956,191996,219809,192356,159596,239082,241811,232544,271002,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
854232,Electronic integrated circuits as memories,353977,505150,495115,303726,175579,284703,252430,112806,206514,228839,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,2017852,3005825,3601810,2950612,2522311,5100834,9034107,10629779,12329204,16925552
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,49126,62745,48443,42432,65076,82867,137647,191931,107500,197032,,636714,826821,888093,948984,1121445,1717185,1900887,1898887,2189649,2789135,,1392644,1344025,1297631,1488246,2210377,2464860,2770746,2452341,2725191,3837167
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",22832,27925,33630,45926,97358,131803,188983,185097,194940,166800,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,982433,1163248,1170437,1093733,1313503,1592648,2084707,2413583,2422623,2642808
854290,"Parts of electronic integrated circuits, n.e.s.",368980,379638,284602,246264,199743,119465,106755,89995,133124,157098,,212004,213642,241482,210445,223042,263197,287985,254192,280823,401285,,3492302,3491527,3788795,3463894,2968745,2205275,2060387,1616201,2442639,2925658
853400,Printed circuits,68150,65540,54862,54364,52452,72894,98541,73598,115557,149679,,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358,,822763,750782,726454,636744,587696,597727,673543,638617,835161,985036
850490,"Parts of electrical transformers and inductors, n.e.s.",1514,5879,1669,2311,3857,10278,41082,67630,76687,80624,,415347,441478,422996,387911,375763,411309,449952,425981,487208,571560,,231416,219031,198453,191369,187787,204314,218273,264182,306692,387981
848640,Machines and apparatus specified in Note?9 C to chapter 84,3876,9633,10480,60039,44285,49154,30557,31342,81000,77286,,331266,524499,647403,871291,871736,1187286,1724458,1301317,1520465,1550502,,188953,169799,180764,213333,256124,414612,482870,346148,496157,819263
847990,"Parts of machines and mechanical appliances, n.e.s.",21999,25785,14862,21538,33306,42279,33910,39002,49488,66648,,1594688,1724447,1871142,1877396,1494806,1560913,1604088,1370386,1241180,1239912,,1163247,1213267,1108630,962742,905282,987185,877797,965347,870378,999715
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",349753,113534,50162,62313,44636,50252,52670,54207,59554,63260,,940083,853307,750715,647851,633800,691605,1297221,972899,922276,1071559,,1799832,1349398,1229680,1074420,1317220,1826491,1962134,1605801,1401879,1557441
240220,"Cigarettes, containing tobacco",16915,56167,67172,64102,40297,28442,28197,29283,18204,59652,,606382,525034,669060,886814,981578,1125560,792282,717394,816423,679880,,622017,642787,678250,696726,760671,785017,838456,787352,523423,570953
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",20952,17632,20810,31643,29612,40391,51864,54582,62506,58354,,1059662,1118919,1348498,1436157,1405816,1409264,1525882,1892220,1621161,1569849,,689306,918603,740795,636573,632269,669077,794644,709145,646981,685750
841191,"Parts of turbojets or turbopropellers, n.e.s.",4836,3259,11536,9266,11601,18824,40151,90997,67826,58007,,165142,178745,186332,173884,150613,172090,194203,233712,195107,214599,,4466914,5756528,5373006,4765011,5516715,6299087,8962304,11083992,7352779,7481911
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",39921,34353,26617,24178,28662,24406,47804,61272,37170,56620,,34479,139878,59694,123436,123139,137615,122289,202843,488677,422476,,287909,325078,228167,177603,122096,134173,214098,239739,309934,595360
390220,"Polyisobutylene, in primary forms",70742,78066,76412,62994,60333,70755,86370,45780,30475,52052,,243975,281169,287110,232033,223395,252709,298410,244727,199710,311319,,132513,139028,169548,129361,109597,136966,142870,133220,103509,143250
854150,"Semiconductor devices, n.e.s.",3456,1354,3429,5899,10706,6175,6646,17045,60034,51928,,77352,106559,158013,172876,213342,228057,227993,242839,291512,293683,,281171,432100,359430,193861,236268,147522,158600,231263,201222,198999
220710,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%",0,1,1233,3,0,0,3579,3920,0,45914,,10181,405,1601,29349,14760,15911,28936,35308,24470,18601,,60707,68941,68604,53964,49579,50688,41767,46442,38090,71202
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",72224,63252,38734,28693,31889,46423,45541,72181,29080,41053,,1952554,1898654,1772824,1446687,1375704,1783597,2145463,1728189,1418992,1860518,,1436204,1399445,1019884,892421,943311,1102710,743680,604928,421621,523517
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),23049,36767,71110,69934,55842,66207,84145,69387,37598,39860,,211342,314557,407910,372655,432831,495855,631745,663178,670712,737840,,1571841,1708998,1797377,1611244,1331882,1398432,1703334,1690366,1710925,2306996
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,32133,51747,21865,39525,,0,0,0,0,0,482308,709433,939425,703974,1339762,,0,0,0,0,0,0,253630,488981,221069,299153
847989,"Machines and mechanical appliances, n.e.s.",35598,18200,26730,24670,20519,19628,12229,56985,9994,38801,,2885058,2913242,2735341,2971663,2873560,4006139,4403714,4265427,3103044,3450099,,759158,585962,539417,481101,467032,520374,628941,737023,712519,1007466
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",1869,2495,5232,2273,761,4498,25856,11528,19215,33768,,751346,652252,924803,623394,512492,589470,710466,543640,594628,682593,,84592,93990,118040,94573,71558,69919,109861,144076,99832,172832
281290,Halides and halide oxides of non-metals (excluding chlorides and chloride oxides),9307,10480,10102,10402,14485,25103,16259,20158,22425,33474,,107105,93291,93907,122555,152374,174288,190601,177858,187003,188697,,21955,22505,22506,26821,33743,42763,37693,36533,35431,45643
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",50918,55945,18754,9851,8088,10732,15117,21046,22146,31771,,713596,818509,802630,808049,703386,920309,1125920,1063452,1141967,1327971,,311770,346482,264890,228045,262220,290543,564486,427861,534104,774067
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",313688,85073,235560,0,0,54614,63474,168080,513875,31183,,498757,389305,367930,366924,579755,380677,335858,309118,928220,480320,,7398625,15735286,12290283,533831,714225,11793332,12188693,8528482,15256771,12831051
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",9603,9611,11877,10623,18586,22103,10232,10799,9847,30261,,382420,390464,497543,498535,510689,540387,559775,579963,499846,719015,,1092661,1446556,1524900,1375932,1395114,1329135,1328190,1384078,1686132,1194343
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",32907,36966,39852,35072,30886,32503,27629,31482,18884,27564,,13950047,13615519,12852976,11857484,9654598,8788530,8570782,8681574,7312171,8714846,,1073498,992753,1326342,1159549,1072150,1019347,1353398,1365992,1007963,951264
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",39988,37373,26977,30356,37357,17879,15029,15333,16240,27075,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,705981,704108,810674,678342,682914,588932,702353,750230,829260,911871
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",30358,26764,26996,28342,32985,21492,10131,21921,22790,26643,,835448,776216,819580,761683,807437,735153,863103,831505,888394,985886,,349506,404234,373461,288861,287166,278911,315846,326784,310436,456454
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",10765,16052,6296,14262,23636,64060,25806,39044,27137,24982,,869775,1076934,1328335,1584607,1548351,1575833,1699891,1796971,1022655,880922,,5235287,5022570,4217285,4381924,5060008,5920649,7069759,7515708,4815695,4599831
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",21626,25415,23559,19983,21105,19125,19686,16003,18167,24828,,314995,462481,487807,562262,706465,719313,800974,853853,954038,1145050,,1469493,1353525,1439711,1309489,1200707,1305879,1384861,1157085,1049046,1333739
841410,Vacuum pumps,1435,4465,8021,9006,10909,14482,18470,15347,16726,21815,,192602,291358,283368,308417,327227,377785,459127,428060,366244,443500,,69494,77656,89528,122031,191500,128819,135155,123421,133752,155154
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",28164,34856,8966,29188,19732,19966,7929,10818,9518,21481,,414970,494628,575686,339949,333169,486687,475078,403306,344316,432923,,40482,54474,17935,56410,86390,82859,59728,84636,53297,201142
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,10399,11039,8801,5463,4831,4406,4319,6184,11989,21367,,255291,284803,341221,314122,264300,324001,398827,335981,410392,415293,,583945,548373,512239,441867,502109,493093,515041,546775,744008,810945
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",5401,3548,5240,3968,3700,7272,20660,15693,16137,20610,,2701856,4163027,3583937,2762632,706472,734940,969440,1022525,1157688,1172054,,328537,334787,287261,239294,257205,264535,396621,448033,420106,732376
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,939,1457,8965,20124,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,0,404186,393936,469931,588792
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",5014,4587,2153,3210,2872,1177,1254,9555,17583,20072,,548847,595585,681978,607443,838276,736285,802075,725393,702728,697847,,230210,200295,166404,226998,245638,279682,336820,321035,324269,440262
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",30897,46951,67690,21566,19683,14975,16147,13125,19392,20024,,7212942,10745179,13150064,17612803,14750059,6546331,6848687,12163895,12840863,15965206,,855439,769407,815004,825515,799065,1013888,1774216,2663059,2664601,2356525
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",1159,866,704,973,623,429,309,1862,13253,19667,,87630,77024,79541,74765,98550,86624,73920,76801,98539,78485,,78260,84772,81232,68754,70518,71812,75111,83446,111709,111422
381129,Prepared additives for oil lubricants not containing petroleum oil or bituminous mineral oil,513,136,141,57,48,719,0,1,7805,19652,,2054,2029,3112,3080,8236,16833,58898,49878,48369,65713,,92658,69791,80151,60645,55085,61667,37899,26669,39757,71763
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",40467,29437,12293,24862,1971,705,7867,8272,46658,19347,,880895,639092,821758,876921,832902,597072,549326,531401,663012,510817,,254946,157357,180842,167233,196802,145230,217471,210541,231729,241362
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",0,0,54,413,346,466,296,7266,17926,18922,,203347,115953,100638,77453,164101,221682,192305,139272,133467,285006,,2675,13757,15467,29055,51447,29676,30446,121632,112858,157464
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",37723,40826,34319,33867,94736,19077,17471,44416,7283,18717,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,415262,459603,493058,422125,689984,378466,304099,431124,569046,474902
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),10687,10286,12238,11987,8952,8696,9208,9708,13722,18248,,873686,1066350,1010287,994320,1058901,1227813,1169204,1173518,1179754,1304071,,307991,282093,301089,259114,248092,272411,306790,315800,364461,498434
210690,"Food preparations, n.e.s.",5935,5563,1748,4362,7050,6749,7365,11604,15907,18051,,491360,551106,590458,596362,667768,774033,842998,773316,581173,722695,,349771,452092,445813,440019,375695,364467,490716,609801,648132,750724
850760,Lithium-ion accumulators (excluding spent),226,761,1910,4444,7295,6374,10952,6030,10802,17987,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,57961,179216,153567,139910,128827,107240,194200,179619,226845,281634
847170,Storage units for automatic data-processing machines,32549,27877,28734,22740,16242,29742,30513,9246,7196,17075,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,2036458,1919414,1953908,1979342,1536879,1854173,1496705,1565024,1373588,1431449
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",40146,36917,40915,30016,16983,24582,29543,26907,17438,17056,,668122,663561,726809,546779,497576,509775,529020,490421,401629,463775,,208605,241280,224739,157952,106287,78251,95920,93718,71973,98100
261800,Granulated slag (slag sand) from the manufacture of iron or steel,12238,10857,6312,8132,610,0,8345,16609,9886,16854,,2713,5749,3658,4406,3305,4277,14369,20938,17278,16836,,45268,54591,54070,81300,55294,51896,51289,65614,42304,77658
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",23,240,519,632,16,22,11,20,2070,16545,,28679,30746,30863,24663,21872,20747,22324,21044,21648,22984,,16701,12260,14017,13709,10922,7712,6003,7608,5993,19033
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",43825,60756,37975,10866,9490,5826,24638,21225,12261,16394,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,493456,595970,432844,161731,119661,88100,245236,219491,130858,147361
730900,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...""",9842,6425,3083,830,1258,633,115,1316,2521,15285,,664298,495350,473399,401724,408468,261706,222855,234397,256090,211839,,61908,54538,64944,57567,44571,24858,30089,27354,45899,58553
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",282884,205661,169212,139622,50862,42586,28365,22825,24649,15147,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,6046163,5860819,5021639,5043594,4675709,4982981,4872391,5021375,4494629,4948929
81010,Fresh strawberries,8576,9955,11749,10693,10960,11889,11542,13647,14028,15039,,22441,28559,31608,32954,32466,42992,46402,52680,53005,63476,,22692,24452,28775,27433,28755,27937,28472,32125,33638,38150
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",15030,18262,11606,12285,8966,11938,9093,7279,9035,14447,,241568,404561,593659,399249,194572,257333,162651,196740,148015,176106,,1285716,1150454,1126206,1168453,1136041,1161612,1037901,1034137,986896,1321379
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",6021,8374,9151,8184,9163,8131,10160,8894,16185,14421,,366676,394729,439075,435289,502871,511729,514556,529897,674356,597346,,1123216,1200528,1146604,1108690,1205119,1432288,1409065,1433788,1596252,1471306
330410,Lip make-up preparations,956,331,947,2382,2319,3527,4699,5191,13799,14202,,13286,20139,33029,46295,86655,126182,148474,169327,162669,171149,,55041,75883,106550,143076,197511,357250,486659,488620,276563,238142
842959,"Self-propelled mechanical shovels, excavators and shovel loaders (excluding self-propelled ...",23929,23734,42058,31514,14931,20133,20024,15062,7792,13849,,2140,1616,2781,1567,1628,1051,201,826,2086,1566,,238453,122919,177250,173926,88050,151371,128018,79416,40377,66708
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",72,103,110,167,914,2264,3520,4419,7662,13791,,12792,11959,15222,27760,27962,29898,38480,49101,87389,106646,,36272,27046,25357,24163,29615,41010,54182,46090,46864,66566
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",8583,9721,14173,10920,10757,8641,9500,10752,9381,13728,,553545,410094,392407,283290,296809,259065,245467,196556,195147,212677,,308011,325836,293373,308676,301988,358428,311583,274765,161481,200639
291712,"Adipic acid, its salts and esters",18339,24347,23116,13805,5940,11054,10491,6812,5637,13718,,174358,147797,132515,90464,91574,111101,124233,84608,75688,120779,,90939,117151,108229,77594,69634,101808,99844,67456,53758,92897
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",10006,26439,2907,5521,2779,5455,9364,6567,9021,13569,,378258,258505,394846,229843,175450,160696,138028,149712,163548,192804,,131113,118144,107344,114002,87894,103082,107424,105719,99440,128952
740821,"Wire of copper-zinc base alloys """"brass""""""""",510,63,47,14,1529,957,581,1675,2689,13447,,64427,52140,51690,40258,29611,43371,35125,22177,19677,25958,,8853,7813,8428,5314,5338,4990,4738,5944,6189,19193
740710,"Bars, rods and profiles, of refined copper, n.e.s.",4979,5567,7893,2071,8639,9056,11185,3458,3325,12965,,42795,39452,37779,30370,22929,21966,27232,35165,29948,37867,,172778,119702,139623,96203,78064,91226,101223,50040,38654,79089
842121,Machinery and apparatus for filtering or purifying water,2944,3440,4041,4347,3123,2500,2983,8028,6197,12575,,257816,328355,378393,456196,495316,436373,561752,699968,696223,823151,,69316,72778,78291,113805,80570,71908,115970,77098,88677,107569
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",25771,15420,2214,9205,2195,2441,801,5124,15351,12516,,1092338,884201,681527,917843,748680,591286,506846,630220,653325,624926,,203777,188141,152995,166843,278959,167548,146838,119124,181676,180775
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",51707,39151,80905,121932,118823,68298,57603,45389,20847,12450,,27767857,27237499,27337065,24060624,22007933,19133730,19612091,19701460,15352522,16416185,,737743,732337,889242,997314,1155159,1039746,1043564,823237,436690,491977
292910,Isocyanates,85915,61633,20028,11825,9367,21364,26787,9302,6553,12430,,743174,721644,664782,514308,679108,1218596,1276642,620057,510184,795891,,167251,142782,70355,53030,54434,103550,123862,68152,38100,65467
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",522,548,705,3226,6288,7012,6887,5500,7117,12239,,733134,871884,785926,826434,821217,966088,1112527,1234654,1292991,1526255,,147116,100318,75535,68742,50221,62749,68999,55594,56447,116550
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",0,593,644,802,347,522,221,34426,18440,11637,,12237,10991,11151,10463,10665,9020,6871,7489,28853,32348,,5931,3974,16332,26636,83873,112767,126224,379461,588471,1046857
852580,"Television cameras, digital cameras and video camera recorders",8374,11550,11558,6737,12762,14254,15494,12592,10241,11486,,737977,635083,531680,1346823,2750793,1515526,763434,668081,674826,3448206,,1302958,1121103,954246,753061,619294,746818,726467,657970,536540,703569
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",7909,12826,7148,6333,8893,7275,10511,13680,10619,11419,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,703542,713575,669980,638833,671422,814241,855507,933778,876946,1015717
854110,Diodes (excluding photosensitive or light emitting diodes),14126,12172,5999,5874,7994,8392,11081,9558,7071,11254,,242199,261351,231541,206314,206381,274676,318215,297166,259093,309125,,451280,444943,438117,492021,465711,502099,554697,462318,413110,621831
