Product code,Product label,Singapore's imports from Russian Federation-Value in 2012,Singapore's imports from Russian Federation-Value in 2013,Singapore's imports from Russian Federation-Value in 2014,Singapore's imports from Russian Federation-Value in 2015,Singapore's imports from Russian Federation-Value in 2016,Singapore's imports from Russian Federation-Value in 2017,Singapore's imports from Russian Federation-Value in 2018,Singapore's imports from Russian Federation-Value in 2019,Singapore's imports from Russian Federation-Value in 2020,Singapore's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,4431566,5261681,7968225,5137701,2616046,4685588,5767594,4717969,1376623,3265713,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",3270002,3608617,5706181,4231402,2198946,3942332,4472543,3740763,1130305,1565215,,88245886,91776552,93595475,53088209,35192532,45335013,61357826,52726494,35405155,54277319,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",0,29037,37055,0,0,0,9441,0,3451,949888,,5588,2264,235,1792,228,260,137,208,94,636,,7398625,15735286,12290283,533831,714225,11793332,12188693,8528482,15256771,12831051
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",778004,1216217,972923,385313,252381,552640,981066,712089,77804,330521,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,39879315,35538674,34326201,18204612,15060191,21405724,27968565,24224539,14385067,22675673
750890,"Articles of nickel, n.e.s.",0,0,108,0,0,0,0,5,1,176790,,78006,72754,68023,31071,35509,29361,29748,32449,24675,42210,,28060,30995,27576,29464,43864,123764,58952,54977,53336,269927
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1,13006,250766,199493,48093,69461,140105,66302,11142,70232,,15377855,17638570,22212195,12524204,10759136,12909371,16750754,14160911,9954896,15688290,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
271111,"Natural gas, liquefied",0,0,0,0,0,0,0,0,0,28901,,4679063,5510958,5243511,4545762,2899797,3173802,5285983,7920048,6745828,7320221,,17680,92187,1489205,974131,783101,1244512,1729804,1594940,1143071,2250025
330720,Personal deodorants and antiperspirants,0,0,960,374,1335,1020,1110,4384,9507,19096,,47641,61595,50073,38998,53041,72283,71435,99734,118212,171401,,37011,36069,57820,50738,60626,65141,58998,64804,57603,77468
721923,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,18427,,2038,5214,1917,3281,1928,3572,6937,3736,4925,5605,,1862,2233,6043,7158,5433,1121,2015,2471,11605,38285
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",181,1151,6227,725,1115,3933,270,3356,8919,11747,,3663152,4105401,4478758,3105621,4266428,4183609,4360777,3257477,2852752,4058404,,26421,226892,1018843,728231,1042060,884297,934651,684958,654693,766875
711019,"Platinum, in semi-manufactured forms",0,421,0,0,0,0,0,0,5379,8039,,13748,17639,13253,14876,14063,35246,13852,15476,18290,41513,,106905,44176,137778,111078,131446,92690,92312,96520,128535,193369
740311,"Copper, refined, in the form of cathodes and sections of cathodes",0,0,0,0,47119,6314,0,0,22891,7510,,1851523,1554128,1896120,2816502,2357308,3418741,4042457,4031353,4529008,3693017,,302972,6515,49534,212021,1055356,531873,161377,73655,60227,206667
750210,"Nickel, not alloyed, unwrought",278174,323029,905256,244611,6819,6941,10477,93090,37908,6652,,3616122,3509001,3717120,2317412,1606591,1360799,1723263,1835907,1859215,787799,,671320,1008605,1724489,951205,297461,167481,63691,393568,304057,56740
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",0,0,0,0,369,3404,0,869,2811,6318,,3244,3440,912,832,4033,1533,2319,2424,1219,1149,,174236,145898,104582,93865,150900,64234,43934,79806,179266,161763
151211,Crude sunflower-seed or safflower oil,0,0,0,0,0,20,0,0,0,5793,,1300149,1045715,1027252,778330,1006328,1321692,1182803,1732076,1819475,2431389,,7042,2298,2835,4690,1080,3800,7129,5125,6868,8093
180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",2,0,1,0,0,0,1,0,0,4945,,182863,202959,216638,107549,106475,128030,142035,157431,144925,169089,,97453,106029,95593,81125,90946,96354,99280,89824,51950,65142
847990,"Parts of machines and mechanical appliances, n.e.s.",430,83,121,34,161,216,3079,2358,2873,4245,,9032,16789,52215,11635,9238,9993,8009,8230,19705,9587,,1163247,1213267,1108630,962742,905282,987185,877797,965347,870378,999715
280429,Rare gases (excluding argon),0,30,0,0,0,0,206,0,14,3926,,41921,34002,31453,35823,21581,23169,31217,37941,41307,58132,,26785,33119,38018,57734,45212,51840,58521,62539,69326,85232
