Product code,Product label,Singapore's imports from Saudi Arabia-Value in 2012,Singapore's imports from Saudi Arabia-Value in 2013,Singapore's imports from Saudi Arabia-Value in 2014,Singapore's imports from Saudi Arabia-Value in 2015,Singapore's imports from Saudi Arabia-Value in 2016,Singapore's imports from Saudi Arabia-Value in 2017,Singapore's imports from Saudi Arabia-Value in 2018,Singapore's imports from Saudi Arabia-Value in 2019,Singapore's imports from Saudi Arabia-Value in 2020,Singapore's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,17210513,12862428,14612860,7942325,8132819,9148635,12646226,8397823,5053343,6177249,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",10106478,6728273,7083752,3870376,4296031,3999160,5740309,2955052,1499387,2400709,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,39879315,35538674,34326201,18204612,15060191,21405724,27968565,24224539,14385067,22675673
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",848831,686316,793538,540003,614410,815463,1193163,1138960,715983,732071,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,1068693,856529,996829,690247,753549,966256,1375238,1278024,821079,861631
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",488929,658852,824013,449363,405435,834413,1315224,785778,531261,606083,,19361542,16654561,22949962,24020889,9738412,31705439,0,0,0,0,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2615910,2153337,2971584,1059529,1069152,1065229,1409871,788396,418913,520608,,3367498,2402657,2837271,35895,882970,3901,3457,0,0,0,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",587746,504630,517378,444725,511904,624747,635379,799061,530533,401298,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,779506,663857,686159,553248,570808,736470,768316,909444,628896,467066
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",673609,707182,901956,542978,394227,523690,572230,423790,317831,274118,,1347390,1406732,1572031,1038412,649220,845340,809144,847697,838182,794444,,1171933,1299461,1194658,719396,485692,715636,857095,764935,457707,540775
390210,"Polypropylene, in primary forms",665912,443418,455093,377549,279922,367893,393544,359014,272491,271051,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,737267,494618,512939,464327,399913,458938,481920,430293,344403,363716
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,0,133778,239874,140867,185495,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,0,271551,588159,559739,502568
390740,"Polycarbonates, in primary forms",309496,266918,311563,260916,193770,162174,207223,253441,156627,173611,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,489064,388836,424669,369004,315675,296464,355783,345818,285276,349542
