Product code,Product label,"Singapore's imports from Taipei, Chinese-Value in 2012","Singapore's imports from Taipei, Chinese-Value in 2013","Singapore's imports from Taipei, Chinese-Value in 2014","Singapore's imports from Taipei, Chinese-Value in 2015","Singapore's imports from Taipei, Chinese-Value in 2016","Singapore's imports from Taipei, Chinese-Value in 2017","Singapore's imports from Taipei, Chinese-Value in 2018","Singapore's imports from Taipei, Chinese-Value in 2019","Singapore's imports from Taipei, Chinese-Value in 2020","Singapore's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,25300647,29055534,30079614,24683069,23314577,27121348,31455009,32379409,36305248,51155141,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",11374592,13477197,13896803,12507903,12508057,15998582,15158614,12009290,15886663,19192267,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,38127931,37045317,34747533,33084405,36177499,39506995,39537178,33443614,34574396,39820777
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",3339868,4961743,6101987,3813222,3022955,2412024,4226866,5795126,6364565,11365400,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,10127466,15519644,15882763,13281866,11392067,11588707,11557479,12638712,19324754,29917531
854232,Electronic integrated circuits as memories,342155,361219,655427,777348,580133,998504,3663248,5956678,6530472,10359480,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,2017852,3005825,3601810,2950612,2522311,5100834,9034107,10629779,12329204,16925552
854290,"Parts of electronic integrated circuits, n.e.s.",1411397,1219047,1275052,1315930,899011,820453,770428,638220,1053200,1177566,,122519,95815,88066,73029,74504,82906,95115,78153,79419,104303,,3492302,3491527,3788795,3463894,2968745,2205275,2060387,1616201,2442639,2925658
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1551456,2439066,2173802,1330409,1268781,1508284,1467333,1157486,297601,898877,,0,279633,3473662,2052983,1846807,2031506,2279340,1898177,687123,1894052,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2002890,1655841,1213874,654107,341169,461554,687189,474058,335861,843328,,17857579,18440537,15792613,9032858,7623629,8398969,10883311,10339758,5106760,7813938,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,218312,270580,290440,298987,315748,304624,413364,1517037,1117856,833572,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,6108184,5602044,5239490,4732478,4262698,4871556,4903298,5647645,5311899,4788830
854233,Electronic integrated circuits as amplifiers,46864,40941,55178,41013,40128,134976,285290,339234,356651,585979,,18390,27267,33897,53224,139657,74392,95749,53158,68736,62659,,303465,317761,321459,278957,323398,770405,1728399,2236167,3051087,4908681
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",771821,624299,573996,464215,850588,1171074,1167973,804689,515252,401130,,998783,1087341,1290700,1284055,1147897,1145357,1278153,1142348,1175146,1475320,,1799832,1349398,1229680,1074420,1317220,1826491,1962134,1605801,1401879,1557441
848610,Machines and apparatus for the manufacture of boules or wafers,9487,9204,3894,3303,3192,4301,1402,535,4298,295017,,17524,27805,43862,16805,24906,82467,60891,40039,22079,36898,,134145,138035,106206,89910,119968,115808,93308,90953,105879,467429
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",1510,2641,49,79,35361,64378,74824,81545,142252,244978,,257432,293388,318678,262679,391984,213173,234222,221088,327264,475952,,35020,34181,23447,28523,82051,101992,137038,164764,365037,614000
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",75425,33737,37091,29177,30004,33465,25618,104938,145070,231784,,200607,201088,297583,342548,196095,156182,155945,169137,161391,156829,,1285716,1150454,1126206,1168453,1136041,1161612,1037901,1034137,986896,1321379
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,27079,29258,18989,13183,20586,44491,15954,82355,239810,202789,,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520,,603204,618570,776729,775939,1673399,1398241,1738269,1309198,1832903,2868121
291521,Acetic acid,72,0,0,0,0,0,0,0,64362,192065,,32464,128869,179170,120355,73566,97900,180095,106167,121149,272180,,40980,0,0,0,0,0,0,0,65947,204947
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",44354,41649,39064,48606,55541,101943,102723,112426,150416,185767,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,2422499,2439595,2327828,2334038,2633310,2917678,3170534,3367706,4174947,4563970
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",35989,56096,52914,63803,35325,57807,37923,59144,113766,168662,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,321945,462750,288808,376899,498136,1178725,1199843,729002,1060810,1433940
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",18376,34488,43610,63027,78167,60501,59821,51322,67066,165638,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,656443,746162,721625,771143,964425,1262131,2095864,2335704,3004130,2527747
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",56141,95929,181717,305352,311256,174779,122686,114733,105255,160208,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,728636,838377,967621,1391527,1250264,1064110,1185708,1027130,1028223,1426874
847170,Storage units for automatic data-processing machines,25013,36513,16654,12285,13140,20834,28603,49986,69002,113704,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,2036458,1919414,1953908,1979342,1536879,1854173,1496705,1565024,1373588,1431449
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",120924,168206,137643,18810,20963,17370,44129,43469,31493,110961,,242266,212805,316259,158371,162392,169486,193767,199170,138402,329287,,1171933,1299461,1194658,719396,485692,715636,857095,764935,457707,540775
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",8801,12307,9592,6504,8958,31854,86807,89398,59346,106713,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,328537,334787,287261,239294,257205,264535,396621,448033,420106,732376
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",3167,6205,7099,8345,92641,69376,4315,7609,22524,99646,,113810,118349,123959,148375,141814,150064,192312,140370,204185,219169,,449497,363549,283850,267931,441725,356670,333823,281746,323620,495981
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,29799,34188,31882,37416,85581,93810,149041,174675,130757,69094,,375306,430743,538692,515211,750482,949003,1268345,1265667,1526325,1837047,,1392644,1344025,1297631,1488246,2210377,2464860,2770746,2452341,2725191,3837167
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",17358,20256,31695,37042,23010,32952,28798,24280,39728,68627,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,855439,769407,815004,825515,799065,1013888,1774216,2663059,2664601,2356525
853400,Printed circuits,43514,53990,56202,40692,37614,46474,40302,35721,55361,61770,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,822763,750782,726454,636744,587696,597727,673543,638617,835161,985036
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",64614,33690,72521,88374,175109,89941,152701,181885,186340,57418,,388307,391060,377863,353285,353543,373606,388871,328757,334392,432977,,855241,787088,950178,1004962,1181821,1255190,1835753,1442325,1182363,1070132
711049,"Iridium, osmium and ruthenium, in semi-manufactured forms",0,51,0,3787,4920,3534,16342,10847,21266,52564,,59182,53000,33650,24642,23733,32222,129812,103530,112061,262088,,14834,6611,5061,5557,5761,4122,20771,11053,22225,55937
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),3963,4347,8133,5135,6143,6303,6787,12307,38039,52491,,678281,587778,557425,456122,517557,574098,732764,709532,826088,972120,,1571841,1708998,1797377,1611244,1331882,1398432,1703334,1690366,1710925,2306996
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,24879,36321,38947,19740,4872,777,504,831,8595,47152,,289332,214401,235661,30315,9776,5757,3892,2624,2097,1396,,518957,383109,276978,179778,241460,289798,324145,345023,362089,315028
390740,"Polycarbonates, in primary forms",3656,2005,707,1526,1489,3479,4299,3547,5272,43364,,616360,674293,730584,727236,693239,971708,1121821,828877,753553,1421293,,489064,388836,424669,369004,315675,296464,355783,345818,285276,349542
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",22509,27978,28307,23250,29514,32964,21481,27622,35923,43019,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,703542,713575,669980,638833,671422,814241,855507,933778,876946,1015717
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",19251,7783,12851,6321,17480,15703,33451,24772,17768,39710,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,569206,677830,690970,730168,721403,729213,938227,1122284,1062679,1372680
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",7469,4901,33280,32496,21313,31899,35320,19425,13759,37986,,519602,554170,562955,409610,283842,404686,442245,343369,285483,763253,,89189,125926,193940,146362,120328,120995,185106,193971,199749,256956
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",26336,46260,33845,26396,23823,25769,31378,37145,21906,36992,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,489784,483558,397298,357344,376583,527782,483287,421024,429655,449183
