Product code,Product label,Singapore's imports from United States of America-Value in 2012,Singapore's imports from United States of America-Value in 2013,Singapore's imports from United States of America-Value in 2014,Singapore's imports from United States of America-Value in 2015,Singapore's imports from United States of America-Value in 2016,Singapore's imports from United States of America-Value in 2017,Singapore's imports from United States of America-Value in 2018,Singapore's imports from United States of America-Value in 2019,Singapore's imports from United States of America-Value in 2020,Singapore's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,38690418,38952699,38287217,33339734,30721532,34595892,42152513,43943365,35174619,40601932,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
841191,"Parts of turbojets or turbopropellers, n.e.s.",2706690,3115017,3312172,2938149,3389587,4246305,5969947,6887464,4636218,4789104,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,4466914,5756528,5373006,4765011,5516715,6299087,8962304,11083992,7352779,7481911
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",3093231,2795114,2569472,2522602,2929615,3162518,3965511,4452791,2955004,2811987,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,5235287,5022570,4217285,4381924,5060008,5920649,7069759,7515708,4815695,4599831
841112,Turbojets of a thrust > 25 kN,88258,141409,358070,38932,83814,243027,1133501,2078610,1885941,2341766,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,275126,237821,462152,136903,213973,314994,2922759,4635153,5170250,4795793
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",123,154,85,65019,12635,36744,672657,938743,1125936,2145073,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,39879315,35538674,34326201,18204612,15060191,21405724,27968565,24224539,14385067,22675673
841199,"Parts of gas turbines, n.e.s.",545089,518535,613135,644153,664052,1148952,933316,1185648,986237,1231368,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,881875,852924,1007686,904508,956842,1672789,1295120,1474097,1421896,1708025
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,269066,303122,345299,394004,875197,566177,818823,517444,638587,1128961,,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604,,603204,618570,776729,775939,1673399,1398241,1738269,1309198,1832903,2868121
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,617618,602866,493308,567790,766660,870442,872786,685348,764359,1079462,,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564,,1392644,1344025,1297631,1488246,2210377,2464860,2770746,2452341,2725191,3837167
854232,Electronic integrated circuits as memories,433159,661991,675297,533800,324125,476566,583635,690452,829604,922600,,6706999,6571676,5658997,4455963,3635717,4128720,3855285,2748638,2896225,2805928,,2017852,3005825,3601810,2950612,2522311,5100834,9034107,10629779,12329204,16925552
999999,Commodities not elsewhere specified,860147,1311554,731296,595525,495362,451217,421237,593224,246479,836958,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
