Product code,Product label,Singapore's imports from Viet Nam-Value in 2012,Singapore's imports from Viet Nam-Value in 2013,Singapore's imports from Viet Nam-Value in 2014,Singapore's imports from Viet Nam-Value in 2015,Singapore's imports from Viet Nam-Value in 2016,Singapore's imports from Viet Nam-Value in 2017,Singapore's imports from Viet Nam-Value in 2018,Singapore's imports from Viet Nam-Value in 2019,Singapore's imports from Viet Nam-Value in 2020,Singapore's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
TOTAL,All products,2245854,3057388,3200067,3597566,3004893,3355904,3470608,3646889,4013325,4386939,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,385832692,388046699,377937643,296773959,283045050,327492650,370940515,359008256,328822696,406912769
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",167698,182099,187758,222058,248114,225120,17441,7,28,463416,,16059,3050,5762,12456,13596,14204,14975,12943,10389,608592,,396949,301373,301770,304806,305893,274298,57141,39873,162079,653897
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",328693,434993,456755,455599,338125,306595,362734,294255,259073,318079,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,6046163,5860819,5021639,5043594,4675709,4982981,4872391,5021375,4494629,4948929
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",238594,282689,303099,709871,54291,287271,144663,274213,108996,262810,,8397950,7375358,7224230,3823780,2578325,3108577,2146666,1892580,1568351,1895860,,39879315,35538674,34326201,18204612,15060191,21405724,27968565,24224539,14385067,22675673
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",774,3556,29729,197163,192644,191700,139328,163086,740716,209571,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,10127466,15519644,15882763,13281866,11392067,11588707,11557479,12638712,19324754,29917531
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,18767,14758,24745,34972,51203,70118,52260,49204,93853,197105,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,6108184,5602044,5239490,4732478,4262698,4871556,4903298,5647645,5311899,4788830
702000,"Articles of glass, n.e.s.",77,5,21,35,4863,141721,318228,428494,571910,145665,,338170,335757,493825,551888,551096,636942,611862,612944,635408,157064,,109972,80186,101904,59739,86973,224549,429978,572956,666410,256082
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",2218,1622,1775,2415,9439,3646,1689,1231,43215,139120,,85890,53663,59747,93997,439442,550943,627006,672783,715738,1281229,,569206,677830,690970,730168,721403,729213,938227,1122284,1062679,1372680
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",31191,137224,114172,128773,154478,184486,165393,148016,147935,128543,,240709,243335,549479,638003,511766,731846,779511,890103,736943,1279834,,38127931,37045317,34747533,33084405,36177499,39506995,39537178,33443614,34574396,39820777
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",169,70,135,161,1117,4177,4680,7527,13594,128233,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,88421,82426,90699,95281,90511,123902,187048,344042,319521,450759
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",4277,4427,3651,29577,73871,48554,41872,81688,50262,112103,,1298855,952899,915097,575296,534517,1101632,975759,1006592,518707,567627,,57908948,54832255,51713314,29846316,23229417,34166675,38885569,31972720,21233398,31736444
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",15739,19814,61995,9214,9836,8777,14889,11189,29053,88078,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,2422499,2439595,2327828,2334038,2633310,2917678,3170534,3367706,4174947,4563970
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",47316,58581,59093,46375,35249,37500,42915,48460,51593,64363,,3465298,2816412,2852873,2620651,2039764,2443631,2461880,2163697,2360612,1706248,,244751,295307,308799,249265,191024,196534,204971,218069,278520,235037
850450,Inductors (excluding inductors for discharge lamps or tubes),14812,25770,35047,33521,34778,46287,47068,49145,52978,62548,,121981,174243,177974,197742,226936,285002,294941,298236,341289,820773,,375479,407247,325871,288887,286060,261105,326456,318259,300750,379920
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",5061,14386,23196,26014,20357,34230,42852,60958,49969,59236,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,39077,62232,77824,77724,73203,102746,123455,143374,119241,140666
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",5060,0,53810,3705,33109,78894,138778,26068,32477,59186,,377012,205849,186721,159427,113685,158735,167158,131300,95821,390407,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",2338,625,8475,8310,2363,741,3767,45045,15878,45262,,30123,40979,59262,48573,33415,47411,101384,127335,95414,134036,,84592,93990,118040,94573,71558,69919,109861,144076,99832,172832
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",5983,22600,33199,16896,36078,38520,44848,37255,32482,44616,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,450552,446204,456387,336824,336234,267602,279672,218793,164772,198846
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",3997,6048,7716,7580,10982,11490,15697,19691,24014,43467,,191040,210187,225505,253116,297542,378785,442233,472092,421137,1749655,,2553062,2156414,2212025,2355571,2278218,2550419,2514779,2183872,2799322,4125574
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),1,6,12,49,74,65,13,46,594,39957,,2,0,66,108,246,254,1204,4518,7942,60028,,110919,141118,169376,154584,157721,241086,255518,203731,204048,314101
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",825,354,41,81,22,48,149,208,2667,39413,,7172,15446,21942,44444,25742,5639,7019,156832,291912,1022293,,489784,483558,397298,357344,376583,527782,483287,421024,429655,449183
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",65223,54941,54840,38938,38895,50920,55203,59859,29913,38647,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,308011,325836,293373,308676,301988,358428,311583,274765,161481,200639
845229,"Sewing machines, industrial type (excluding automatic units)",1658,7443,29284,38325,43196,42892,55665,58513,25794,38032,,73243,77265,72707,73173,76109,75144,96306,119413,70905,84672,,165586,212211,269821,254188,271291,212581,268893,226241,99807,203215
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",69345,63060,66163,70614,47602,48311,47817,47745,25632,36259,,1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020,,551848,370718,391816,299210,288332,322407,389526,365380,298486,359597
850110,"Motors of an output <= 37,5 W",27398,13244,51371,44081,46164,41821,40588,32642,26965,32387,,600827,576224,588543,670788,615110,642320,593354,542132,466283,796356,,339599,264082,234992,162195,156756,164192,183226,162215,138217,180294
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),8326,9701,12602,12986,16269,20904,23905,25775,25560,31498,,69160,88401,119337,127227,135157,178192,96909,118585,149315,372509,,252902,262397,301388,252024,230477,254548,318168,351924,308427,389025
240220,"Cigarettes, containing tobacco",37291,44549,43417,46052,59328,62911,95776,94652,56787,28987,,237262,276669,245912,250440,245327,230686,214546,264656,181619,75191,,622017,642787,678250,696726,760671,785017,838456,787352,523423,570953
999999,Commodities not elsewhere specified,9096,14933,11515,13701,12022,11880,12512,21489,4441,25368,,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",8378,12976,9637,9682,9066,6383,6354,5625,23057,25365,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,855439,769407,815004,825515,799065,1013888,1774216,2663059,2664601,2356525
