Product code,Product label,"Taipei, Chinese's imports from Australia-Value in 2012","Taipei, Chinese's imports from Australia-Value in 2013","Taipei, Chinese's imports from Australia-Value in 2014","Taipei, Chinese's imports from Australia-Value in 2015","Taipei, Chinese's imports from Australia-Value in 2016","Taipei, Chinese's imports from Australia-Value in 2017","Taipei, Chinese's imports from Australia-Value in 2018","Taipei, Chinese's imports from Australia-Value in 2019","Taipei, Chinese's imports from Australia-Value in 2020","Taipei, Chinese's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,9346951,7911635,7311792,5700186,6107856,8252097,9566021,10072701,8069050,14787449,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",3395454,3153793,2980930,2527071,2639542,3741299,4508418,4006713,2667075,4791514,,43691288,38380799,35187114,29623822,28260420,40555876,47206109,44407758,32725070,43934284,,7585853,6556226,5754844,4714974,4467025,6629972,7296867,6017990,4211568,7263761
271111,"Natural gas, liquefied",226567,60683,177394,122301,85409,403970,1321585,2059567,1543639,3938610,,14676410,14824997,16451316,12582034,13559824,19937263,31970665,35167504,26312442,36957140,,9862571,9795381,9950352,6334058,4920209,6379084,7972160,7585048,5510295,10997299
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),1744035,1863836,1591984,1025759,974101,1240865,1204071,1566441,1569508,2937265,,59192644,68522713,69260622,36622883,39226993,49108087,46529095,65588606,78020629,115981729,,2076676,2297202,2022149,1267157,1155706,1515486,1567562,1910753,1975842,3764318
740311,"Copper, refined, in the form of cathodes and sections of cathodes",362544,160025,97418,73169,289417,370144,423246,313098,216379,424179,,2874343,2981403,3406544,2586185,2160012,2157517,2452004,2694740,2373329,3243876,,3351511,3085727,3092407,2588994,2507726,3404272,3003267,2758175,2568578,3789890
760110,"Aluminium, not alloyed, unwrought",292597,378011,330690,297057,216656,153753,178853,168223,262323,356372,,2699037,2591341,2487668,2354220,1989538,2101616,2639721,2247243,2163671,3128382,,736820,747203,849097,739270,645626,664199,814188,648671,1092600,838566
260300,Copper ores and concentrates,0,0,0,0,161157,147152,100582,257870,242529,264572,,5509173,4961113,4924529,3708019,3444415,3642575,4504115,4253445,4613540,5849603,,278,1068,278,125,757133,616941,432704,871156,796457,1586348
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",79467,65403,101268,92400,92041,154331,126376,116267,71480,135604,,764169,829941,904501,793752,780539,1253462,1257286,1017757,916837,765866,,312978,331802,413274,393646,332864,520074,484619,467847,371017,512250
20230,"Frozen, boneless meat of bovine animals",159813,170430,182382,141740,151076,157993,133974,128823,116021,122934,,2828207,3370846,4371609,4277980,3075554,3223065,3694760,4468083,3749032,3750481,,366408,435831,461375,438470,482490,525494,561916,608553,608930,619319
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",54781,0,0,2360,1143,21518,8131,11301,9071,85062,,0,0,0,0,0,0,0,0,0,0,,320807,253878,242755,131266,64025,134549,723552,901374,680800,885323
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",62669,44374,42803,17870,25315,27717,49136,28373,36887,79617,,262116,286902,269989,181804,228518,408376,423564,441718,351753,605409,,1935893,1535189,1391430,742595,593286,682172,1146204,886035,853510,1251239
