Product code,Product label,"Taipei, Chinese's imports from China-Value in 2012","Taipei, Chinese's imports from China-Value in 2013","Taipei, Chinese's imports from China-Value in 2014","Taipei, Chinese's imports from China-Value in 2015","Taipei, Chinese's imports from China-Value in 2016","Taipei, Chinese's imports from China-Value in 2017","Taipei, Chinese's imports from China-Value in 2018","Taipei, Chinese's imports from China-Value in 2019","Taipei, Chinese's imports from China-Value in 2020","Taipei, Chinese's imports from China-Value in 2021",China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,41025855,42603696,47949175,44144343,43973999,50070651,53835461,57432534,63833789,82689938,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854232,Electronic integrated circuits as memories,631005,716982,998880,870312,1344602,3035240,4811514,6775137,7195901,9355108,,14374599,17692084,17566232,21566607,23241587,29621004,43966741,52446486,55864236,68017077,,5573233,4818345,5431547,4931682,8295298,13264776,18157409,19234409,25586354,33781517
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",4011763,4217355,4985565,4690154,4876606,5714454,5639196,5939825,6761842,8611478,,7507618,17754192,14007051,14391300,9410901,7967090,9251060,11271565,17743826,20711290,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,845273,880995,1074844,999418,1209315,2280705,2457974,2879643,3551858,4432491,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,1259678,1320102,1551401,1386398,1557216,2822434,3181798,3817384,5197863,7454859
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",1457268,1609854,2284754,3155262,2326466,2787687,2498111,2435697,2329140,2940395,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,2103768,2479808,2872225,3327838,2740189,3303006,2927907,2912415,2864680,3412687
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",291655,330102,429518,452087,498937,629749,851895,951785,1388377,2143239,,27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922,,2568572,2866098,3009120,2989741,3208129,3876774,4943731,7676826,9666271,12114421
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1075107,1102667,1043520,879426,835638,1005878,1070420,1119017,1270885,1936740,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,1169284,1289999,1162902,923146,873488,1045990,1103012,1162373,1311670,1982258
853400,Printed circuits,687942,665798,719400,751648,695013,722662,824000,1002940,1356382,1878947,,13739259,13347306,13837881,14134098,12910074,13972709,15270708,14653143,15105857,18916641,,1328828,1381011,1517079,1483156,1442312,1554941,1750855,1975409,2669488,3610051
999999,Commodities not elsewhere specified,275409,425376,553516,594120,706017,997588,1053871,1206719,1187726,1496854,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",339931,456507,730518,538673,551409,628738,644786,747477,963664,1359884,,10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292,,557709,640294,935289,789051,787372,871180,868565,954901,1117903,1555829
