Product code,Product label,"Taipei, Chinese's imports from Germany-Value in 2012","Taipei, Chinese's imports from Germany-Value in 2013","Taipei, Chinese's imports from Germany-Value in 2014","Taipei, Chinese's imports from Germany-Value in 2015","Taipei, Chinese's imports from Germany-Value in 2016","Taipei, Chinese's imports from Germany-Value in 2017","Taipei, Chinese's imports from Germany-Value in 2018","Taipei, Chinese's imports from Germany-Value in 2019","Taipei, Chinese's imports from Germany-Value in 2020","Taipei, Chinese's imports from Germany-Value in 2021",Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,7779379,8259435,9369207,8593595,8567125,9203522,9974456,9409848,10218540,12537829,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",387307,435860,930429,733569,942061,808988,971063,809967,948443,1190992,,3607887,4202776,5182777,5170342,4498195,6157518,7118182,6309019,5147643,6475106,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",694991,758306,850388,983653,893958,1158182,1156080,909511,799732,685012,,49549329,49490603,55114290,50015861,57000805,61580286,63825427,59214131,41983618,39686075,,1464910,1949245,2242929,2587409,2944413,3298631,3719970,3394451,3100539,2923107
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",179587,280054,322970,355684,412165,435369,496980,530781,550041,651664,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,62004,89983,142391,126860,96289,162407,286400,351047,480393,578738,,488302,544168,565674,495441,471067,670848,717712,758885,822105,1049372,,1527262,2218244,2460938,2350815,2806462,3739515,3857021,5399515,5740056,6798467
300220,Vaccines for human medicine,1645,2737,3239,3949,1905,3530,4653,3909,16841,433921,,1009501,854203,1080742,553335,506218,415229,651160,506121,565295,11667170,,93739,84712,85309,99890,96421,129707,144713,195314,177802,655142
850231,"Generating sets, wind-powered",54144,52708,5841,15016,19434,0,11180,96774,185312,432636,,3155966,2855230,2206937,2391054,2198284,1278372,2074320,2275715,2420277,2547177,,54249,52761,5883,15023,35406,1453,11708,172105,426791,817867
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,17122,135734,334666,408465,,0,0,0,0,0,115924,1589419,3733425,8230172,20431992,,0,0,0,0,0,118871,241582,608045,1214287,1457099
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",190512,210638,239340,197668,206380,267073,284858,225474,269535,276881,,825520,772008,808622,768932,800389,967787,1083592,842087,828796,1009742,,2521702,2790158,3292574,3035912,2788016,2960958,3053871,2553086,2661965,3078486
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",31270,54078,84440,119883,168519,215539,273988,232763,315181,262463,,9603099,9794812,10443915,12855544,14154725,12531254,14364180,14447215,12426819,10064280,,139743,168036,225248,255921,354839,473043,646029,556635,682242,651863
