Product code,Product label,"Taipei, Chinese's imports from India-Value in 2012","Taipei, Chinese's imports from India-Value in 2013","Taipei, Chinese's imports from India-Value in 2014","Taipei, Chinese's imports from India-Value in 2015","Taipei, Chinese's imports from India-Value in 2016","Taipei, Chinese's imports from India-Value in 2017","Taipei, Chinese's imports from India-Value in 2018","Taipei, Chinese's imports from India-Value in 2019","Taipei, Chinese's imports from India-Value in 2020","Taipei, Chinese's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,2629582,2749837,2482333,1871132,2180433,3064512,3268214,2514258,2215590,3184394,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1318913,1313258,1005774,538686,878497,1150900,1542281,840969,531525,785970,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
760110,"Aluminium, not alloyed, unwrought",7179,29854,79564,76912,70087,69387,163870,176626,235603,192705,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,736820,747203,849097,739270,645626,664199,814188,648671,1092600,838566
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",0,8768,14487,6301,1721,11490,5309,2947,7857,139395,,29397,99118,81503,44852,65110,154355,174379,153699,168006,568794,,174096,155679,132133,84057,100069,134306,172193,166697,165908,387306
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",60849,73809,71180,65784,57417,88173,85378,81816,80542,128299,,456742,446904,410764,628142,375655,806728,692626,514416,651988,805470,,312978,331802,413274,393646,332864,520074,484619,467847,371017,512250
720241,"Ferro-chromium, containing by weight > 4% of carbon",667,21592,15169,40204,83688,159517,118890,56342,44346,111098,,738559,695956,497810,479936,510055,1030697,926967,794399,599542,981159,,307637,295563,250631,236051,259943,383789,317478,149910,106188,226917
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",15904,70849,21564,11841,57,47500,2606,802,200,81630,,172806,425394,313685,139646,52578,208269,123538,93934,134491,464839,,368423,330966,219933,161668,94449,149878,261734,160721,64242,238590
720230,Ferro-silico-manganese,98869,93988,90417,63951,47077,75238,62591,46106,49596,77251,,936024,978195,867805,599197,461991,800995,814433,658667,603374,1276572,,128610,121450,131474,88628,90878,146482,117399,93442,81964,134536
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",27,193,24,34,32,67,30,49102,82155,71862,,14052,32316,66080,21343,21166,30220,26525,53398,91842,60577,,155235,144614,155405,132190,140223,166046,186903,212780,239118,302085
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,0,0,55266,,273412,519421,647153,155640,400984,961563,976436,786791,1520855,1995423,,34445,38231,49860,5040,28516,34592,55082,20624,32516,180968
760120,Unwrought aluminium alloys,8806,16499,16375,2086,9183,15824,19641,17083,19662,49248,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,485812,544253,651951,594990,456125,586034,750627,569989,487625,949679
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",49390,54411,69917,63938,50499,41816,38277,29686,39582,42151,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,108979,123623,129108,116083,93122,83112,78423,71728,63988,65548
290241,O-Xylene,0,0,0,9463,20242,23880,35266,31323,35374,39727,,313029,340386,242188,170405,118673,94675,202934,134335,182290,182535,,79,2889,29145,27552,40157,62350,72054,80701,53430,57800
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,11084,18957,28901,29940,39536,,0,0,0,0,0,269251,529049,803311,981909,1239851,,0,0,0,0,0,90765,103221,106116,119990,140334
720211,"Ferro-manganese, containing by weight > 2% of carbon",18999,19525,22137,11635,4641,13936,13047,9822,14353,38902,,127317,141160,194292,108284,90512,257547,253504,229933,200651,627313,,74945,75060,82680,62944,59164,114795,113493,91790,60939,102577
30499,Frozen fish meat n.e.s. (excluding fillets),33945,23621,24985,29711,30696,33402,43447,37096,35312,34298,,141482,139949,125959,146130,150282,213329,249896,223780,199509,250646,,65765,55766,57591,60872,56848,54744,70228,68882,70134,81234
290124,"Buta-1,3-diene and isoprene",57569,24832,0,0,9781,13214,18142,25163,11019,33161,,300459,166966,104099,92834,106033,144853,155369,146453,100184,128867,,455866,218264,194914,110436,118929,214429,224094,196058,138208,196934
290220,Benzene,3491,4297,15392,2103,12236,18166,5244,0,3859,29291,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,720451,952451,961942,506270,505297,606567,655750,600353,443901,706968
520299,"Cotton waste (excluding yarn waste, thread waste and garnetted stock)",9343,5011,614,413,3225,8425,15712,6965,12137,28718,,58619,85856,35709,32135,54822,116634,107743,42015,79830,93510,,43790,41831,24132,16333,16781,20808,29209,28197,18328,33473
251612,"Granite, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular ...",15108,38789,38582,26467,9519,10501,4481,5899,11524,26948,,64431,78064,64844,81737,91693,118323,131509,119530,114203,150823,,47383,126410,106939,69535,38552,34662,35054,22500,33462,57037
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",2968,627,173,597,350,1016,1492,8564,20906,26687,,95878,105844,135904,168815,182889,421277,630572,515734,559177,677536,,563456,668304,695530,699228,1074085,883641,1006859,1192546,1416813,1882044
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,6410,28377,12492,37952,25886,,26322,57955,30636,131049,127340,153001,220570,283964,688830,902020,,156740,117961,215909,79808,130579,154130,230415,204270,232936,549445
261400,Titanium ores and concentrates,48,48,26,4,4,0,4845,0,2,24150,,322936,207117,119904,109695,83810,87804,105142,67969,72408,78219,,125974,114579,99973,74015,80006,101971,90887,76106,62059,123296
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",6002,7320,11079,9133,10624,8030,10945,12466,13679,21204,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,0,0,0,0,0,0,0,8563,21160,,16,8427,70942,12,12912,78,12434,75335,141413,162515,,1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",2170,7124,5848,4434,6086,9786,16136,18733,24204,19235,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,58095,48553,45321,47270,50028,55044,73045,72250,86501,87452
520300,"Cotton, carded or combed",3260,3517,917,709,4129,6696,13226,7663,9780,18523,,602,823,826,637,688,2501,3891,11169,16473,52172,,10345,14840,12871,9440,10813,16863,33291,29353,22617,25240
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",1519,1314,8476,1590,3656,8876,5131,1442,4071,18177,,48881,45508,45401,42412,22813,41969,44438,38232,28286,115863,,132443,139056,173788,136457,122181,189510,267642,144732,137030,276747
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",80,72,11,12,27,1601,10745,22522,22643,18144,,129504,203101,184644,192400,183289,312965,379929,388897,340166,587343,,153958,133086,129242,120287,110568,105934,135250,145705,135282,152879
120740,"Sesamum seeds, whether or not broken",17376,17690,37031,26516,19824,16897,21561,18181,19122,17975,,517673,632196,813602,476645,415152,435302,531449,528715,447843,421536,,39925,45522,70504,55693,49138,48962,52535,52797,64071,62779
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",0,0,4210,0,1332,5921,2345,0,1642,17856,,26924,20634,23569,21342,15239,31341,24321,33604,50389,136007,,20342,18772,10606,9119,7402,15096,38933,22697,17297,42285
850440,Static converters,1171,1658,3868,6977,5678,11363,13771,14798,12070,16836,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,7574,11973,0,0,2349,14,66453,15911,16714,,212935,366953,303679,128595,339193,1263700,826915,1476157,2024034,2761309,,250888,259217,267559,191077,162814,180396,139422,233439,137072,204964
