Product code,Product label,"Taipei, Chinese's imports from Japan-Value in 2012","Taipei, Chinese's imports from Japan-Value in 2013","Taipei, Chinese's imports from Japan-Value in 2014","Taipei, Chinese's imports from Japan-Value in 2015","Taipei, Chinese's imports from Japan-Value in 2016","Taipei, Chinese's imports from Japan-Value in 2017","Taipei, Chinese's imports from Japan-Value in 2018","Taipei, Chinese's imports from Japan-Value in 2019","Taipei, Chinese's imports from Japan-Value in 2020","Taipei, Chinese's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,47723747,43184368,41619512,38641270,40595647,41986597,44147244,44060592,46105764,56263117,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854232,Electronic integrated circuits as memories,2406355,1555660,1330302,1748497,2084137,2041126,2493804,3134161,6267388,7581522,,9240760,9210557,8403707,8399015,9008034,9738748,11603779,11054866,12247102,14692935,,5573233,4818345,5431547,4931682,8295298,13264776,18157409,19234409,25586354,33781517
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,2089644,2372531,2114144,2166655,3041556,2326358,1896000,3551860,2898574,4168140,,7497650,6085122,6342768,5998193,8094983,10313863,11588292,11601008,12020146,18388126,,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",3639422,3590544,3190177,3333436,3756830,3873764,3989994,3582431,1570541,2295595,,11616770,10094836,9824469,9060572,9062482,10815125,10812400,11523918,11186084,12182276,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",822176,788991,861911,788147,815931,1001447,1275411,1190149,1225851,1441690,,2996387,2580708,2730727,2605747,2634309,3084935,3926841,4019308,4033920,4585284,,2521702,2790158,3292574,3035912,2788016,2960958,3053871,2553086,2661965,3078486
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",503741,840405,891891,1100276,1433052,1422111,1562745,1516842,1469418,1379878,,50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856,,1464910,1949245,2242929,2587409,2944413,3298631,3719970,3394451,3100539,2923107
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,438144,539060,607850,544736,716641,836663,857948,938427,1166586,1254656,,3309305,2946655,3181004,3154275,4398921,5689336,5689802,5029592,6058813,6264001,,1527262,2218244,2460938,2350815,2806462,3739515,3857021,5399515,5740056,6798467
740311,"Copper, refined, in the form of cathodes and sections of cathodes",911835,885341,730183,548425,592764,759999,740461,467139,646458,873761,,4059153,3897838,3199035,2857335,2758885,2835498,3653621,2988892,4303595,5060312,,3351511,3085727,3092407,2588994,2507726,3404272,3003267,2758175,2568578,3789890
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",667073,620566,666948,536209,508835,537420,587133,659773,784355,850529,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,792653,744442,777600,664633,641569,686910,721163,809443,939699,1024035
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,716648,775772,672357,708240,785831,,0,0,0,0,0,3630937,3907464,3602200,3593527,4523438,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
