Product code,Product label,"Taipei, Chinese's imports from Russian Federation-Value in 2012","Taipei, Chinese's imports from Russian Federation-Value in 2013","Taipei, Chinese's imports from Russian Federation-Value in 2014","Taipei, Chinese's imports from Russian Federation-Value in 2015","Taipei, Chinese's imports from Russian Federation-Value in 2016","Taipei, Chinese's imports from Russian Federation-Value in 2017","Taipei, Chinese's imports from Russian Federation-Value in 2018","Taipei, Chinese's imports from Russian Federation-Value in 2019","Taipei, Chinese's imports from Russian Federation-Value in 2020","Taipei, Chinese's imports from Russian Federation-Value in 2021",Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,3139883,3239493,3640143,2514354,2610128,3304317,4265731,3148510,3253666,5013389,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",386627,308922,488485,508939,433778,793844,1092708,759574,744636,1167913,,11635170,10599759,10408217,7955494,8054092,11898508,14606792,13616669,10743061,15439803,,7585853,6556226,5754844,4714974,4467025,6629972,7296867,6017990,4211568,7263761
271111,"Natural gas, liquefied",0,63850,39838,93575,389067,638785,1063355,724203,913745,1152588,,4679063,5510958,5243511,4545762,2899797,3173802,5285983,7920048,6745828,7320221,,9862571,9795381,9950352,6334058,4920209,6379084,7972160,7585048,5510295,10997299
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1247113,1638609,1844770,984791,894296,765630,693635,236161,428030,874862,,88245886,91776552,93595475,53088209,35192532,45335013,61357826,52726494,35405155,54277319,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",500982,356293,194605,235817,151020,238139,331184,437976,258184,580851,,5072629,4036196,4157145,2436313,2534118,3619482,4508846,3151507,2167396,6101816,,1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",82345,84429,99536,41820,42507,104282,105205,127439,121010,152611,,1291850,1411749,1300720,1350827,1129884,1618994,2143108,1623385,2111142,2251932,,156740,117961,215909,79808,130579,154130,230415,204270,232936,549445
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",46691,23599,57654,51442,112139,84428,10925,129145,108326,140597,,1379831,969016,1092201,728031,795127,779350,1275717,1300849,571441,786754,,377282,121099,244103,160584,202996,195943,306529,349966,368145,458437
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",99208,157461,194273,147625,107382,140607,259148,114176,78013,135676,,511376,476000,359630,286624,253222,387762,443292,341558,254538,327684,,1002083,1058203,999489,672647,356769,348247,435430,265108,220634,298510
760110,"Aluminium, not alloyed, unwrought",37922,22944,57119,32068,49888,53864,29228,32717,118268,113519,,4372859,4032722,3139741,3646592,2941809,3009086,3319005,3147661,2898201,4003172,,736820,747203,849097,739270,645626,664199,814188,648671,1092600,838566
760120,Unwrought aluminium alloys,52656,62355,59654,51301,74390,90402,60612,58910,75663,104016,,1961162,2100064,2112002,2283458,2046337,2455331,2028781,1493269,1320676,2989431,,485812,544253,651951,594990,456125,586034,750627,569989,487625,949679
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",19756,13819,14449,2331,3306,15312,48567,19703,28536,90205,,123857,54405,37373,14188,12222,13180,28271,15242,4797,35898,,34445,38231,49860,5040,28516,34592,55082,20624,32516,180968
722490,Semi-finished products of alloy steel other than stainless,0,6804,642,826,527,2,1793,4969,3737,72949,,237170,271733,362186,250610,226572,360991,426203,280362,183412,597228,,42407,106453,224265,194287,131200,53055,67402,42810,43009,115025
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",66815,40533,35168,24702,37032,36068,52640,34559,32335,40924,,373510,261558,275453,206069,307589,423458,562879,397427,355370,863603,,174096,155679,132133,84057,100069,134306,172193,166697,165908,387306
