Product code,Product label,"Taipei, Chinese's imports from Saudi Arabia-Value in 2012","Taipei, Chinese's imports from Saudi Arabia-Value in 2013","Taipei, Chinese's imports from Saudi Arabia-Value in 2014","Taipei, Chinese's imports from Saudi Arabia-Value in 2015","Taipei, Chinese's imports from Saudi Arabia-Value in 2016","Taipei, Chinese's imports from Saudi Arabia-Value in 2017","Taipei, Chinese's imports from Saudi Arabia-Value in 2018","Taipei, Chinese's imports from Saudi Arabia-Value in 2019","Taipei, Chinese's imports from Saudi Arabia-Value in 2020","Taipei, Chinese's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,14838825,15619656,13653271,7286340,5806508,6870626,8608171,7738427,4883753,7900733,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",11182086,12130363,10540415,5101285,4110357,5233810,6979554,6849195,4107737,6442779,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,35750509,33573234,32096516,16069861,12910667,16836698,23346537,21326199,12624769,19889322
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1524678,1313388,1135738,884217,663805,387759,233067,56867,102263,454184,,3367498,2402657,2837271,35895,882970,3901,3457,0,0,0,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
290511,"Methanol """"methyl alcohol""""""""",221860,222351,179673,144556,77304,127561,182809,132350,53780,128962,,1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151,,430983,509025,549434,378228,291656,448499,581389,357457,296713,591825
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",117152,104615,114225,85532,72004,94514,95643,87952,72700,107529,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,407523,364681,410739,332957,283949,362942,346855,330144,319954,456686
281410,Anhydrous ammonia,159150,157432,124756,124944,91027,99055,115298,48206,32812,92392,,133859,776517,2063961,1245091,524570,273376,1541988,1648032,1549873,1453624,,399510,369288,329805,298330,220497,205669,239429,177654,143292,363290
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",38903,43127,78979,62426,58933,82080,94488,46052,55113,84600,,135554,456790,516447,417732,374216,472973,518111,414873,433092,792353,,632697,646690,591060,493063,495070,653439,823173,669883,613105,977130
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",254243,275008,225304,99187,93503,112392,106542,83413,82289,69807,,1347390,1406732,1572031,1038412,649220,845340,809144,847697,838182,794444,,491088,382848,320910,165047,196472,181832,229337,151032,114744,94551
290243,P-Xylene,0,14024,4721,44940,0,0,19037,11090,39196,69067,,6149,9963,32722,145258,45450,40719,634621,1004520,484083,805708,,2046852,2007903,1389607,953011,920659,1142416,1728913,1609898,895212,1401277
290711,"Phenol """"hydroxybenzene"""" and its salts""""",0,0,0,0,0,12879,67833,33311,2207,60277,,3177,386,113,0,0,30099,229858,261045,152873,335847,,14336,36334,95461,76660,98518,169511,264305,162914,70235,235993
