Product code,Product label,"Taipei, Chinese's imports from Singapore-Value in 2012","Taipei, Chinese's imports from Singapore-Value in 2013","Taipei, Chinese's imports from Singapore-Value in 2014","Taipei, Chinese's imports from Singapore-Value in 2015","Taipei, Chinese's imports from Singapore-Value in 2016","Taipei, Chinese's imports from Singapore-Value in 2017","Taipei, Chinese's imports from Singapore-Value in 2018","Taipei, Chinese's imports from Singapore-Value in 2019","Taipei, Chinese's imports from Singapore-Value in 2020","Taipei, Chinese's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,8135756,8548089,8360374,7098839,7506116,8737593,8419337,7926319,9032490,12110557,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",3657849,3971074,4126047,3447509,2741042,2677633,2922859,2545207,2744954,3048899,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
854232,Electronic integrated circuits as memories,358067,327409,213553,140085,393931,915532,919865,685425,1255732,1860586,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,5573233,4818345,5431547,4931682,8295298,13264776,18157409,19234409,25586354,33781517
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,787165,744942,754512,666435,865950,772034,585826,1109095,1304560,1683795,,1470061,934277,1343731,1881182,2521896,4086520,3714930,4119830,5614371,9161510,,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,107718,200176,199028,289888,666063,834557,454674,554581,428208,623141,,1095798,777365,707181,1045526,828747,1264362,1378669,1303815,1411821,1801883,,1527262,2218244,2460938,2350815,2806462,3739515,3857021,5399515,5740056,6798467
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,48324,125822,68605,59592,132864,162359,124225,192355,253835,467932,,502578,645538,485507,557515,775636,990014,1183661,1274661,1264816,1978671,,594546,822646,541418,639030,792519,788195,680513,1160644,1406793,2047539
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",733,56,14533,34582,37438,71461,74837,55149,199851,351234,,295598,375380,298520,320818,301590,358023,459643,441551,818135,1881799,,401559,310146,254619,429130,292367,273412,312997,338515,403368,1097867
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",287145,246267,224976,156660,154500,169766,172293,176063,221466,268897,,9857804,13880349,10831876,595642,1147853,11303228,10974129,11453769,15672122,14047953,,1416149,1053777,950788,756574,802082,819449,804913,861208,1202319,1299090
848640,Machines and apparatus specified in Note?9 C to chapter 84,166129,91600,86500,13821,104737,110524,75418,49003,130756,238797,,1190602,1017166,1512355,1221611,2048802,3261439,3247936,2803661,4145181,6673234,,393805,336148,489137,232883,376987,449810,581634,470166,646759,788907
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",104905,124663,145952,161191,144766,180139,157270,111698,163452,204830,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,296582,371949,485055,435285,442374,637967,772354,820460,914004,1107170
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",457977,553482,538787,206062,558748,850813,510520,200555,117020,165035,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
848610,Machines and apparatus for the manufacture of boules or wafers,75149,159754,72128,150740,157661,83650,147120,143112,115179,162908,,336959,908784,288382,149391,336149,512463,477534,306384,84959,88984,,533569,471444,337818,385440,500430,409034,370959,439162,429757,686272
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",78185,79225,92031,95133,95610,124728,136176,122464,131504,162073,,1187383,692280,555395,671457,757979,806156,1005094,1179016,1051081,1222901,,2521702,2790158,3292574,3035912,2788016,2960958,3053871,2553086,2661965,3078486
290243,P-Xylene,10105,12037,39391,27851,26260,32854,61280,87345,37793,131284,,952754,996837,1010684,553269,838592,1325018,1605858,1173165,528000,901443,,2046852,2007903,1389607,953011,920659,1142416,1728913,1609898,895212,1401277
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",37794,23239,38892,11933,20803,62907,58259,115826,67090,122468,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,2568572,2866098,3009120,2989741,3208129,3876774,4943731,7676826,9666271,12114421
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",975,507,506,403,337,210,344,503,60562,119646,,79778,109928,159046,146118,156724,112549,95987,73585,145336,280396,,310709,289647,408687,268881,310784,360894,351279,218076,501573,490665
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",44577,19403,136,21,386,54,799,1451,55248,100604,,110852,37006,19922,69691,129011,97443,91430,113712,257952,394400,,384709,592440,574285,493746,345845,289155,306546,337347,366066,409919
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",2667,170,60,220,24,26,15,10546,33271,94370,,56156,47735,60504,102352,83038,67556,57080,67903,154443,303534,,92621,36251,58369,36848,14696,1645,4117,25500,86744,219243
853720,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",82,146,50,213,120,260,315,442,421,93097,,154414,150444,153077,188398,83985,58140,79951,231146,66379,65534,,37728,57752,23122,29498,42684,22391,36587,39660,85295,179693
290250,Styrene,20350,45574,5229,5951,0,16712,0,0,0,86530,,997485,1273444,861371,815638,599722,831982,842743,634560,390259,883314,,554204,671338,616568,362867,291082,420106,414180,304906,256024,507194
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",42529,43098,53868,51964,43649,46943,48159,53345,59368,64297,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
847170,Storage units for automatic data-processing machines,39445,37883,39375,39870,43045,40548,24100,21346,34071,60528,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,1246401,1081479,1163388,1126984,1243629,1254426,1027579,853369,959553,1175897
854160,Mounted piezoelectric crystals,2781,3155,3231,4933,6803,11108,12618,13972,16355,58855,,500721,607006,596061,638122,789491,711747,621421,637231,608228,944816,,35998,36273,45277,155201,361893,407451,384666,367122,477121,764748
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",5578,11738,11423,8489,10471,8734,198734,107479,63626,57032,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,239529,219994,227381,224077,239684,239566,410225,326908,284277,310705
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,8016,14915,15877,17201,14992,15347,39647,47800,65163,56524,,26285,32848,57543,56500,65435,109645,122797,117051,161942,187860,,207885,175078,173809,141154,149287,154825,186516,194200,217036,228725
290529,Unsaturated monohydric acyclic alcohols (excluding acyclic terpene alcohols),1,57180,64632,2442,10380,33500,60851,18144,24119,55467,,2040,104675,209398,121831,120477,174448,214994,135929,162409,303262,,23400,91784,92409,28773,35326,55225,85255,37839,44734,81087
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,60848,90381,19314,10269,54049,,0,0,0,0,0,0,72903,101636,135821,188062,,0,0,0,0,0,312002,379087,218140,248067,376197
370199,"Photographic plates and film in the flat for monochrome photography, sensitised, unexposed, ...",120,0,106,3952,4694,5459,7979,23105,40243,51090,,5268,4793,5749,22032,17282,21862,25724,41165,61356,67657,,211817,159918,143856,127461,142249,136674,151415,182215,197861,228045
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,146925,108672,67678,122702,51901,48812,35123,106111,40291,48637,,76896,73947,74631,69736,98126,166214,138469,178154,294234,322425,,1639676,1504331,2483971,1541914,1629789,1535082,1848923,1851525,2137078,2463560
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",68504,55723,51938,41181,36561,36884,69714,46261,26720,46710,,11622,14005,93599,91211,90176,92449,73841,31700,35443,33311,,101100,92069,105411,91683,86365,70690,117388,100623,58421,80349
290124,"Buta-1,3-diene and isoprene",22883,10969,29102,30295,6862,42055,34874,20846,14415,40885,,402433,247938,395237,169768,93702,203975,258666,139041,91469,182662,,455866,218264,194914,110436,118929,214429,224094,196058,138208,196934
