Product code,Product label,"Taipei, Chinese's imports from United States of America-Value in 2012","Taipei, Chinese's imports from United States of America-Value in 2013","Taipei, Chinese's imports from United States of America-Value in 2014","Taipei, Chinese's imports from United States of America-Value in 2015","Taipei, Chinese's imports from United States of America-Value in 2016","Taipei, Chinese's imports from United States of America-Value in 2017","Taipei, Chinese's imports from United States of America-Value in 2018","Taipei, Chinese's imports from United States of America-Value in 2019","Taipei, Chinese's imports from United States of America-Value in 2020","Taipei, Chinese's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,23914794,25529479,27661298,26593187,27278708,28691093,33456185,35150696,33024793,39779622,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",2514915,2305359,2532691,2635956,3154342,3187518,3318969,3103304,3363391,4064888,,8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,152954,3332253,4012633,2615879,3888939,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,35750509,33573234,32096516,16069861,12910667,16836698,23346537,21326199,12624769,19889322
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,538921,922272,952061,907199,806985,1206807,1373372,1941538,2339442,2681570,,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564,,1527262,2218244,2460938,2350815,2806462,3739515,3857021,5399515,5740056,6798467
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,1999055,2135821,1895260,2241707,2531740,2208368,1422978,1803041,1491803,2134234,,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604,,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
999999,Commodities not elsewhere specified,713890,1703852,2538233,2827978,1470707,1515983,1223258,1311658,1280999,1401736,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
841191,"Parts of turbojets or turbopropellers, n.e.s.",91546,158480,193126,236072,411940,905229,1212945,1270567,1034383,1155626,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,118551,196292,226022,270985,458330,1002767,1451720,1471279,1252761,1382676
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,246427,256145,178010,344929,331300,306656,271437,536944,613965,1035032,,1241508,997969,785232,720361,621586,682309,922597,954447,723395,1000029,,594546,822646,541418,639030,792519,788195,680513,1160644,1406793,2047539
271111,"Natural gas, liquefied",0,6,0,61668,0,81716,113835,184469,325490,954436,,480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758,,9862571,9795381,9950352,6334058,4920209,6379084,7972160,7585048,5510295,10997299
854232,Electronic integrated circuits as memories,145871,102754,327780,335666,504212,948155,876939,869115,884781,943340,,6706999,6571676,5658997,4455963,3635717,4128720,3855285,2748638,2896225,2805928,,5573233,4818345,5431547,4931682,8295298,13264776,18157409,19234409,25586354,33781517
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",176365,195809,178768,169604,1515366,1298752,1234352,1273201,726890,738555,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,299582,315893,294812,301194,1961184,1754520,1666242,1771358,1036900,1079602
120190,"Soya beans, whether or not broken (excluding seed for sowing)",0,95216,761520,667560,516754,599260,902863,697847,568411,707123,,24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041,,0,98542,1346635,1167067,1015666,1072624,1070302,1026947,1039160,1496636
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",326739,198587,141406,266231,184275,113726,136310,182624,91070,551864,,1016883,748074,754799,773300,680437,845116,877429,1101074,765070,1484791,,401559,310146,254619,429130,292367,273412,312997,338515,403368,1097867
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",1285530,1011353,785320,338922,256473,308318,567371,450045,364313,538618,,7461989,5980647,4778570,2905548,2632621,3762471,4871135,3956157,3681491,6209698,,1935893,1535189,1391430,742595,593286,682172,1146204,886035,853510,1251239
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",342985,406276,418087,438417,381534,354802,395403,436502,469637,529896,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",353835,867048,1167865,281469,278121,400151,475050,461018,394004,525926,,71362058,77494233,73182815,47499586,37787038,48220810,55991243,53121693,33730560,42946188,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",0,113313,1052412,1464346,752246,496733,508326,596883,441637,475044,,2465048,1485234,3214942,1520109,1872014,847495,207149,577850,860362,800658,,512442,356952,1460406,1959960,1265843,1601586,1105064,726069,499460,652300
100590,Maize (excluding seed for sowing),364510,181963,477626,380982,472910,489840,652376,288925,169486,464547,,9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035,,1412870,1184532,1030069,873753,784068,846947,854314,978340,886651,1322745
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,227240,234116,254426,288475,307800,342699,384394,308739,436154,422242,,1477294,1354803,1525102,1603036,1458461,1365443,1428369,1437916,1455292,1431470,,577290,637429,744014,901109,1017849,1098679,1355096,1264550,1644104,1858594
20130,"Fresh or chilled bovine meat, boneless",36194,119462,142029,175595,192452,232228,290215,276636,315795,416992,,2363743,2695434,2902630,2487439,2521922,3157537,3434807,3299768,3372353,4406108,,111964,169739,205758,238943,259616,310304,386120,372248,423205,533228
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,288252,301197,318449,304504,308911,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
100119,Durum wheat (excluding seed for sowing),0,30674,313835,270046,232610,285770,253317,295388,331639,302420,,197511,260640,321862,274569,123967,100676,131057,206914,220446,127108,,0,36759,406167,349964,295248,350313,317376,311931,349519,376208
210690,"Food preparations, n.e.s.",219309,247757,256029,276822,279876,251330,259697,242958,242230,301414,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,487157,505972,534435,559427,586656,593092,669946,688011,674757,788143
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",81032,84739,125265,154087,215404,230900,290619,376791,365269,295493,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,1464910,1949245,2242929,2587409,2944413,3298631,3719970,3394451,3100539,2923107
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",181859,210368,212036,236945,237324,247335,261056,285439,286334,275428,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,541174,555874,558768,597116,602689,680336,618867,668118,781299,689013
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,57370,35231,171519,306228,270554,,0,0,0,0,0,3193768,3417659,7879129,6156647,4634088,,0,0,0,0,0,57393,35539,179638,322686,380001
841112,Turbojets of a thrust > 25 kN,14948,29892,17435,3612,212657,170842,286630,289032,232448,255472,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,15441,31654,32989,14124,263030,189575,367182,344879,238411,524851
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",101367,107668,102930,102582,105260,117747,119581,128358,137107,227203,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,194803,196899,192971,198299,208635,225983,233182,250997,270182,385778
