Product code,Product label,"Taipei, Chinese's imports from Viet Nam-Value in 2012","Taipei, Chinese's imports from Viet Nam-Value in 2013","Taipei, Chinese's imports from Viet Nam-Value in 2014","Taipei, Chinese's imports from Viet Nam-Value in 2015","Taipei, Chinese's imports from Viet Nam-Value in 2016","Taipei, Chinese's imports from Viet Nam-Value in 2017","Taipei, Chinese's imports from Viet Nam-Value in 2018","Taipei, Chinese's imports from Viet Nam-Value in 2019","Taipei, Chinese's imports from Viet Nam-Value in 2020","Taipei, Chinese's imports from Viet Nam-Value in 2021",Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,2302923,2624021,2557404,2510868,2744170,3123313,3704366,5285475,5527711,6155813,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",11296,32634,90161,379556,346727,330787,410642,524143,705467,853505,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,2568572,2866098,3009120,2989741,3208129,3876774,4943731,7676826,9666271,12114421
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",507702,566640,420201,97720,341883,419306,361865,403718,463061,432000,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,2103768,2479808,2872225,3327838,2740189,3303006,2927907,2912415,2864680,3412687
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,5419,6577,6307,6983,6934,8332,15197,75713,118856,406043,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,1259678,1320102,1551401,1386398,1557216,2822434,3181798,3817384,5197863,7454859
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",15161,23196,14118,10866,6779,53690,304058,1451492,1170748,323516,,240709,243335,549479,638003,511766,731846,779511,890103,736943,1279834,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,0,0,15,0,1966,127756,3913,1482,206370,,0,38,55,13,18,7228,207379,124142,385519,488263,,1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",19844,27101,42079,71122,106545,125522,114794,139850,127549,106207,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,68605,87978,126417,181383,246677,264460,248004,272757,237410,209623
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",7117,15277,10943,31783,42630,35309,10677,19454,50173,100442,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,1196710,1381708,911599,740109,732433,886993,632576,1336698,1568006,1574351
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",1815,58,110,71,1747,2566,4501,7921,13030,95683,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,119729,77017,70012,54625,60538,90773,120831,218645,307052,304757
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",3169,0,0,0,0,435,27986,10092,30300,90893,,12792,17564,38086,7444,3,4390,3844,123863,750139,1337445,,156740,117961,215909,79808,130579,154130,230415,204270,232936,549445
290243,P-Xylene,0,0,0,0,0,0,11013,25812,85039,65848,,0,0,0,28,0,0,265347,371426,319099,302914,,2046852,2007903,1389607,953011,920659,1142416,1728913,1609898,895212,1401277
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",736,1562,3338,1658,4059,8478,7779,10490,18604,61382,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,563456,668304,695530,699228,1074085,883641,1006859,1192546,1416813,1882044
760120,Unwrought aluminium alloys,0,3275,19353,12097,10873,24034,56275,24414,28342,61164,,22838,29809,46098,111295,121522,218765,345266,317829,430406,618664,,485812,544253,651951,594990,456125,586034,750627,569989,487625,949679
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",630,528,250,3167,10362,16470,21501,18869,18005,59606,,138745,159222,253847,273367,280019,301222,371417,344818,287514,559587,,34223,44432,40613,66056,73441,92228,90155,74265,73572,172804
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",43633,47740,56097,64883,57073,49916,49873,57666,70789,58281,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,168463,165137,189848,202774,185498,165538,159917,180017,183310,195096
400129,"Natural rubber in primary forms or in plates, sheets or strip (excluding smoked sheets, technically ...""",105238,69052,45720,30851,32860,45160,31929,34117,32307,57475,,26634,8073,2129,1279,713,1059,744,420,2136,103572,,282986,201690,151144,102302,93418,133444,99029,94000,86515,108403
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",500,0,12,0,0,2020,8019,16850,18493,54886,,36695,29065,16634,25611,21528,126841,257222,177633,343884,592029,,174096,155679,132133,84057,100069,134306,172193,166697,165908,387306
840290,"Parts of vapour generating boilers and superheated water boilers, n.e.s.",566,0,52,79,0,0,0,0,31197,51681,,72481,83174,115882,53037,40024,70827,83626,101956,157527,83412,,13877,20293,90216,66063,96377,55293,8063,23205,48011,62389
999999,Commodities not elsewhere specified,3490,7244,13621,12758,14233,15135,19641,27480,40209,46291,,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
290220,Benzene,0,0,0,0,0,0,0,29488,43577,45783,,602,253,39,23,14,8,60028,70496,62627,89294,,720451,952451,961942,506270,505297,606567,655750,600353,443901,706968
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,15708,18138,20524,28788,27542,28870,30665,44677,50384,42664,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,107431,111062,123301,135506,121986,115832,101571,115715,116099,108777
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",0,0,2195,623,63,846,1631,1579,31719,41409,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,183477,108792,88351,91572,70019,72128,75302,61091,84844,73630
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",4186,6154,11990,15290,19093,37093,42961,47185,30762,39573,,60245,78253,88158,111119,129482,147254,219952,258678,270154,281732,,404090,400094,392409,433375,335189,334287,368237,370572,326606,464267
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",15237,14060,16499,21715,21764,20235,23577,30064,30039,36991,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,130559,115207,129477,141905,155403,153974,183623,201723,196774,215308
