Product code,Product label,United States of America's imports from Australia-Value in 2012,United States of America's imports from Australia-Value in 2013,United States of America's imports from Australia-Value in 2014,United States of America's imports from Australia-Value in 2015,United States of America's imports from Australia-Value in 2016,United States of America's imports from Australia-Value in 2017,United States of America's imports from Australia-Value in 2018,United States of America's imports from Australia-Value in 2019,United States of America's imports from Australia-Value in 2020,United States of America's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,9673226,9203540,10765046,11213392,9785914,10299601,10326781,11084638,14676613,12783896,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
711890,Coin of legal tender,0,0,0,256820,229333,133146,161490,98669,348608,917899,,755562,1009486,640719,630877,735766,518517,609248,600536,1032862,1939936,,0,0,0,1876661,1945862,1085722,946980,904150,2162406,4088409
999999,Commodities not elsewhere specified,724831,619953,731605,767944,866032,875690,811952,870053,930772,759566,,10044824,8777678,8032952,7321442,7391488,8467782,7940698,7904342,8017722,11432602,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",297686,292856,327695,278189,394618,218144,71460,77525,1852280,732528,,2394,4840,3696,3967,1912,2565,2581,5290,3846,5404,,946814,1156877,1182236,1567258,1674670,741244,1032094,1610412,26319643,9785545
20130,"Fresh or chilled bovine meat, boneless",240514,264162,508093,758752,524426,512910,524631,574524,621055,622648,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,1269933,1328900,2045061,2486568,2253482,2268275,2465669,2838602,3001432,3960336
300212,Antisera and other blood fractions,0,0,0,0,0,444419,679449,976044,962688,573217,,0,0,0,0,0,522465,837114,1467178,1465852,675615,,0,0,0,0,0,5280906,5714407,5629771,5826529,5402681
20230,"Frozen, boneless meat of bovine animals",845312,796815,1560010,1783280,886812,821748,796282,899356,881701,539169,,2828207,3370846,4371609,4277980,3075554,3223065,3694760,4468083,3749032,3750481,,1920921,1926425,3011484,3456925,2197306,2186272,2185870,2119546,2655217,2593743
20422,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)",174206,184393,216448,216179,219215,239394,264470,288340,306233,412008,,353441,390211,443252,409501,398503,429216,493262,522994,547385,692770,,239958,250806,281466,278138,278460,311511,348967,370461,382908,507798
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",121587,5731,3669,8076,38118,7359,37911,56066,2337616,359756,,856588,475882,150880,15695,26504,85553,143538,123102,1464776,2493025,,15878902,14159607,12882164,10176541,15304604,10677013,9149323,9337012,29995655,11119238
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",325520,329734,381787,348843,355756,431780,239304,256225,257210,342949,,498136,514572,577887,601850,643442,670865,600955,620908,514200,697923,,1653900,1725155,1894532,2012698,2089995,2298105,2333195,2675653,3447586,3213983
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",342247,440556,488334,438463,417207,430562,434943,487199,367955,281268,,878744,1097308,1169065,1232546,1191811,1353728,1351843,1384141,1110680,866953,,12106270,13234073,15261785,14589061,14602368,14495816,17058732,18234050,12262392,10308209
902140,Hearing aids (excluding parts and accessories),168122,139913,96314,63296,139983,247144,246707,262230,214092,273523,,234353,185055,173636,176791,108941,30536,28076,21565,13668,24489,,1059661,1080654,1017956,1102506,1212958,1409092,1560339,1579829,1381879,1958747
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",475514,464555,418575,408104,376269,356378,311222,306769,287252,271631,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,4035392,4301310,4349460,4333362,4369575,4565911,4773627,4706025,4209152,5011333
