Product code,Product label,United States of America's imports from China-Value in 2012,United States of America's imports from China-Value in 2013,United States of America's imports from China-Value in 2014,United States of America's imports from China-Value in 2015,United States of America's imports from China-Value in 2016,United States of America's imports from China-Value in 2017,United States of America's imports from China-Value in 2018,United States of America's imports from China-Value in 2019,United States of America's imports from China-Value in 2020,United States of America's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,444386004,459107864,486296238,504041702,481369890,525748647,562700012,470950852,456449466,541547291,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",41784542,40170773,39150123,37197170,34072362,37672427,37905867,37815104,47727936,56648710,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,44118432,43235338,42589984,39807140,36356774,40393506,40173035,40818542,51636353,60802219
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",33462591,37833335,42163959,40713202,37367587,44954072,44264019,39600243,39051320,48840007,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,44088553,50046790,53317172,53049348,50161401,56403427,53921021,54642749,49453039,61659011
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",9888565,10034302,10892266,12181641,12629019,12876066,12525339,12893638,11705054,15945501,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,11546318,11742799,12788811,14236048,14596371,14969707,14744931,15288252,14352993,19680481
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",11039694,12085961,13455457,17097547,19317167,23207944,23891233,16773998,12122239,10416252,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
999999,Commodities not elsewhere specified,4475884,4633240,4532333,5604941,5503786,6236376,7037068,8709815,9819595,9951382,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
950450,Video game consoles and machines (excluding operated by any means of payment),4770581,4709840,4587716,4741480,3572996,4531716,5401558,3503814,5071196,8992142,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,4977060,5035759,4689239,4827607,3706113,4709078,5537819,3981751,6327514,9924937
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,4713873,4752911,5234398,4930258,6641097,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,0,5496265,5651546,6124508,5849909,7833725
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,8780587,8981308,10853271,11032363,10410536,15213138,16662937,5682217,6923016,5976689,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,14582107,15746930,17475530,16901297,15459911,22213694,27343247,18886041,23315430,29874393
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",2250134,2310748,2383674,2679450,2602111,2891322,3444371,3798314,4160234,5031027,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,5675487,5906734,6269066,6677328,6707960,7387174,8219633,8721334,9164364,11202232
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",2302507,2339179,2491949,2780208,2848833,2963854,3155283,3362315,16774590,4750555,,3489427,3971765,4425576,4648290,4461880,4636591,5132255,5445655,53751194,11949763,,3163732,3230024,3422109,3750713,3879461,4013972,4280808,4627138,19825849,6598213
850760,Lithium-ion accumulators (excluding spent),538198,647249,752274,840821,977207,1068423,1509127,1857524,2104229,4472881,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,1306942,1707471,1729944,1718175,1997259,2568701,3224108,3691381,4823512,8265629
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",1327899,1243749,1414048,1556485,1535888,1662968,1781921,1788479,2973801,4211662,,3960322,4115727,4570645,4546777,4135731,4365155,4661576,5106461,9276045,11452382,,1785552,1710410,1916711,2114494,2136995,2335327,2551888,2727950,4285025,6450703
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",2802518,2987480,3137808,3432872,3501612,3882280,4497598,3527444,3203182,4126263,,7556079,7915238,6974962,6944367,6437914,6782631,7920782,8476989,10007413,11083858,,3982383,4252851,4575462,5073331,5153635,5500760,6255293,5721665,5834298,7628194
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",2891501,3230529,3429018,3887372,3961523,4337237,4768075,3448942,2800637,3823643,,5785176,6346436,7284550,7484281,7714444,8197437,8783814,7717648,7631375,8897566,,3822580,4228783,4576409,5226186,5477935,6269505,6954660,6519082,6792620,9936249
850440,Static converters,3795626,4184063,4611775,4899337,4564175,4741848,5229445,4087482,3416592,3745475,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
392410,"Tableware and kitchenware, of plastics",1833316,2029832,2208239,2283490,2211634,2235797,2533014,2833529,2850298,3737238,,2493889,2896864,4123178,5159923,4869597,5030694,5635832,6247633,6597532,7971596,,2379525,2537846,2751588,2894002,2793807,2841276,3161596,3556476,3625046,4742507
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",472067,579177,698849,888946,1371711,1945120,3033866,3077140,3451758,3736242,,1308539,1648806,2044379,2257914,2711307,3495360,4711873,4999789,5698226,6152268,,852865,1024707,1154964,1330502,1856262,2381050,3504278,3656039,4182862,5277207
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,1247157,1203416,1216993,1185588,987779,1151249,1201814,922088,2835664,3344687,,2441153,2475238,2484049,2498666,2211797,2496904,2584765,2239346,6403687,5036812,,1442206,1368630,1365271,1321810,1134075,1368985,1468323,1181100,3300560,3763351
950510,"Christmas articles (excluding candles and electric lighting sets, natural Christmas trees and ...",1808622,1902048,1976773,2061368,2106909,2265857,2494702,2724726,2604864,3303683,,3178804,3322895,3421239,3658383,3088688,4298787,4226130,5207228,6089559,9446266,,1943432,2052680,2128958,2223683,2280902,2456045,2685485,2941972,2825507,3609532
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",1800432,1938884,1979332,2088122,1984789,2110005,2320649,2501017,2494742,3205510,,5809829,6020386,6129462,6089210,6005525,6399667,7032694,7408333,7084399,7919140,,2166855,2332027,2402707,2556853,2514735,2658330,2891104,3130203,3209844,4370903
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,2369688,2487609,2640124,2996223,2892857,3126139,3178984,3110531,2043827,3136868,,7467435,8780149,10993331,12069145,11630416,12670263,12816140,12585823,9410316,11213156,,2599981,2791374,3047083,3553827,3610570,4089532,4531945,4712490,3551474,5304701
852580,"Television cameras, digital cameras and video camera recorders",2898933,2342131,2237052,2314732,2298692,3047301,3502993,3325212,2848269,3043522,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,7564906,6114185,5554187,5771063,5850694,6796285,7530877,7750915,7597446,8863485
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",1598654,1620514,1682575,1808999,1809619,1853583,2072854,2291385,2370629,3002189,,1360391,2112667,3003687,3331987,2950663,3301840,3595118,4002905,4922246,5739144,,2098258,2172832,2269089,2426758,2432749,2461012,2638955,2886520,3025021,3805588
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",187318,192123,206517,208889,229814,262742,275326,258628,820623,2882912,,288379,289265,309725,291577,290506,341919,383333,416498,2139421,4352737,,1854531,1815576,1749866,1892321,1743125,1979616,2270277,2367918,4197442,10351937
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",1782586,1946328,2029470,2155882,2051621,2256732,2437302,1972685,2151665,2875665,,3154354,3205692,3229481,3216431,2840974,2869234,3125428,3065263,3093248,3892431,,1986479,2165815,2278149,2423700,2321294,2571994,2789749,2382237,2596942,3540292
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",1399543,1487859,1449617,1195994,1030485,969539,1159489,1582976,1966332,2821700,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,1627048,1722839,1700738,1470223,1340329,1304393,1532607,2000388,4073756,6182443
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,4171593,3968941,3647424,3515381,2892205,2780883,2753507,2586858,1778438,2633225,,14434322,17745974,21317092,19635870,17298639,17169304,15753113,16093709,12612203,15866804,,5152550,5080891,4956211,4971604,4345197,4292479,4287955,4164552,3244699,4630440
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,1340283,1622198,1776062,2059277,2007690,2263413,2633733,2232420,2191352,2602481,,2858669,5125370,8141117,8673030,6789660,7002180,8134915,8834502,9886214,11751888,,2539791,2981959,3450833,3846817,4067342,4402664,4807256,4329453,4243320,4917815
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",2001864,2238936,2537710,2697899,2583099,2781515,3287916,2507130,2242076,2561977,,7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557,,3905673,4231521,4708819,4837368,4656103,5039275,5779696,5402347,5445490,6661052
