Product code,Product label,United States of America's imports from Germany-Value in 2012,United States of America's imports from Germany-Value in 2013,United States of America's imports from Germany-Value in 2014,United States of America's imports from Germany-Value in 2015,United States of America's imports from Germany-Value in 2016,United States of America's imports from Germany-Value in 2017,United States of America's imports from Germany-Value in 2018,United States of America's imports from Germany-Value in 2019,United States of America's imports from Germany-Value in 2020,United States of America's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,111298413,116406340,125532375,127253591,116287929,119968194,128334752,129912049,117360598,138240857,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",10729611,11889031,11775637,12947174,15381646,15310525,13934701,13833948,9195551,9206484,,49549329,49490603,55114290,50015861,57000805,61580286,63825427,59214131,41983618,39686075,,75908710,83857896,85074186,98665410,107652445,103279664,105579949,104823246,81634751,76361847
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,1376893,3794173,6152286,9691664,7815030,,0,0,0,0,0,17544825,21685506,20062331,22519737,26220126,,0,0,0,0,0,7927894,14091390,21007279,29661647,35386544
999999,Commodities not elsewhere specified,3501956,3707845,3892522,4963386,5431266,6049416,6715058,7632147,5848617,7159530,,59373193,63816786,70174563,64670995,63831190,58021514,60664181,57559330,46910555,63274483,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",5005966,4688153,4755337,5392276,4929603,4390829,5219193,5072323,4778442,6569426,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,34564946,34131920,39779651,48169267,51344092,50655121,56258767,61153335,63004514,65589732
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",12504575,12903524,12937109,12351273,6062568,4541321,3852329,3443057,2234357,3667988,,25610269,24337337,23652624,20546139,12635772,11133488,11728888,9563592,7098435,8647351,,66060507,62626915,60847022,58263034,50612821,47621466,39650709,37906084,30137642,33601887
300220,Vaccines for human medicine,134423,185744,288532,158631,210392,221889,261166,209746,256715,2604719,,1009501,854203,1080742,553335,506218,415229,651160,506121,565295,11667170,,1736984,2731481,3566089,5478143,4057104,5053923,5761899,7286070,7449162,8368395
711031,"Rhodium, unwrought or in powder form",24033,30850,23781,21932,6087,30041,211400,357728,1159945,2356438,,166187,117327,118900,108033,87914,185092,512700,902684,2505367,4630323,,505420,342941,387089,331684,218714,380415,979368,1635004,4357402,9156283
300212,Antisera and other blood fractions,0,0,0,0,0,1271559,1780436,1869205,1874881,1955437,,0,0,0,0,0,5358113,5138299,5884279,6326943,7034236,,0,0,0,0,0,5280906,5714407,5629771,5826529,5402681
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1385062,1709535,1857012,1903881,1781233,1622521,1515358,1348460,1201387,1949628,,11185359,12696454,14261488,12503976,13295930,15166537,16698136,16123393,14889434,17129914,,9382364,9626889,9913906,9599182,9807129,9830606,10080594,9319174,7913421,9706678
