Product code,Product label,United States of America's imports from India-Value in 2012,United States of America's imports from India-Value in 2013,United States of America's imports from India-Value in 2014,United States of America's imports from India-Value in 2015,United States of America's imports from India-Value in 2016,United States of America's imports from India-Value in 2017,United States of America's imports from India-Value in 2018,United States of America's imports from India-Value in 2019,United States of America's imports from India-Value in 2020,United States of America's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,41904468,43217508,46985468,46668862,47732038,50518071,56373209,60139434,53580200,77020269,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",5404391,7421888,7734276,7530950,8812558,8435717,9308845,8140193,6363135,11009061,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,19657088,23009278,24611853,23603753,23532415,22072839,23802214,19826647,12204519,19726612
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",3591546,3761517,4001802,5045813,6519133,5257891,5400604,6410840,6710151,7549142,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,34564946,34131920,39779651,48169267,51344092,50655121,56258767,61153335,63004514,65589732
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",1138636,1166206,1206947,1327247,1525554,1452731,1517473,1642194,1460343,3175983,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,4854946,5233169,5555897,5897064,6999673,7455219,7063724,7289230,6349778,11852296
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",556696,975849,1311760,1227423,1438649,2034833,2055066,2375481,2020881,2688538,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,3311513,4133623,5386569,4262614,4565437,5182865,4846075,4813777,4872519,6357519
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2465226,2900186,2775566,1730153,1578136,1609875,1813876,2169071,1298167,2207016,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,37470538,34317719,28288628,20462621,18008855,19757256,24627426,25635102,13150909,26296759
999999,Commodities not elsewhere specified,546566,518148,429142,615769,637285,784686,795732,935636,808053,1212195,,2527225,5013624,959798,2293003,820957,277469,178658,212037,99582,88618,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",615821,623415,667823,739104,739969,769962,771401,770274,739790,1093785,,674542,882652,957093,1002711,1046479,1031143,1057647,1081611,1009155,1014706,,1856069,1911822,1974106,2060667,2006356,2115196,2110270,2062497,1866205,2612480
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",784695,869164,813932,810918,805309,843227,806823,800630,725458,1092565,,276036,156849,158866,217638,261856,317749,287146,243868,196684,855186,,1597825,1734891,1648329,1638381,1560479,1616047,1596112,1556896,1326329,1859498
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",5590,4996,2529,6864,23133,68740,97934,249324,487757,1073753,,26520,20966,27536,33929,86848,217225,262850,449645,532594,1188457,,38306,40757,33069,32223,76061,174201,245772,422723,604209,1207094
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",868401,1136124,1959077,1047462,919013,999434,1158455,1541963,652008,1004109,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,54310665,53926575,50200834,30693930,23011044,28124747,36709061,36239052,23280338,37783340
850440,Static converters,108944,72656,76942,106433,92739,100839,131938,214104,430671,643564,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
