Product code,Product label,United States of America's imports from Japan-Value in 2012,United States of America's imports from Japan-Value in 2013,United States of America's imports from Japan-Value in 2014,United States of America's imports from Japan-Value in 2015,United States of America's imports from Japan-Value in 2016,United States of America's imports from Japan-Value in 2017,United States of America's imports from Japan-Value in 2018,United States of America's imports from Japan-Value in 2019,United States of America's imports from Japan-Value in 2020,United States of America's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,150447023,142136718,137503838,135106465,135071179,139725457,145685070,146922199,122470639,139389858,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",21652003,22719176,21025993,22975215,26861535,24855479,24129730,25190474,20275222,18675218,,50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856,,75908710,83857896,85074186,98665410,107652445,103279664,105579949,104823246,81634751,76361847
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",13850586,13342310,12404446,12116776,10722470,10995484,10875410,8983239,7945010,8716790,,28739068,26481116,24971924,23414386,21565608,20408888,21883156,18150073,14150839,15219267,,66060507,62626915,60847022,58263034,50612821,47621466,39650709,37906084,30137642,33601887
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,3204508,2642292,3448493,3485470,3855581,,0,0,0,0,0,10710065,11071157,16315948,18239044,19084523,,0,0,0,0,0,5886826,5492805,8125843,8071878,10181836
999999,Commodities not elsewhere specified,3768065,3531513,3450939,3824779,3350556,3408920,3862222,4323664,3526856,3758008,,35510098,35791397,35844356,37085260,38221709,44060363,45598508,44943815,41066512,50409214,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,514619,755046,1481747,2454863,3215435,,0,0,0,0,0,575071,643971,682523,1665821,1641918,,0,0,0,0,0,7927894,14091390,21007279,29661647,35386544
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",2800252,1943694,2137259,2102705,1995963,2058629,2564654,3024588,2054351,2743292,,8796642,6274793,6302923,5436446,5964075,6953668,7957695,7455007,5856728,8248127,,4100617,2888048,3077489,3004259,2626609,2942900,3749377,4356637,2865056,3783580
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",3604162,3226512,3044665,2931341,2649817,2608299,2635253,2632063,2299312,2608164,,11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707,,10904014,10755932,10292591,9783690,9229471,9104224,8864557,8429592,7371311,9321931
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",3922835,3445181,3158841,2395087,2728960,3374692,3211433,2668406,2046606,2443019,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,9382364,9626889,9913906,9599182,9807129,9830606,10080594,9319174,7913421,9706678
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",503160,401754,413392,930213,1398805,1364763,1609561,2361080,2042504,2369517,,1420010,1364645,1333085,1868063,2221532,2483862,3323493,4209092,4223491,3815356,,34564946,34131920,39779651,48169267,51344092,50655121,56258767,61153335,63004514,65589732
