Product code,Product label,"United States of America's imports from Korea, Republic of-Value in 2012","United States of America's imports from Korea, Republic of-Value in 2013","United States of America's imports from Korea, Republic of-Value in 2014","United States of America's imports from Korea, Republic of-Value in 2015","United States of America's imports from Korea, Republic of-Value in 2016","United States of America's imports from Korea, Republic of-Value in 2017","United States of America's imports from Korea, Republic of-Value in 2018","United States of America's imports from Korea, Republic of-Value in 2019","United States of America's imports from Korea, Republic of-Value in 2020","United States of America's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,60997693,64611252,71745454,74064956,71888186,73420731,76183626,79939067,78358655,98820522,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1141225,1528620,1820970,1851612,1327039,2663546,4966587,4234912,5954163,7635976,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,14582107,15746930,17475530,16901297,15459911,22213694,27343247,18886041,23315430,29874393
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",9097907,8830263,10456296,11861822,11077408,8769215,9326594,9925519,8536170,7333468,,27767857,27237499,27337065,24060624,22007933,19133730,19612091,19701460,15352522,16416185,,75908710,83857896,85074186,98665410,107652445,103279664,105579949,104823246,81634751,76361847
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",327488,418709,633364,696032,1036596,977383,855704,1605905,4118725,5098833,,776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352,,2339852,3011260,4208390,5315338,6844585,9370808,10075887,9790173,13434569,14828321
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1657943,2328449,2870465,3597767,2709709,3803537,1331639,2380652,3263954,4573539,,2744367,3640016,4505947,5145696,3608637,4118844,2632673,3810287,4117174,6135106,,66060507,62626915,60847022,58263034,50612821,47621466,39650709,37906084,30137642,33601887
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",187542,1256886,1528043,2078282,2446266,2036029,2539712,2787919,3592072,3263982,,4315463,5974465,6274632,6286163,5993315,5679410,5679139,5394697,5259587,4976938,,3719525,5160196,5653923,7066582,11027363,16084005,20867646,20863254,18258919,14705796
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2799328,2539861,2837523,2697044,2162721,2658440,2911636,3888447,2178774,3111195,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,54310665,53926575,50200834,30693930,23011044,28124747,36709061,36239052,23280338,37783340
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",1066108,1129035,1084964,1124545,1117958,1081177,963652,1240137,1578682,2355750,,2106784,1947273,2027527,1839671,1750696,1628670,1326131,1481253,1863746,2736438,,3585729,4089354,4219589,4658825,4870651,5049949,5210950,5204113,5897353,7756268
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",4563470,6109040,6535147,6398236,6308694,5592842,3848860,3720741,1344973,2064221,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,44088553,50046790,53317172,53049348,50161401,56403427,53921021,54642749,49453039,61659011
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,940004,756551,643335,625760,1749800,,0,0,0,0,0,2697530,2472623,2690724,2529905,4674060,,0,0,0,0,0,5886826,5492805,8125843,8071878,10181836
999999,Commodities not elsewhere specified,966342,1287018,1009498,1407999,1265844,1384091,1492874,1457093,1470765,1627611,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
850760,Lithium-ion accumulators (excluding spent),188069,210061,168112,109941,220294,582840,775734,736972,930029,1425355,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,1306942,1707471,1729944,1718175,1997259,2568701,3224108,3691381,4823512,8265629
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,452813,625112,740314,1055783,1397768,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,7927894,14091390,21007279,29661647,35386544
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1818882,1694015,1520359,1307386,1281617,1385138,1377776,1327753,1235695,1311846,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,7856263,7266213,7246273,6896241,7009125,8287851,8526997,8026172,7731995,10504769
