Product code,Product label,United States of America's imports from Russian Federation-Value in 2012,United States of America's imports from Russian Federation-Value in 2013,United States of America's imports from Russian Federation-Value in 2014,United States of America's imports from Russian Federation-Value in 2015,United States of America's imports from Russian Federation-Value in 2016,United States of America's imports from Russian Federation-Value in 2017,United States of America's imports from Russian Federation-Value in 2018,United States of America's imports from Russian Federation-Value in 2019,United States of America's imports from Russian Federation-Value in 2020,United States of America's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,30232471,27851650,24465063,17169926,15292785,17776033,21570691,23174692,17771592,30762303,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",16540547,16672652,11993907,7182270,5835201,5842881,6940140,8131552,7056424,10765599,,88245886,91776552,93595475,53088209,35192532,45335013,61357826,52726494,35405155,54277319,,54310665,53926575,50200834,30693930,23011044,28124747,36709061,36239052,23280338,37783340
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",4092108,1887230,774041,785745,685580,978497,2077152,3499666,1414730,4842682,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,322024504,279485062,253228702,132603443,108092133,139299866,162751066,132345669,81821051,138383896
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1277300,1412413,1554364,1007596,1186808,1168737,1618626,2091102,1013832,2445244,,15377855,17638570,22212195,12524204,10759136,12909371,16750754,14160911,9954896,15688290,,37470538,34317719,28288628,20462621,18008855,19757256,24627426,25635102,13150909,26296759
711021,"Palladium, unwrought or in powder form",355416,351221,326480,369177,437326,731536,1042780,1368936,1612159,1589386,,1463889,882242,448250,662655,1785805,2448253,2808706,4255992,6448950,6540675,,1378046,1572152,2021587,1676543,1356450,2090181,2705719,3189564,3413887,4156673
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",686134,654708,869541,663151,582118,1011908,1317479,790756,569191,1197550,,1679985,1539575,1625894,1294129,1115729,1587963,2116325,1345114,1229130,1876974,,1976917,1687499,1913596,1367563,1008849,1855557,2493279,1830313,1565198,3416632
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",176542,235703,262477,259018,345749,383406,471681,590323,825020,1105949,,215194,242334,383383,319658,416832,556322,669282,920656,935827,1639113,,651149,848215,867905,868187,1029419,1204743,1229958,1461524,1673678,2729110
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",906098,725733,1531770,616687,539567,915414,995942,305077,42828,926528,,5072629,4036196,4157145,2436313,2534118,3619482,4508846,3151507,2167396,6101816,,3823875,2981355,4392512,2132494,1582433,2544968,3023718,2313470,1443667,4160394
711031,"Rhodium, unwrought or in powder form",37601,21043,34530,32604,20908,35142,74631,126184,455850,672548,,96975,76372,105007,74249,60942,80381,131096,227995,671966,1124216,,505420,342941,387089,331684,218714,380415,979368,1635004,4357402,9156283
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",854372,960438,888139,862644,1033669,639864,666326,584774,568190,645728,,9,89,131,0,0,0,0,0,0,0,,3684504,2909539,2348056,1881117,2239875,1405197,1738103,1716389,1740089,2182119
