Product code,Product label,United States of America's imports from Saudi Arabia-Value in 2012,United States of America's imports from Saudi Arabia-Value in 2013,United States of America's imports from Saudi Arabia-Value in 2014,United States of America's imports from Saudi Arabia-Value in 2015,United States of America's imports from Saudi Arabia-Value in 2016,United States of America's imports from Saudi Arabia-Value in 2017,United States of America's imports from Saudi Arabia-Value in 2018,United States of America's imports from Saudi Arabia-Value in 2019,United States of America's imports from Saudi Arabia-Value in 2020,United States of America's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,57327162,53100430,48352776,23359963,18009132,19612956,24619663,13824883,9519279,13930635,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",55590108,51551885,46087914,21650056,16608225,18184828,21873567,11494449,7561727,8992010,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,322024504,279485062,253228702,132603443,108092133,139299866,162751066,132345669,81821051,138383896
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",255802,209118,1021548,163120,115665,102032,859299,694355,345131,1645854,,3367498,2402657,2837271,35895,882970,3901,3457,0,0,0,,54310665,53926575,50200834,30693930,23011044,28124747,36709061,36239052,23280338,37783340
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",7374,0,0,2860,0,0,289246,189235,134335,747403,,19361542,16654561,22949962,24020889,9738412,31705439,0,0,0,0,,37470538,34317719,28288628,20462621,18008855,19757256,24627426,25635102,13150909,26296759
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",0,0,0,0,1160,37859,108628,253995,255423,300969,,247,626,474,1673,5662,5998,8120,8441,340567,28162,,1858098,1834661,2094562,2572792,2400085,3119456,3673993,3879448,2282682,3270843
999999,Commodities not elsewhere specified,171022,167918,173607,439338,313912,248229,244915,263820,277160,287678,,58175,53598,44142,326278,238820,161601,231751376,202382227,131993296,206072415,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",0,0,0,0,0,5602,19109,38877,67238,282621,,522,48,0,0,0,87,0,0,0,1030204,,52541,74640,232228,290471,212872,286029,491014,458326,309211,854859
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",205398,174353,225642,191354,171931,138280,186860,154869,141182,246036,,1326107,1018839,1103896,1048634,861350,901283,1227489,1101423,1155233,1720655,,3355213,2616918,2977335,2649994,1749174,1515984,1599322,1450606,1189482,2570329
290243,P-Xylene,0,0,0,8799,17286,0,0,35128,163144,206277,,6149,9963,32722,145258,45450,40719,634621,1004520,484083,805708,,386766,404939,346377,358614,409242,309906,394590,440614,517696,659836
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",0,0,0,0,0,5788,17825,56071,30029,186207,,245,0,0,39,0,19,0,0,0,618424,,289466,354640,479299,300203,334422,407460,770263,718003,365378,717176
390210,"Polypropylene, in primary forms",859,0,547,4046,53943,31896,59911,49204,6874,94604,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,205594,212059,260321,309582,439133,329523,488065,440541,294677,789203
291614,Esters of methacrylic acid,0,0,0,0,0,0,801,41888,8818,92957,,0,0,0,0,0,19692,313948,339597,412384,429868,,108853,123839,115168,106902,95891,175946,220417,201298,137819,421689
290220,Benzene,10665,11618,12204,25892,0,1477,13118,4329,27607,55088,,11376,81219,0,257,3300,8477,310448,77647,35384,95171,,1643666,1787966,2325548,1450424,1017211,1133675,1316555,1049565,680987,987414
730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excluding ...",108118,76787,63082,61874,10359,77024,85278,88192,21333,54685,,8313,11139,13551,8592,14903,5223,17296,53142,30359,13160,,2902155,2218627,2710108,1803297,757680,1767709,1976229,1364453,521615,1333258
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",34292,38414,39163,26138,26081,29640,26360,30348,31917,51328,,19512,10248,28823,26141,5967,14770,49479,77423,69256,142109,,300573,306037,355787,349102,317231,317851,324538,321478,322605,449426
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",0,0,0,0,0,8,0,7,21992,50743,,247932,229539,227640,202476,180679,159003,196492,94703,121784,184056,,192921,171382,172843,158096,192029,167573,249467,272380,713827,1223655
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",55874,67317,37391,43677,34652,56176,31494,30553,52212,42133,,0,0,59,0,0,0,186,0,0,0,,977556,948718,1098020,901833,823398,1061415,1073590,1107659,1518949,2382439
290531,"Ethylene glycol """"ethanediol""""""""",337751,280246,119770,152215,105501,177936,251392,50838,21046,39633,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,1056041,1024792,864575,753771,579445,663693,806884,417708,262196,245687
291411,Acetone,0,0,0,0,0,3646,4599,0,0,35399,,54305,57506,68084,38134,26110,64598,123838,106660,121881,213715,,35397,74253,128968,76077,58398,125059,183728,75514,49998,155299
540490,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent ...",1680,4838,5795,7985,12984,4984,10271,13224,21508,30116,,3091,5884,7577,17406,600,22,1242,1111,246,13564,,66658,89805,93600,110277,94830,80850,105658,114847,113630,142864
252310,Cement clinkers,0,0,0,0,0,0,0,0,0,27043,,2664,0,0,0,0,2222,98990,176403,103970,160807,,67570,72329,67534,44375,69932,103531,119529,123031,141540,164976
291532,Vinyl acetate,0,0,0,0,4197,10141,37,196,22,26811,,337647,340908,477080,258518,259614,192958,256932,309259,318036,488563,,114,21,18449,3802,15775,43799,27723,5874,10080,55684
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",239,295,316,25,35,0,1756,5686,14054,25232,,49049,48280,41658,30133,22003,14736,35955,53891,46676,106712,,1207006,1343178,1439104,1519122,1442980,1488168,1619626,1565888,1591487,1930035
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",0,0,836,14669,16489,11888,8667,7716,3200,24231,,3882,6282,21750,38085,34677,41202,50401,37545,32136,59678,,30288,54347,70797,83385,72102,73910,86210,55414,43074,93821
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",0,0,28,404,872,1402,1802,10058,18321,23132,,11472,16289,12601,80985,41591,52121,53954,58869,70240,77543,,106909,120963,132965,142033,153594,145387,160038,175649,206636,223453
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",955,2360,2978,4750,18753,11125,21618,16936,19947,21273,,34100,52812,56574,52128,62401,52928,73947,89066,109736,125264,,1103356,1140034,1261485,1226894,1171890,1261907,1298746,1287252,1274969,1502327
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",8,6,0,2,11,8,2,1201,16450,19500,,550,480,582,1031,1509,1844,1925,1785,984,258,,3163732,3230024,3422109,3750713,3879461,4013972,4280808,4627138,19825849,6598213
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",0,369,5,1067,77,0,0,0,11732,15885,,168413,138056,134730,167015,100019,93908,144105,133174,173820,101772,,1814041,1937079,1973460,2728281,3108571,3085085,3215045,3413691,3509957,4654092
731700,"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ...",0,0,31,64,311,267,3420,10996,4907,14269,,840,809,1048,1226,2242,1865,7614,4378,2012,18485,,780798,772165,788551,819451,759758,819557,1052908,917509,884940,1296734
290513,"Butan-1-ol """"n-butyl alcohol""""""""",0,0,0,0,1085,4988,5637,4441,2602,14070,,0,3126,13487,623,6036,13220,1844,740,553,11425,,8085,14329,59212,8726,3386,8464,8554,9473,9551,22609
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",55632,68663,78548,43970,29510,48255,43045,8473,450,12906,,0,108,15645,19104,9932,862,8342,384,791,717,,182207,203911,247538,187043,129066,165714,155788,93865,68286,104805
292212,Diethanolamine and its salts,3880,19819,29916,22142,17439,1178,9456,15921,10457,12041,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,42793,92211,76079,61541,53240,44771,63955,51406,48252,51816
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,0,0,0,0,623,2287,3629,11549,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,192282,158279,188032,170928,171474,155517,149957,139007,115923,151601
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",3016,0,0,2301,7730,0,0,5223,20759,11159,,25792,6135,50154,69198,98229,228216,261035,111901,51491,96828,,3311513,4133623,5386569,4262614,4565437,5182865,4846075,4813777,4872519,6357519
