Product code,Product label,"United States of America's imports from Taipei, Chinese-Value in 2012","United States of America's imports from Taipei, Chinese-Value in 2013","United States of America's imports from Taipei, Chinese-Value in 2014","United States of America's imports from Taipei, Chinese-Value in 2015","United States of America's imports from Taipei, Chinese-Value in 2016","United States of America's imports from Taipei, Chinese-Value in 2017","United States of America's imports from Taipei, Chinese-Value in 2018","United States of America's imports from Taipei, Chinese-Value in 2019","United States of America's imports from Taipei, Chinese-Value in 2020","United States of America's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,40216023,39296457,42014561,42459113,40594199,43901555,47236391,55926925,62455846,80736689,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1329992,1421221,1451042,1227291,1277188,1419874,2308598,4642467,4977469,8782538,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,14582107,15746930,17475530,16901297,15459911,22213694,27343247,18886041,23315430,29874393
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",556830,636808,1018696,1134836,1505629,1613835,1703784,3314039,4296630,4521894,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",227979,265096,255001,237474,213055,453851,742392,3010675,4238352,4265639,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,15205756,15322330,14673832,17913210,19696574,23484926,31688073,31361991,32056333,32735014
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",519852,557624,699201,996599,1140756,1234189,1479435,2006130,3111703,3464091,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,2339852,3011260,4208390,5315338,6844585,9370808,10075887,9790173,13434569,14828321
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1140055,1191854,1388346,1398329,1468945,1648358,1835243,1990260,1929349,2685368,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,7856263,7266213,7246273,6896241,7009125,8287851,8526997,8026172,7731995,10504769
999999,Commodities not elsewhere specified,1204828,1329010,1311758,1546012,1576085,1615378,1890392,1848243,2068477,2161182,,1514400,1538009,1602895,1664909,1644035,1760967,1743687,1770906,1878010,2040990,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",438576,368164,448657,337675,691304,1280009,1092406,1441057,1877404,1967990,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,44118432,43235338,42589984,39807140,36356774,40393506,40173035,40818542,51636353,60802219
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",306593,320710,338967,389159,411660,466424,537033,717546,1051411,1893087,,628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380,,1785552,1710410,1916711,2114494,2136995,2335327,2551888,2727950,4285025,6450703
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",896716,877087,998730,1008066,1211882,1424728,1369938,1116686,1162816,1476249,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,14982331,16865818,17807569,18228174,20936555,21096526,21617960,21568402,21399322,27551320
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",214577,211293,224750,212287,179089,163357,227609,694140,1301686,1210746,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,2871010,2902594,3287716,4118822,3819865,2957827,3316947,2818694,3060614,3155247
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",456815,459158,515678,592171,542241,633010,722516,785762,851942,1117217,,360438,396231,423370,427848,409830,477893,570533,537881,627725,857593,,655483,664440,745007,848779,802771,878787,1022813,1008315,1048748,1364512
854232,Electronic integrated circuits as memories,1063845,1396212,1518542,1232366,696731,726885,857123,473298,498758,1111938,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,3736262,4400807,3747502,2848940,1878182,2498172,3029443,1800763,1687031,2228544
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,465739,511648,580056,642026,609936,656773,689703,718333,713233,907941,,999295,1061326,1166554,1157799,1152194,1277317,1323967,1339802,1248469,1557398,,2204690,2584285,3062399,3281136,3482281,3615125,4074984,4063774,3737736,4472072
852580,"Television cameras, digital cameras and video camera recorders",562754,623573,487772,573061,618752,533194,558256,637391,698217,849141,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,7564906,6114185,5554187,5771063,5850694,6796285,7530877,7750915,7597446,8863485
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",544973,531081,544502,567373,472627,524327,613485,633135,536379,695498,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,2287888,2180154,2286228,2368471,2039700,2184929,2594834,2506039,2124923,2686647
850440,Static converters,326737,328111,305986,324246,305763,316823,352272,403770,547127,692946,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",94487,110668,139382,195012,165922,175996,169695,484673,534661,660439,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,5347776,5555755,6159935,7233384,7382348,7548836,8099793,6751480,6499745,9420558
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",9029,5436,10244,4542,9777,2879,3550,28330,337671,631045,,6327,6388,6554,8215,6804,5799,5507,36178,342878,608959,,16785159,14531742,15631034,15988623,12684552,13314385,13287346,12610938,13298702,16272091
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",59662,71560,71277,92995,131578,154279,131449,190196,506368,566492,,301680,316696,333150,331233,374039,435514,528796,468131,677673,755771,,3695022,3789593,3922227,3068078,2441170,2718896,2975500,2868108,3185247,3580071
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",281017,234634,300394,317289,252544,241570,260254,436014,511972,556401,,433558,405139,479130,494004,475013,478394,494559,612697,676570,718752,,3982383,4252851,4575462,5073331,5153635,5500760,6255293,5721665,5834298,7628194
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",439055,442216,409325,546403,401844,396735,460255,488295,409093,549011,,1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391,,1655041,1518500,1554409,1724091,1465926,1421465,1597787,1285776,1499491,2151938
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",329365,329253,376095,375987,316726,349225,400446,388754,414257,542401,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",283058,285313,298463,312189,276607,285124,291441,362133,379205,515859,,1832137,1865157,1865417,1797522,1683366,1757502,1723295,1628420,1562000,1979349,,13607533,13036713,13903620,14001343,13648346,13883643,14790810,14521749,12516795,15333184
853400,Printed circuits,375040,386970,388002,387536,373271,373386,381925,378403,370480,514358,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,1969838,1992807,2046227,2121113,2148839,2078076,2204573,1923032,1807094,2435269
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",484794,504728,499595,502567,500083,515387,500668,474959,445541,505408,,720644,758417,801785,817373,857485,1000021,991660,959568,899743,1142917,,10932350,11581587,12552830,14042270,14081944,13487610,14893148,14676483,13006933,16413178
731816,Nuts of iron or steel,329244,347461,380076,396534,348952,385581,433000,423578,335909,483595,,750988,781073,884545,830315,788460,895411,995556,897104,731365,1044051,,1023402,1000471,1116275,1131575,1033299,1134825,1297790,1240694,1011600,1375802
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",86317,70208,74670,86199,96602,116849,141966,159061,249874,463879,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,7688047,8830544,9362125,9848385,10210049,10868594,12068896,12798787,12050623,13797558
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",103646,140640,174205,158531,175452,182336,174577,212992,345597,426898,,153726,193326,237119,218368,232959,247525,222839,258973,386533,487520,,363973,435545,480529,510694,587315,621508,644624,598786,633023,870912
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",98530,82585,106396,108548,124727,123066,138275,233399,290720,396617,,33508,24510,33796,38349,31014,40697,43796,36797,41647,50351,,557739,536665,656384,686928,707226,754508,853811,900718,800194,1025252
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",238588,254655,261071,289074,271980,266598,285273,297448,312578,386731,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,5675487,5906734,6269066,6677328,6707960,7387174,8219633,8721334,9164364,11202232
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,19251,73021,175135,234557,381265,,0,0,0,0,0,232128,386182,870885,995609,1332394,,0,0,0,0,0,150468,581509,808847,1107419,1255522
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),124832,149383,153717,158424,159098,160329,188952,217177,301761,372320,,91523,97486,87584,97133,98171,104418,117517,128280,123401,163987,,1033889,1170236,1240239,1356952,1398925,1442222,1622596,1457699,1615453,1997017
852691,Radio navigational aid apparatus,1383648,813207,816945,661989,557472,439567,393355,485519,307863,369075,,977150,867512,831132,815610,712901,452222,400274,503430,427124,554730,,3492008,3020683,3376724,3469179,3417561,2833679,2261685,1790031,1042061,1207571
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",125887,134589,132866,142610,130210,145282,150690,169613,230785,355360,,203267,205089,196262,204543,203558,240909,253669,263335,314608,430377,,3905673,4231521,4708819,4837368,4656103,5039275,5779696,5402347,5445490,6661052
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",108912,121882,111144,126290,74847,95119,135254,218613,252281,335348,,461438,465215,440137,411557,448797,485799,593358,686699,747143,922372,,2464074,1645212,1985326,1991890,1580405,1583599,1583052,2024588,1866041,2334796
847170,Storage units for automatic data-processing machines,327976,355994,337675,263590,251982,271675,348857,310669,272970,317435,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,13364806,12215560,11638334,11273462,10136662,9956286,9404491,7237073,8679412,10534792
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",575,1637,13521,603,335,432,57580,35320,34303,306262,,1877767,715864,662632,150680,86666,52421,90240,44273,122764,576878,,677105,1279410,685566,256327,399446,292321,235135,192009,871949,1056126
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",480677,665052,838134,430212,343857,125567,149364,225483,203444,298892,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,7258994,5791108,6506153,8599774,10947191,7754845,5607398,8398077,10509146,9556549
846719,"Pneumatic tools for working in the hand, non-rotary type",135556,135719,154824,194216,188712,217974,216332,216077,296367,291742,,205355,189818,209817,250571,258515,264437,269149,265143,299518,371689,,283480,270507,313901,372321,354512,388120,390102,365037,410562,456333
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",219713,154330,240427,239890,185154,218380,167804,116936,164777,290144,,444828,393512,470460,390618,368166,397633,401610,325138,281731,571844,,427141,363503,535044,557062,402738,509806,498078,509062,621767,1228342
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",45244,46130,59119,63017,83070,91155,71521,86716,92669,289359,,199304,229668,259766,278320,329248,333554,318898,359081,407918,441803,,34564946,34131920,39779651,48169267,51344092,50655121,56258767,61153335,63004514,65589732
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",206979,236645,281781,294265,307171,348459,342275,340867,278290,286437,,268208,291787,322970,309414,308946,310223,300689,309149,252591,283313,,926538,1021735,1144497,1215783,1195275,1253981,1287754,1251954,1035701,1265822
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",135662,104733,125047,134285,111566,122756,146488,174236,216060,259599,,77655,73034,84869,168309,173406,184227,204344,216930,226180,293960,,3180128,3156929,3595053,3794506,3745533,3819624,4221227,4085011,3673727,4702032
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",172919,134484,150221,148581,158190,158356,169992,143243,189081,258536,,467625,391288,380276,323860,310795,307677,322701,297230,348065,409625,,11546318,11742799,12788811,14236048,14596371,14969707,14744931,15288252,14352993,19680481
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",126466,119718,119996,100439,204848,166640,190688,158913,233124,256664,,281025,227343,297715,219616,436543,343800,389475,324308,328705,348602,,2871361,2978136,2857405,2651440,2861888,2866618,3364602,3112556,3424658,4214164
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,126426,63728,60698,74995,246173,,0,0,0,0,0,830630,1190380,934595,752414,1035025,,0,0,0,0,0,764292,1286381,998364,902218,1660815
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",115285,116592,109220,130502,178029,178132,176765,176863,202449,244844,,208407,231839,243007,218969,221588,234924,278023,273601,290027,363731,,2244779,2349478,2612504,2859693,3229759,3503732,3904476,3397303,3478850,4157606
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",74629,68250,73644,65847,82556,131175,144329,190688,269676,243630,,8731558,8208419,5722805,4457674,3922831,6764649,6320873,5752319,5991930,7300051,,1510113,1388703,1435658,1547192,1709444,2077416,2315338,2154821,2266744,2634372
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",83874,104765,132927,158473,164474,187937,199087,204720,219808,239143,,270387,297629,321517,317520,308049,333120,352081,359514,376787,403017,,998150,1009540,1050433,1067367,1126563,1163899,1176794,1062686,1038364,1373762
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",219813,228068,234085,227256,183587,219176,250004,225410,202631,236909,,363379,372406,385517,338105,314332,376583,429460,387231,359416,458530,,3836500,4033014,4323503,4043446,3254541,3590408,3890267,3618573,2966242,3551224
820420,"Interchangeable spanner sockets, with or without handles, of base metal",151627,124247,133783,139609,124175,127493,131774,162283,166093,227624,,327881,323604,320964,322141,308095,342262,357941,364866,344342,463853,,280923,300937,299770,248029,221664,230495,269229,306003,258927,353291
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),159956,149435,142371,133358,127494,141668,162765,157902,154295,221200,,277658,294950,324382,333960,348849,403789,422066,409034,440676,578821,,2416480,2595589,2718733,2754972,2761420,2825571,3045735,2746510,2453491,3054983
871499,"Parts and accessories, for bicycles, n.e.s.",95924,93042,98268,108310,98145,115734,117843,135272,142615,220808,,1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128,,202824,181430,189080,192046,175256,193973,207719,224803,230638,360278
392410,"Tableware and kitchenware, of plastics",89993,107277,109737,109983,115972,119747,120272,151047,161477,217301,,212975,248251,272275,267313,261185,278585,292700,324811,312056,362739,,2379525,2537846,2751588,2894002,2793807,2841276,3161596,3556476,3625046,4742507
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",96794,144930,163636,160749,147800,203438,221196,183950,194423,213599,,998783,1087341,1290700,1284055,1147897,1145357,1278153,1142348,1175146,1475320,,1389498,1369070,1368945,1586136,1373971,1511466,1799530,1674363,1541409,1731282
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",126701,137562,142733,153079,141344,143835,150219,159127,149689,212592,,1234047,1192436,1192664,1152038,1122593,1209901,1262074,1172580,1066760,1292023,,3332808,3290013,3638341,3719703,3683325,4023953,4671314,4708247,4263538,5445736
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",122848,125436,132951,143887,131346,145530,166179,152870,187488,210384,,237842,250596,273934,277217,271873,293903,326993,313772,387316,378896,,528924,553674,626210,710873,853895,861304,865924,946806,1028888,991353
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",81299,86040,92445,97967,108386,119334,149439,155511,172288,206433,,191732,209715,223686,228272,247766,254745,289209,316675,335198,395279,,7932497,8305433,9038677,9387920,10001887,10273952,11827933,13144139,13479940,15317509
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,124426,144160,167818,178641,201694,,0,0,0,0,0,166705,179197,271004,276183,320757,,0,0,0,0,0,5496265,5651546,6124508,5849909,7833725
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",129129,125485,141250,148995,146118,173160,183569,172835,146869,198672,,130150,134475,148159,148201,152556,187446,199931,198089,184592,260543,,1758521,1798871,1963213,2001127,1929463,1956679,2127044,2070404,1804987,2269781
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",97372,116625,120456,129007,123765,129312,136346,129633,142306,192639,,776032,761215,813282,725637,689194,733792,732304,707031,708993,957445,,398134,419791,459536,504449,489845,542448,594651,550622,564599,710606
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,56538,56553,32829,11892,25481,61646,68820,58167,113920,192573,,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520,,4231430,3006436,4971735,2910361,2545081,3462147,3805289,6652928,3711923,4492157
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,91523,100472,104964,116901,114129,130348,132066,134506,148604,187735,,272126,274871,285924,271988,249956,244637,253682,236457,253108,304339,,1724216,1688343,1682272,1866089,1697709,1825677,1850978,1936650,2059625,2961010
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",257003,223558,201122,225719,171068,200531,178039,159035,124737,187111,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,5801012,5866897,5481360,5034372,5355597,4992703,5787983,4721195,4079556,4331619
890392,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",78763,105011,101953,171301,158731,177993,122440,202898,240321,180858,,2367,557,2248,1044,1658,3270,4787,6999,8145,3292,,638362,710321,709451,1324262,1112067,1213971,1105236,1217131,1295238,1540489
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",8438,7947,8835,5191,11638,13875,14168,43386,106995,178551,,19524,15965,11866,5076,3233,6256,13254,15234,47320,94208,,895754,692597,543356,509273,416661,231680,380412,511454,483989,386307
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",89213,87671,80698,67796,55424,70231,70669,51520,54548,177407,,2379340,2260829,2086795,1668888,1591271,2184091,2245167,1737437,1672909,2710523,,375842,352178,373795,323927,300568,383299,404218,311242,266686,561287
850760,Lithium-ion accumulators (excluding spent),53949,57457,61288,61240,68934,68734,75204,100276,132636,174870,,0,1223,59179,138911,175073,206463,276337,314481,319638,424221,,1306942,1707471,1729944,1718175,1997259,2568701,3224108,3691381,4823512,8265629
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",18754,19070,17315,31530,28418,56815,69584,112860,193464,172297,,21641,35319,37069,16252,32123,52635,81638,121025,180625,276977,,235236,236285,228810,268067,216851,338552,422330,380160,399740,434328
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",60543,22132,3,113886,40097,118335,190535,143624,39262,170604,,0,279633,3473662,2052983,1846807,2031506,2279340,1898177,687123,1894052,,37470538,34317719,28288628,20462621,18008855,19757256,24627426,25635102,13150909,26296759
210690,"Food preparations, n.e.s.",35694,34622,39240,42234,47590,60317,72729,82483,83413,168628,,245717,278021,325763,371072,406688,460192,604534,700475,679984,828703,,1890222,1995452,2046535,2089642,2165584,2305658,5263280,5826461,6386648,7157170
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",34582,76083,102025,104520,103143,96847,120287,113818,121095,163283,,250239,238847,240616,237780,243958,264866,293028,283047,282056,380774,,1751064,1614886,1854547,2046319,2260510,2336152,2405471,2363941,2474796,2822655
