Product code,Product label,United States of America's imports from Viet Nam-Value in 2012,United States of America's imports from Viet Nam-Value in 2013,United States of America's imports from Viet Nam-Value in 2014,United States of America's imports from Viet Nam-Value in 2015,United States of America's imports from Viet Nam-Value in 2016,United States of America's imports from Viet Nam-Value in 2017,United States of America's imports from Viet Nam-Value in 2018,United States of America's imports from Viet Nam-Value in 2019,United States of America's imports from Viet Nam-Value in 2020,United States of America's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,21371334,25904256,32011178,39687860,43747879,48421844,51261469,69159005,83184456,108195517,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",32461,484164,1327076,3436966,4632897,4348445,4800392,10598516,8137677,9941844,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,44088553,50046790,53317172,53049348,50161401,56403427,53921021,54642749,49453039,61659011
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",237653,266043,400526,603833,980376,910003,1416832,3050826,4979591,7337149,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",225787,254261,323214,392782,510457,781575,962134,1693518,2577352,3834108,,111926,153236,178537,188256,283180,431639,695244,1194169,1748997,4426010,,3822580,4228783,4576409,5226186,5477935,6269505,6954660,6519082,6792620,9936249
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",559493,621586,817104,1025388,1117396,1234340,1412249,1960650,2578856,3028606,,832872,912531,1170711,1337505,1360439,1533406,1700448,1960324,2307078,4244570,,4883438,5141660,5528452,5974370,5961843,6402139,6911085,6541231,6729023,8589939
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",10156,10405,10470,24996,53217,86177,122101,152760,1798263,2973023,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,1627048,1722839,1700738,1470223,1340329,1304393,1532607,2000388,4073756,6182443
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,138941,58108,125077,136216,69138,97994,87052,350582,1228662,2758889,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,14582107,15746930,17475530,16901297,15459911,22213694,27343247,18886041,23315430,29874393
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",23886,49829,649811,2462393,2225781,2149134,1359885,1899465,2510975,2686823,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,14982331,16865818,17807569,18228174,20936555,21096526,21617960,21568402,21399322,27551320
940350,Wooden furniture for bedrooms (excluding seats),1298294,1434826,1541932,1766611,1732732,1912566,1939510,2117740,2147404,2449098,,900200,1002600,1060964,1014195,1088113,1186412,1219627,1325972,1363822,2926426,,3229513,3345203,3513499,3815659,3699492,4003241,4103153,4121205,4209633,4971691
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",381933,554270,699079,1144611,1582632,2032788,2148770,2305720,1881666,2393451,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,1194389,1512531,1959627,2959875,3602221,4203955,4347812,4286110,3234473,4034849
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1651,1562,8582,186117,535557,801029,387547,1715631,2492302,2189221,,111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497,,7258994,5791108,6506153,8599774,10947191,7754845,5607398,8398077,10509146,9556549
