Product code,Product label,Viet Nam's imports from Australia-Value in 2012,Viet Nam's imports from Australia-Value in 2013,Viet Nam's imports from Australia-Value in 2014,Viet Nam's imports from Australia-Value in 2015,Viet Nam's imports from Australia-Value in 2016,Viet Nam's imports from Australia-Value in 2017,Viet Nam's imports from Australia-Value in 2018,Viet Nam's imports from Australia-Value in 2019,Viet Nam's imports from Australia-Value in 2020,Viet Nam's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,1772183,1586040,2054730,2021983,2442138,3200104,3750818,4477511,4676699,,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,,,138816,87642,104601,118318,132950,119825,124917,111960,108470,118496,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,0,0,0,,,101,81,157,0,0,307,0,24,0,0,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,0,0,0,0,,,0,6,0,53,40,99,6,53,3,26,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,498,0,0,0,0,0,0,,,200,209,728,296,225,247,273,120,56,37,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,10,0,3,0,6,0,0,0,,,11103,14440,8100,6517,2610,1425,1577,2215,845,478,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",889,277,394,691,901,742,3477,2118,2045,,,167050,248705,352822,286477,216745,255374,298897,453852,356865,415507,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,1,0,0,0,0,0,0,0,,,121426,192885,210356,192371,193754,245568,319732,287839,220955,113566,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,87,0,0,0,0,0,13,12,27,,,1485,1563,1514,747,1102,1114,1592,1103,1265,3459,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",3,0,12,0,243,248,68,1,255,,,126869,141257,141665,86041,64178,75983,83256,84957,79312,108146,,138,48,12,244,639,400,891,22,292,2556
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,0,0,38,,,77,14,37,0,2,20,35,12,43,382,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,,,39,15,16,12,18,8,13,12,24,0,,0,0,0,0,0,0,0,0,0,25
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,23,39,240,423,415,284,107,0,,,10748,8646,7872,7153,9116,9333,10221,10779,9431,8601,,342,372,1308,3819,8071,15971,16447,26033,29020,30359
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,1,0,4,40,7,
30256,"Fresh or chilled blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,5,0,0,0,0,0,16,,2,0,0,0,0,0,0,7,0,
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,56,0,0,1,,0,0,0,1,17,24,39,51,46,
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,0,0,0,11,37,18,,,674,701,229,156,23,2,1283,10,9,29,,16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,112,169,0,1,8,2,9,998,2080,516
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",0,0,0,0,0,0,0,0,0,,,1302,669,852,948,1224,1517,1231,1519,2589,3215,,1196,3387,9365,25399,37983,34285,26342,42796,95873,46629
30343,"Frozen skipjack or stripe-bellied bonito """"Euthynnus -Katsuwonus- pelamis""""""""",0,0,0,0,0,0,0,0,0,,,2,2,3,4,1,10,1,5,18,0,,54547,57306,61384,52466,32102,47281,70976,45843,29828,29200
30366,"Frozen hake """"Merluccius spp., Urophycis spp.""""""""",0,0,0,0,0,0,0,0,0,,,4,0,73,0,0,23,0,0,0,0,,0,0,74,2,21,3,152,235,1356,1086
30368,"Frozen blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,1575,569,130,0,1,262,149,0,0,0,,185,76,0,31,63,35,0,43,357,
30431,"Fresh or chilled fillets of tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,2,0,0,,84,0,0,0,0,1,15,59,300,669
