Product code,Product label,Viet Nam's imports from China-Value in 2012,Viet Nam's imports from China-Value in 2013,Viet Nam's imports from China-Value in 2014,Viet Nam's imports from China-Value in 2015,Viet Nam's imports from China-Value in 2016,Viet Nam's imports from China-Value in 2017,Viet Nam's imports from China-Value in 2018,Viet Nam's imports from China-Value in 2019,Viet Nam's imports from China-Value in 2020,Viet Nam's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,29034966,36886478,43647569,49441123,50037691,58532566,65516135,75586138,84197786,,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,,,9,5,6,0,0,2,0,0,0,8,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,23,523,2922,6699,5238,7052,6205,,,2250,2318,2208,2310,5474,7879,7930,10201,9480,7707,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,0,0,0,0,0,0,,,3003,2926,1870,2762,2854,323,41,15,0,0,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,,,0,7,73,0,75,273,38,1,30,0,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,18,113,19,0,41,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,0,0,0,0,0,0,,,0,50,261,446,15,164,77,341,406,243,,138,48,12,244,639,400,891,22,292,2556
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,187,220,204,197,154,190,171,214,111,93,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,0,0,0,,,46,56,2297,495,0,353,473,0,0,0,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,,,0,20,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,25
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",40,195,1044,2760,6581,13370,13109,22051,25563,,,255116,294974,313223,291621,292834,256037,289775,310790,342377,398449,,342,372,1308,3819,8071,15971,16447,26033,29020,30359
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,0,0,0,35,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,4,40,7,
30256,"Fresh or chilled blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,7,0,
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2,0,,0,0,0,1,17,24,39,51,46,
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,0,0,0,0,1,0,,,397,94,431,93,2280,2818,2979,5816,10136,20847,,16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",0,0,0,0,0,0,0,4,42,,,25021,34026,30429,26377,32460,35296,33342,41803,46138,43834,,112,169,0,1,8,2,9,998,2080,516
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",153,190,86,713,3127,4029,4206,5317,17122,,,19630,27065,19775,19354,43509,24814,51147,68528,102304,53718,,1196,3387,9365,25399,37983,34285,26342,42796,95873,46629
30343,"Frozen skipjack or stripe-bellied bonito """"Euthynnus -Katsuwonus- pelamis""""""""",3086,5871,2806,1273,2,1667,4440,3296,5276,,,42710,92069,124056,168742,153765,134736,145013,116862,132493,41807,,54547,57306,61384,52466,32102,47281,70976,45843,29828,29200
30366,"Frozen hake """"Merluccius spp., Urophycis spp.""""""""",0,0,0,0,0,0,0,0,0,,,0,339,4895,3774,6125,5392,6345,2343,1194,735,,0,0,74,2,21,3,152,235,1356,1086
30368,"Frozen blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,18,0,50,251,175,393,185,173,23,86,,185,76,0,31,63,35,0,43,357,
30431,"Fresh or chilled fillets of tilapia """"Oreochromis spp.""""""""",84,0,0,0,0,0,0,0,90,,,1309,0,0,0,0,0,0,137,336,17,,84,0,0,0,0,1,15,59,300,669
30441,"Fresh or chilled fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,0,0,0,0,0,0,0,0,,,141,0,0,0,0,219,59,29,11,378,,6463,3524,1157,1508,991,364,9333,5090,3062,272
30443,"Fresh or chilled fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, ...""",0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,,53,2,10,0,0,19,1,8,0,
30455,"Fresh or chilled meat, whether or not minced, of toothfish """"Dissostichus spp."""" (excluding ...""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
30485,"Frozen fillets of toothfish """"Dissostichus spp.""""""""",0,0,0,0,0,0,0,0,0,,,9212,2809,716,0,78,64,207,464,458,256,,0,0,0,0,0,0,0,0,1,
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",0,0,3152,7821,3842,685,4086,473,237,,,35679,31534,119088,149228,111168,100948,118611,114434,89061,142321,,8592,7103,14940,27432,18789,11748,8543,13566,8963,14857
30542,"Smoked herring """"Clupea harengus, Clupea pallasii"""", incl. fillets (excluding offal)""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,149,411,724,,4,0,0,0,0,0,0,0,0,
30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, ...",0,0,0,0,0,0,0,0,0,,,11710,15756,16933,13486,13936,19239,19786,19563,26630,19896,,5,0,0,0,1,9,4,0,15,10
